# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,GASUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-03-17T08:00:00+00:00Z
# t0_final_iso,2023-03-17T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,719d5931be6988b3
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-03-17T08:00:00+00:00Z,2023-03-17T08:59:59.999000+00:00Z,3.6,4.41,3.25,3.75,29093.4,112103.6979,1192,14597.6,56365.3738
2023-03-17T09:00:00+00:00Z,2023-03-17T09:59:59.999000+00:00Z,3.747,3.789,3.715,3.771,9177.5,34397.9868,164,3920.0,14717.7578
2023-03-17T10:00:00+00:00Z,2023-03-17T10:59:59.999000+00:00Z,3.766,3.79,3.74,3.748,7758.2,29099.7941,130,2678.5,10068.7107
2023-03-17T11:00:00+00:00Z,2023-03-17T11:59:59.999000+00:00Z,3.748,3.818,3.731,3.785,9796.9,37065.6472,130,6455.9,24462.1564
2023-03-17T12:00:00+00:00Z,2023-03-17T12:59:59.999000+00:00Z,3.795,3.796,3.638,3.701,7611.4,28272.8011,158,2426.4,8990.8623
2023-03-17T13:00:00+00:00Z,2023-03-17T13:59:59.999000+00:00Z,3.703,3.714,3.618,3.618,5784.7,21160.6864,103,1224.2,4470.862
2023-03-17T14:00:00+00:00Z,2023-03-17T14:59:59.999000+00:00Z,3.649,3.667,3.577,3.582,5641.4,20421.7997,78,746.5,2692.0456
2023-03-17T15:00:00+00:00Z,2023-03-17T15:59:59.999000+00:00Z,3.597,3.631,3.567,3.598,3720.0,13351.4077,63,1019.1,3672.681
2023-03-17T16:00:00+00:00Z,2023-03-17T16:59:59.999000+00:00Z,3.603,3.622,3.586,3.605,2677.8,9642.1213,69,1109.0,4006.0983
2023-03-17T17:00:00+00:00Z,2023-03-17T17:59:59.999000+00:00Z,3.604,3.63,3.593,3.619,3050.5,11024.2668,74,1014.0,3666.3007
2023-03-17T18:00:00+00:00Z,2023-03-17T18:59:59.999000+00:00Z,3.619,3.63,3.603,3.63,1230.9,4455.4208,38,639.7,2316.9384
2023-03-17T19:00:00+00:00Z,2023-03-17T19:59:59.999000+00:00Z,3.632,3.696,3.627,3.677,5616.3,20651.4081,110,3241.0,11932.2284
2023-03-17T20:00:00+00:00Z,2023-03-17T20:59:59.999000+00:00Z,3.679,3.7,3.651,3.687,7596.4,27945.5715,143,3444.5,12692.7437
2023-03-17T21:00:00+00:00Z,2023-03-17T21:59:59.999000+00:00Z,3.687,3.713,3.678,3.713,4065.8,15001.2057,109,1311.4,4844.3219
2023-03-17T22:00:00+00:00Z,2023-03-17T22:59:59.999000+00:00Z,3.717,3.784,3.717,3.762,6958.6,26085.6665,186,2360.6,8854.9071
2023-03-17T23:00:00+00:00Z,2023-03-17T23:59:59.999000+00:00Z,3.73,3.791,3.73,3.759,4040.7,15251.7478,100,2504.9,9465.0529
2023-03-18T00:00:00+00:00Z,2023-03-18T00:59:59.999000+00:00Z,3.764,3.795,3.631,3.779,20359.0,75585.8628,309,11129.0,41130.2417
2023-03-18T01:00:00+00:00Z,2023-03-18T01:59:59.999000+00:00Z,3.781,3.781,3.696,3.705,8571.7,32011.7528,204,3470.9,12965.9649
2023-03-18T02:00:00+00:00Z,2023-03-18T02:59:59.999000+00:00Z,3.713,3.732,3.678,3.708,1773.2,6586.0997,51,1405.0,5221.2115
2023-03-18T03:00:00+00:00Z,2023-03-18T03:59:59.999000+00:00Z,3.711,3.777,3.686,3.707,4489.8,16673.1603,87,1740.9,6500.8368
2023-03-18T04:00:00+00:00Z,2023-03-18T04:59:59.999000+00:00Z,3.69,3.714,3.67,3.673,4804.1,17727.1035,100,1198.6,4428.9221
2023-03-18T05:00:00+00:00Z,2023-03-18T05:59:59.999000+00:00Z,3.677,3.705,3.666,3.695,4649.9,17099.8307,83,1099.3,4041.1353
2023-03-18T06:00:00+00:00Z,2023-03-18T06:59:59.999000+00:00Z,3.698,3.775,3.672,3.681,5171.6,19152.8565,83,2821.3,10469.4506
2023-03-18T07:00:00+00:00Z,2023-03-18T07:59:59.999000+00:00Z,3.689,3.693,3.655,3.668,7429.7,27289.1007,173,3494.8,12850.0634
2023-03-18T08:00:00+00:00Z,2023-03-18T08:59:59.999000+00:00Z,3.668,3.674,3.577,3.623,10288.9,37267.0366,202,3684.4,13349.5279
2023-03-18T09:00:00+00:00Z,2023-03-18T09:59:59.999000+00:00Z,3.624,3.658,3.582,3.652,4112.3,14917.1243,104,1421.4,5158.126
2023-03-18T10:00:00+00:00Z,2023-03-18T10:59:59.999000+00:00Z,3.65,3.668,3.624,3.645,2939.0,10722.1354,64,1424.7,5205.5411
2023-03-18T11:00:00+00:00Z,2023-03-18T11:59:59.999000+00:00Z,3.649,3.651,3.621,3.635,8874.9,32234.9541,129,5901.1,21434.3467
2023-03-18T12:00:00+00:00Z,2023-03-18T12:59:59.999000+00:00Z,3.642,3.659,3.591,3.65,9826.0,35583.2111,175,2659.2,9645.8417
2023-03-18T13:00:00+00:00Z,2023-03-18T13:59:59.999000+00:00Z,3.653,3.653,3.602,3.626,3959.0,14401.9234,114,1476.4,5377.9102
2023-03-18T14:00:00+00:00Z,2023-03-18T14:59:59.999000+00:00Z,3.626,3.647,3.612,3.631,2670.6,9694.6998,126,656.7,2382.9635
2023-03-18T15:00:00+00:00Z,2023-03-18T15:59:59.999000+00:00Z,3.636,3.637,3.555,3.567,6837.0,24578.9072,132,513.7,1848.9991
2023-03-18T16:00:00+00:00Z,2023-03-18T16:59:59.999000+00:00Z,3.567,3.599,3.521,3.596,8019.6,28508.3176,137,2891.9,10321.2226
2023-03-18T17:00:00+00:00Z,2023-03-18T17:59:59.999000+00:00Z,3.598,3.598,3.558,3.578,5098.7,18230.8397,71,1357.8,4858.5767
2023-03-18T18:00:00+00:00Z,2023-03-18T18:59:59.999000+00:00Z,3.571,3.593,3.565,3.587,333.0,1190.6981,20,104.4,374.0456
2023-03-18T19:00:00+00:00Z,2023-03-18T19:59:59.999000+00:00Z,3.587,3.594,3.576,3.589,1696.2,6075.1147,46,502.6,1800.9918
2023-03-18T20:00:00+00:00Z,2023-03-18T20:59:59.999000+00:00Z,3.58,3.596,3.579,3.588,423.4,1517.163,26,59.5,213.4169
2023-03-18T21:00:00+00:00Z,2023-03-18T21:59:59.999000+00:00Z,3.588,3.623,3.587,3.604,1256.6,4525.8571,44,1001.4,3607.8867
2023-03-18T22:00:00+00:00Z,2023-03-18T22:59:59.999000+00:00Z,3.602,3.615,3.572,3.572,1479.7,5318.6512,47,299.2,1081.0379
2023-03-18T23:00:00+00:00Z,2023-03-18T23:59:59.999000+00:00Z,3.568,3.573,3.534,3.553,4893.9,17342.955,62,3592.4,12716.8631
2023-03-19T00:00:00+00:00Z,2023-03-19T00:59:59.999000+00:00Z,3.553,3.619,3.529,3.533,8074.4,28765.3711,118,4072.0,14542.4571
2023-03-19T01:00:00+00:00Z,2023-03-19T01:59:59.999000+00:00Z,3.536,3.576,3.521,3.529,5680.4,20130.065,107,1275.2,4531.4767
2023-03-19T02:00:00+00:00Z,2023-03-19T02:59:59.999000+00:00Z,3.532,3.535,3.527,3.531,1183.2,4176.2498,26,1028.4,3630.0184
2023-03-19T03:00:00+00:00Z,2023-03-19T03:59:59.999000+00:00Z,3.531,3.531,3.462,3.509,11299.3,39500.2168,236,3033.0,10622.4384
