# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ASRUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-12-30T06:00:00+00:00Z
# t0_final_iso,2020-12-30T06:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,6f1488abff6ad0e4
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-12-30T06:00:00+00:00Z,2020-12-30T06:59:59.999000+00:00Z,20.18,29.88,11.45,12.902,357524.357,5304666.21241,20340,151277.1,2261462.784694
2020-12-30T07:00:00+00:00Z,2020-12-30T07:59:59.999000+00:00Z,12.926,14.031,11.55,12.476,76775.502,998206.39311,5290,33304.21,433875.23113
2020-12-30T08:00:00+00:00Z,2020-12-30T08:59:59.999000+00:00Z,12.475,12.8,11.721,11.92,30146.478,370451.284703,2070,11348.79,140146.938283
2020-12-30T09:00:00+00:00Z,2020-12-30T09:59:59.999000+00:00Z,11.944,12.0,10.003,10.585,67512.743,724096.751227,3120,30812.256,329622.027412
2020-12-30T10:00:00+00:00Z,2020-12-30T10:59:59.999000+00:00Z,10.576,11.3,10.108,10.725,35615.398,386545.068493,1512,16089.375,174980.763787
2020-12-30T11:00:00+00:00Z,2020-12-30T11:59:59.999000+00:00Z,10.799,10.816,8.366,8.807,64598.629,608042.075794,2508,23781.086,222770.954651
2020-12-30T12:00:00+00:00Z,2020-12-30T12:59:59.999000+00:00Z,8.895,9.3,8.261,8.4,36778.067,322232.624226,1553,16717.336,147377.919365
2020-12-30T13:00:00+00:00Z,2020-12-30T13:59:59.999000+00:00Z,8.348,8.45,7.602,8.0,55164.297,444364.867328,1702,23831.624,191924.865027
2020-12-30T14:00:00+00:00Z,2020-12-30T14:59:59.999000+00:00Z,8.011,9.489,8.001,8.848,52174.14,465092.065098,2201,25048.531,223662.089715
2020-12-30T15:00:00+00:00Z,2020-12-30T15:59:59.999000+00:00Z,8.848,9.2,8.139,8.388,16967.471,146063.458431,972,8957.46,77461.763141
2020-12-30T16:00:00+00:00Z,2020-12-30T16:59:59.999000+00:00Z,8.389,9.084,8.337,9.0,26878.324,233722.998957,1065,12959.213,113303.497368
2020-12-30T17:00:00+00:00Z,2020-12-30T17:59:59.999000+00:00Z,9.0,9.5,8.817,9.422,18455.234,170099.812105,914,8457.343,77756.416015
2020-12-30T18:00:00+00:00Z,2020-12-30T18:59:59.999000+00:00Z,9.422,9.848,9.376,9.586,26801.81,257399.244894,1182,10868.449,104376.577212
2020-12-30T19:00:00+00:00Z,2020-12-30T19:59:59.999000+00:00Z,9.548,10.491,9.4,10.075,31141.82,308703.150513,1268,14634.386,146153.702628
2020-12-30T20:00:00+00:00Z,2020-12-30T20:59:59.999000+00:00Z,10.084,10.899,9.999,10.6,52973.794,554331.27101,1859,22184.912,232370.092225
