# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ENAUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-04-02T08:00:00+00:00Z
# t0_final_iso,2024-04-02T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,14444e2d027102c5
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-04-02T08:00:00+00:00Z,2024-04-02T08:59:59.999000+00:00Z,0.3,0.84,0.3,0.63,394736855.66,225079820.99957,455448,203623705.98,116425322.792
2024-04-02T09:00:00+00:00Z,2024-04-02T09:59:59.999000+00:00Z,0.63,0.662,0.596,0.597,95623798.23,60414133.92718,120786,45406392.16,28790771.38192
2024-04-02T10:00:00+00:00Z,2024-04-02T10:59:59.999000+00:00Z,0.597,0.616,0.557,0.579,79177648.99,46074444.77924,84049,38141399.23,22243530.53653
2024-04-02T11:00:00+00:00Z,2024-04-02T11:59:59.999000+00:00Z,0.58,0.626,0.57,0.618,64749051.82,38629845.03343,67689,33895518.32,20288034.62292
2024-04-02T12:00:00+00:00Z,2024-04-02T12:59:59.999000+00:00Z,0.618,0.635,0.593,0.625,47030707.9,28906880.11043,55205,24530030.47,15108242.68745
2024-04-02T13:00:00+00:00Z,2024-04-02T13:59:59.999000+00:00Z,0.625,0.73,0.623,0.705,117191432.06,78109605.96297,113573,66931561.09,44694314.44739
2024-04-02T14:00:00+00:00Z,2024-04-02T14:59:59.999000+00:00Z,0.704,0.778,0.679,0.69,160006507.16,116768621.64911,162987,79056054.94,57886003.01173
2024-04-02T15:00:00+00:00Z,2024-04-02T15:59:59.999000+00:00Z,0.69,0.736,0.668,0.689,77888959.52,54908082.29862,83402,40034546.41,28294990.48929
2024-04-02T16:00:00+00:00Z,2024-04-02T16:59:59.999000+00:00Z,0.689,0.736,0.688,0.731,50282134.02,35965087.71279,61230,27142690.75,19415960.38587
2024-04-02T17:00:00+00:00Z,2024-04-02T17:59:59.999000+00:00Z,0.731,0.841,0.725,0.806,121110688.55,95879560.91253,142887,67146006.55,53136168.89793
2024-04-02T18:00:00+00:00Z,2024-04-02T18:59:59.999000+00:00Z,0.805,0.913,0.805,0.847,134414156.12,116353036.14331,178279,71293844.81,61724979.33046
2024-04-02T19:00:00+00:00Z,2024-04-02T19:59:59.999000+00:00Z,0.847,0.89,0.804,0.872,70160668.32,59436332.75297,110133,36802849.49,31235109.46335
2024-04-02T20:00:00+00:00Z,2024-04-02T20:59:59.999000+00:00Z,0.872,0.874,0.813,0.822,39738686.17,33595731.65357,72526,18227211.52,15430421.50395
2024-04-02T21:00:00+00:00Z,2024-04-02T21:59:59.999000+00:00Z,0.822,0.878,0.821,0.861,27283631.89,23036418.12448,46178,14568615.51,12316810.66138
2024-04-02T22:00:00+00:00Z,2024-04-02T22:59:59.999000+00:00Z,0.86,0.873,0.822,0.847,28108376.21,23836114.07223,44826,13796252.77,11717444.8933
2024-04-02T23:00:00+00:00Z,2024-04-02T23:59:59.999000+00:00Z,0.846,0.85,0.752,0.775,43208609.14,34125211.14442,64517,19122589.18,15101953.53726
2024-04-03T00:00:00+00:00Z,2024-04-03T00:59:59.999000+00:00Z,0.775,0.788,0.703,0.78,56278339.63,41550054.85085,71132,26922202.84,19887812.27398
2024-04-03T01:00:00+00:00Z,2024-04-03T01:59:59.999000+00:00Z,0.78,0.872,0.764,0.847,76113664.69,62319873.63869,95787,39619599.92,32462035.13738
2024-04-03T02:00:00+00:00Z,2024-04-03T02:59:59.999000+00:00Z,0.847,0.857,0.8,0.838,36202649.45,30052742.7817,53954,17433457.66,14490287.38391
2024-04-03T03:00:00+00:00Z,2024-04-03T03:59:59.999000+00:00Z,0.838,0.892,0.82,0.871,36461897.17,31469772.95343,51695,19956866.54,17206595.53317
2024-04-03T04:00:00+00:00Z,2024-04-03T04:59:59.999000+00:00Z,0.871,0.875,0.823,0.831,23242700.82,19615392.01379,36276,10923093.92,9226935.82691
2024-04-03T05:00:00+00:00Z,2024-04-03T05:59:59.999000+00:00Z,0.83,0.832,0.785,0.823,35127966.62,28308391.1578,43892,17524380.57,14132902.40834
2024-04-03T06:00:00+00:00Z,2024-04-03T06:59:59.999000+00:00Z,0.822,0.865,0.815,0.856,25722928.01,21675899.94102,37458,13622448.63,11487435.9987
2024-04-03T07:00:00+00:00Z,2024-04-03T07:59:59.999000+00:00Z,0.856,0.925,0.822,0.919,43669125.92,37909021.15842,58350,25270241.53,22002760.39723
2024-04-03T08:00:00+00:00Z,2024-04-03T08:59:59.999000+00:00Z,0.918,0.944,0.865,0.94,78266090.43,70834089.6278,101093,39230834.61,35525812.91778
2024-04-03T09:00:00+00:00Z,2024-04-03T09:59:59.999000+00:00Z,0.94,0.966,0.917,0.926,61918167.69,58196314.10436,80527,29781652.06,28031537.54933
