# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,WIFUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-03-05T14:00:00+00:00Z
# t0_final_iso,2024-03-05T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,6754f725f0370419
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-03-05T14:00:00+00:00Z,2024-03-05T14:59:59.999000+00:00Z,1.1892,1.848,1.1892,1.4255,29182030.15,45683822.83432,173775,14672207.07,22971779.477801
2024-03-05T15:00:00+00:00Z,2024-03-05T15:59:59.999000+00:00Z,1.4248,1.4525,1.25,1.3334,12744601.87,17287921.598666,67138,5937425.34,8062363.464108
2024-03-05T16:00:00+00:00Z,2024-03-05T16:59:59.999000+00:00Z,1.3344,1.435,1.1937,1.3584,12522272.47,16571494.667989,58608,5593172.59,7430475.019027
2024-03-05T17:00:00+00:00Z,2024-03-05T17:59:59.999000+00:00Z,1.3577,1.385,1.1853,1.3782,11011742.8,14117560.033052,40968,4761195.85,6119815.587716
2024-03-05T18:00:00+00:00Z,2024-03-05T18:59:59.999000+00:00Z,1.3798,1.3798,1.2572,1.2641,3835885.07,4996870.194298,17884,1725288.23,2249638.45732
2024-03-05T19:00:00+00:00Z,2024-03-05T19:59:59.999000+00:00Z,1.2656,1.2999,1.0,1.1376,6790558.63,8179101.659306,30744,3091118.24,3729963.524879
2024-03-05T20:00:00+00:00Z,2024-03-05T20:59:59.999000+00:00Z,1.137,1.392,1.123,1.347,13106119.54,17161280.774753,48866,7172417.17,9393588.826757
2024-03-05T21:00:00+00:00Z,2024-03-05T21:59:59.999000+00:00Z,1.3479,1.74,1.342,1.725,23484250.06,36600660.071958,98446,10867723.53,17037243.10998
2024-03-05T22:00:00+00:00Z,2024-03-05T22:59:59.999000+00:00Z,1.725,1.764,1.5063,1.6489,15025018.19,24528220.103506,77772,6874682.55,11189438.802422
2024-03-05T23:00:00+00:00Z,2024-03-05T23:59:59.999000+00:00Z,1.6486,1.6575,1.505,1.547,6776308.37,10685197.650095,31178,3451471.19,5453156.179092
2024-03-06T00:00:00+00:00Z,2024-03-06T00:59:59.999000+00:00Z,1.5469,1.6,1.4719,1.4753,3704625.68,5697846.906419,21455,1824432.1,2807938.761624
2024-03-06T01:00:00+00:00Z,2024-03-06T01:59:59.999000+00:00Z,1.4758,1.6362,1.4754,1.5986,4482046.34,6981787.262123,22864,2397475.59,3743522.69809
2024-03-06T02:00:00+00:00Z,2024-03-06T02:59:59.999000+00:00Z,1.5988,1.61,1.42,1.441,4325678.26,6605306.096088,21346,1862533.03,2861183.235375
2024-03-06T03:00:00+00:00Z,2024-03-06T03:59:59.999000+00:00Z,1.4403,1.5785,1.4403,1.5713,2658836.05,4050826.430121,14197,1523207.03,2324859.497452
2024-03-06T04:00:00+00:00Z,2024-03-06T04:59:59.999000+00:00Z,1.5698,1.8646,1.5434,1.8432,14666316.15,25211127.492686,64444,8647027.73,14866695.589185
2024-03-06T05:00:00+00:00Z,2024-03-06T05:59:59.999000+00:00Z,1.8423,1.9696,1.7476,1.9534,14539743.03,26787988.301023,78844,7609782.87,14044173.713773
2024-03-06T06:00:00+00:00Z,2024-03-06T06:59:59.999000+00:00Z,1.9552,2.0,1.876,1.9484,9726298.67,18764826.832402,58225,4916797.77,9494041.018546
2024-03-06T07:00:00+00:00Z,2024-03-06T07:59:59.999000+00:00Z,1.9485,2.2498,1.9271,2.1324,22830701.24,48468642.466509,127019,11577164.13,24577478.446854
2024-03-06T08:00:00+00:00Z,2024-03-06T08:59:59.999000+00:00Z,2.1317,2.1781,1.9813,2.034,13925369.46,28895495.852421,77010,6646266.98,13813704.689832
2024-03-06T09:00:00+00:00Z,2024-03-06T09:59:59.999000+00:00Z,2.0342,2.1286,1.9938,2.0126,9347972.74,19359855.194644,64581,5027809.93,10419654.244045
2024-03-06T10:00:00+00:00Z,2024-03-06T10:59:59.999000+00:00Z,2.0128,2.15,2.0125,2.0695,5846829.81,12236318.262023,42201,3161414.29,6624446.980657
2024-03-06T11:00:00+00:00Z,2024-03-06T11:59:59.999000+00:00Z,2.07,2.1578,2.0282,2.1257,6864427.44,14472989.353228,42670,3880642.64,8183713.116267
2024-03-06T12:00:00+00:00Z,2024-03-06T12:59:59.999000+00:00Z,2.1252,2.2,1.8499,1.9916,16524641.38,33288468.020807,92622,7904309.35,15987877.349634
2024-03-06T13:00:00+00:00Z,2024-03-06T13:59:59.999000+00:00Z,1.9926,2.168,1.9023,2.1235,10196687.08,20912107.173098,60016,5532052.91,11362389.643434
2024-03-06T14:00:00+00:00Z,2024-03-06T14:59:59.999000+00:00Z,2.1235,2.29,2.022,2.0455,14554557.09,31329113.87573,77701,7609747.25,16362495.734582
