# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,XNOUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2022-01-28T08:00:00+00:00Z
# t0_final_iso,2022-01-28T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,ddfc8670a1eb1fb6
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-01-28T08:00:00+00:00Z,2022-01-28T08:59:59.999000+00:00Z,2.224,3.89,2.126,2.451,1203512.81,3086852.59089,14719,580697.84,1500414.14649
2022-01-28T09:00:00+00:00Z,2022-01-28T09:59:59.999000+00:00Z,2.451,2.548,2.361,2.402,295833.82,726650.12037,3875,144190.89,355019.3315
2022-01-28T10:00:00+00:00Z,2022-01-28T10:59:59.999000+00:00Z,2.402,2.456,2.3,2.315,215467.06,506112.90223,2276,96269.23,226731.59498
2022-01-28T11:00:00+00:00Z,2022-01-28T11:59:59.999000+00:00Z,2.315,2.4,2.275,2.366,143448.93,334602.8439,1527,59007.72,137924.07327
2022-01-28T12:00:00+00:00Z,2022-01-28T12:59:59.999000+00:00Z,2.366,2.43,2.303,2.368,151860.51,362055.02496,1976,80406.62,191790.16082
2022-01-28T13:00:00+00:00Z,2022-01-28T13:59:59.999000+00:00Z,2.367,2.398,2.306,2.324,98992.66,231914.81735,1749,55845.8,130999.86365
2022-01-28T14:00:00+00:00Z,2022-01-28T14:59:59.999000+00:00Z,2.326,2.344,2.221,2.29,130648.65,299955.19602,1395,45688.27,105506.23601
2022-01-28T15:00:00+00:00Z,2022-01-28T15:59:59.999000+00:00Z,2.292,2.38,2.265,2.354,91424.71,212335.92241,1108,57120.93,132741.41283
2022-01-28T16:00:00+00:00Z,2022-01-28T16:59:59.999000+00:00Z,2.353,2.354,2.295,2.303,53200.58,123598.06829,556,22957.78,53464.69373
2022-01-28T17:00:00+00:00Z,2022-01-28T17:59:59.999000+00:00Z,2.311,2.326,2.246,2.246,46254.68,105537.07801,513,23786.97,54297.09933
2022-01-28T18:00:00+00:00Z,2022-01-28T18:59:59.999000+00:00Z,2.255,2.297,2.242,2.267,32139.68,73147.479,336,19168.95,43656.1445
2022-01-28T19:00:00+00:00Z,2022-01-28T19:59:59.999000+00:00Z,2.269,2.288,2.26,2.277,29404.31,66792.08802,325,18450.34,41932.26606
2022-01-28T20:00:00+00:00Z,2022-01-28T20:59:59.999000+00:00Z,2.274,2.35,2.266,2.332,52295.35,120336.10992,435,32824.34,75461.78568
2022-01-28T21:00:00+00:00Z,2022-01-28T21:59:59.999000+00:00Z,2.328,2.34,2.158,2.305,81232.39,185790.54516,795,40150.35,92063.08064
2022-01-28T22:00:00+00:00Z,2022-01-28T22:59:59.999000+00:00Z,2.309,2.322,2.285,2.292,18409.62,42306.53075,237,8488.16,19518.66846
2022-01-28T23:00:00+00:00Z,2022-01-28T23:59:59.999000+00:00Z,2.294,2.305,2.253,2.284,20349.7,46512.98953,255,9657.74,22145.90988
2022-01-29T00:00:00+00:00Z,2022-01-29T00:59:59.999000+00:00Z,2.285,2.43,2.254,2.254,160262.33,374226.38459,1798,72512.15,169021.22357
2022-01-29T01:00:00+00:00Z,2022-01-29T01:59:59.999000+00:00Z,2.256,2.308,2.251,2.271,30033.08,68163.71266,281,17333.16,39303.90982
2022-01-29T02:00:00+00:00Z,2022-01-29T02:59:59.999000+00:00Z,2.275,2.298,2.266,2.276,10636.22,24233.77244,132,5773.44,13160.30363
2022-01-29T03:00:00+00:00Z,2022-01-29T03:59:59.999000+00:00Z,2.274,2.322,2.257,2.294,17181.74,39200.26705,208,9703.67,22156.41341
2022-01-29T04:00:00+00:00Z,2022-01-29T04:59:59.999000+00:00Z,2.294,2.309,2.259,2.284,25056.57,57066.33681,343,12802.52,29193.59316
2022-01-29T05:00:00+00:00Z,2022-01-29T05:59:59.999000+00:00Z,2.291,2.31,2.268,2.279,10693.05,24534.59767,133,4305.83,9891.90851
2022-01-29T06:00:00+00:00Z,2022-01-29T06:59:59.999000+00:00Z,2.28,2.32,2.266,2.31,12104.12,27814.25152,202,7094.08,16306.37752
2022-01-29T07:00:00+00:00Z,2022-01-29T07:59:59.999000+00:00Z,2.298,2.32,2.28,2.32,14572.36,33604.0663,211,8971.02,20707.5892
2022-01-29T08:00:00+00:00Z,2022-01-29T08:59:59.999000+00:00Z,2.324,2.39,2.314,2.39,48476.48,114232.8598,670,27101.45,63833.76997
2022-01-29T09:00:00+00:00Z,2022-01-29T09:59:59.999000+00:00Z,2.385,2.4,2.336,2.356,65211.71,154681.02124,656,29270.33,69305.53332
2022-01-29T10:00:00+00:00Z,2022-01-29T10:59:59.999000+00:00Z,2.366,2.387,2.343,2.377,19072.78,45123.01158,288,11292.91,26722.33164
2022-01-29T11:00:00+00:00Z,2022-01-29T11:59:59.999000+00:00Z,2.378,2.378,2.3,2.336,45128.07,105481.72906,476,22978.58,53643.01335
2022-01-29T12:00:00+00:00Z,2022-01-29T12:59:59.999000+00:00Z,2.327,2.37,2.305,2.351,39101.38,91413.3494,481,24978.06,58510.61493
