# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ETHFIUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-03-18T12:00:00+00:00Z
# t0_final_iso,2024-03-18T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,678d310e3d7a417d
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-03-18T12:00:00+00:00Z,2024-03-18T12:59:59.999000+00:00Z,0.23,5.32,0.23,3.62,32145886.8,128445973.6628,372158,15333904.2,61528605.129
2024-03-18T13:00:00+00:00Z,2024-03-18T13:59:59.999000+00:00Z,3.621,3.662,3.333,3.393,7499670.9,26142139.1903,87814,3275741.9,11438433.2763
2024-03-18T14:00:00+00:00Z,2024-03-18T14:59:59.999000+00:00Z,3.396,3.53,3.25,3.406,5409211.7,18315771.8807,75264,2602577.4,8831145.3524
2024-03-18T15:00:00+00:00Z,2024-03-18T15:59:59.999000+00:00Z,3.407,3.556,3.3,3.484,3645546.5,12479823.6643,53819,1884769.8,6460451.0441
2024-03-18T16:00:00+00:00Z,2024-03-18T16:59:59.999000+00:00Z,3.484,3.506,3.251,3.282,2557553.3,8594969.3671,35885,1316164.1,4425022.8023
2024-03-18T17:00:00+00:00Z,2024-03-18T17:59:59.999000+00:00Z,3.282,3.31,3.01,3.196,4635079.3,14485812.5284,48399,2105097.5,6582643.5395
2024-03-18T18:00:00+00:00Z,2024-03-18T18:59:59.999000+00:00Z,3.193,3.25,3.047,3.144,2266755.0,7080523.9635,31096,1084641.8,3386364.3568
2024-03-18T19:00:00+00:00Z,2024-03-18T19:59:59.999000+00:00Z,3.144,3.25,3.1,3.121,1608311.7,5117082.7053,25403,785211.9,2497810.4693
2024-03-18T20:00:00+00:00Z,2024-03-18T20:59:59.999000+00:00Z,3.121,3.189,3.09,3.172,1083182.7,3400523.7836,18454,470624.5,1477492.9135
2024-03-18T21:00:00+00:00Z,2024-03-18T21:59:59.999000+00:00Z,3.173,3.44,3.151,3.26,2900369.0,9588588.0331,38549,1466341.3,4849561.2112
2024-03-18T22:00:00+00:00Z,2024-03-18T22:59:59.999000+00:00Z,3.261,3.38,3.212,3.313,1459984.0,4836362.4928,22260,627197.4,2077942.0448
2024-03-18T23:00:00+00:00Z,2024-03-18T23:59:59.999000+00:00Z,3.31,3.312,3.104,3.12,946702.1,3035538.9199,12852,453275.7,1454676.7396
