# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,SOMIUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-09-02T14:00:00+00:00Z
# t0_final_iso,2025-09-02T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,33c0e66fd0bf6394
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-09-02T14:00:00+00:00Z,2025-09-02T14:59:59.999000+00:00Z,0.3,0.66,0.3,0.4604,81369343.5,42932074.35687,415011,41660476.9,21983309.92361
2025-09-02T15:00:00+00:00Z,2025-09-02T15:59:59.999000+00:00Z,0.4605,0.4805,0.4113,0.4536,35600500.6,15842239.29909,122831,17279197.0,7700634.53216
2025-09-02T16:00:00+00:00Z,2025-09-02T16:59:59.999000+00:00Z,0.4533,0.53,0.4306,0.5244,27553280.8,13159281.34336,77253,13976237.1,6686529.49862
2025-09-02T17:00:00+00:00Z,2025-09-02T17:59:59.999000+00:00Z,0.5247,0.5555,0.4903,0.5214,26641013.4,14024945.07154,65729,12756781.4,6728523.67464
2025-09-02T18:00:00+00:00Z,2025-09-02T18:59:59.999000+00:00Z,0.5213,0.54,0.4611,0.4917,23658819.1,11633137.213,49524,11048589.1,5441444.2066
2025-09-02T19:00:00+00:00Z,2025-09-02T19:59:59.999000+00:00Z,0.4923,0.5248,0.485,0.4889,18566959.2,9374384.49014,33286,9237295.2,4663747.76624
2025-09-02T20:00:00+00:00Z,2025-09-02T20:59:59.999000+00:00Z,0.489,0.4985,0.4686,0.4732,9412569.0,4539544.19077,21245,4616913.6,2227960.52514
2025-09-02T21:00:00+00:00Z,2025-09-02T21:59:59.999000+00:00Z,0.474,0.5085,0.474,0.4926,6386028.2,3150529.42802,17265,3369832.5,1662466.34479
2025-09-02T22:00:00+00:00Z,2025-09-02T22:59:59.999000+00:00Z,0.4928,0.4928,0.4721,0.4817,3820517.7,1839710.07815,13546,1785690.3,860272.62713
2025-09-02T23:00:00+00:00Z,2025-09-02T23:59:59.999000+00:00Z,0.4813,0.4979,0.4755,0.4917,3969447.4,1939323.51798,11151,1996232.1,974716.12377
2025-09-03T00:00:00+00:00Z,2025-09-03T00:59:59.999000+00:00Z,0.4916,0.4922,0.4425,0.457,7191491.5,3332527.3352,18391,3427293.5,1585705.7879
2025-09-03T01:00:00+00:00Z,2025-09-03T01:59:59.999000+00:00Z,0.4571,0.4787,0.4545,0.469,3507254.2,1640749.52331,9813,1628840.1,762424.43425
2025-09-03T02:00:00+00:00Z,2025-09-03T02:59:59.999000+00:00Z,0.469,0.495,0.458,0.4836,6114455.9,2926947.03322,14119,3387620.2,1620478.01126
2025-09-03T03:00:00+00:00Z,2025-09-03T03:59:59.999000+00:00Z,0.4836,0.488,0.4716,0.4841,3214625.9,1548123.99346,9902,1553561.8,748708.23998
2025-09-03T04:00:00+00:00Z,2025-09-03T04:59:59.999000+00:00Z,0.4835,0.579,0.477,0.5542,16849427.6,9062040.08137,31817,7815260.0,4209891.08488
2025-09-03T05:00:00+00:00Z,2025-09-03T05:59:59.999000+00:00Z,0.5537,0.5537,0.5037,0.5171,9515993.1,4995460.10713,21060,3974515.8,2087815.0786
2025-09-03T06:00:00+00:00Z,2025-09-03T06:59:59.999000+00:00Z,0.5171,0.5291,0.4901,0.5014,7132904.5,3629674.13306,20764,3362978.6,1712513.60793
2025-09-03T07:00:00+00:00Z,2025-09-03T07:59:59.999000+00:00Z,0.5017,0.5059,0.476,0.4817,9238670.3,4513107.64066,31133,3955977.9,1935524.12763
2025-09-03T08:00:00+00:00Z,2025-09-03T08:59:59.999000+00:00Z,0.4817,0.4835,0.456,0.4655,8370045.6,3931345.31198,23299,4041105.2,1897702.10477
2025-09-03T09:00:00+00:00Z,2025-09-03T09:59:59.999000+00:00Z,0.4658,0.4856,0.4589,0.4764,6872718.6,3258825.08008,21400,3535949.2,1676697.21235
