# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,PYTHUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-02-02T12:00:00+00:00Z
# t0_final_iso,2024-02-02T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,982353b75875979f
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-02-02T12:00:00+00:00Z,2024-02-02T12:59:59.999000+00:00Z,0.371,0.58,0.371,0.4949,41870649.9,21169225.21203,91274,20853024.2,10554314.97503
2024-02-02T13:00:00+00:00Z,2024-02-02T13:59:59.999000+00:00Z,0.4949,0.499,0.485,0.4889,7927457.4,3902122.93087,22233,3907372.8,1924434.49894
2024-02-02T14:00:00+00:00Z,2024-02-02T14:59:59.999000+00:00Z,0.4889,0.5039,0.4876,0.4985,7036459.0,3492564.29375,19958,4016195.8,1993335.98183
2024-02-02T15:00:00+00:00Z,2024-02-02T15:59:59.999000+00:00Z,0.4984,0.5185,0.497,0.5129,9899675.5,5039083.33661,25294,5496181.2,2798393.60724
2024-02-02T16:00:00+00:00Z,2024-02-02T16:59:59.999000+00:00Z,0.5128,0.527,0.504,0.5266,13124266.8,6781169.64962,25978,7443511.1,3850449.67045
2024-02-02T17:00:00+00:00Z,2024-02-02T17:59:59.999000+00:00Z,0.5266,0.5297,0.5081,0.512,7641956.6,3975456.28001,17838,3420834.2,1783111.79331
2024-02-02T18:00:00+00:00Z,2024-02-02T18:59:59.999000+00:00Z,0.512,0.518,0.5035,0.5082,4940993.8,2523164.21919,10344,2309006.2,1179294.247
2024-02-02T19:00:00+00:00Z,2024-02-02T19:59:59.999000+00:00Z,0.5081,0.5091,0.4862,0.4903,8261855.9,4080318.43645,13290,3679687.8,1816837.49394
2024-02-02T20:00:00+00:00Z,2024-02-02T20:59:59.999000+00:00Z,0.4904,0.4925,0.4828,0.4911,4940891.6,2415304.96547,10317,2257169.9,1103750.77354
2024-02-02T21:00:00+00:00Z,2024-02-02T21:59:59.999000+00:00Z,0.4911,0.495,0.4873,0.4886,2745587.1,1346745.25815,6394,1225920.9,601456.94463
2024-02-02T22:00:00+00:00Z,2024-02-02T22:59:59.999000+00:00Z,0.4889,0.4929,0.4839,0.4903,2107918.7,1031363.73383,5049,1041057.6,509691.57492
2024-02-02T23:00:00+00:00Z,2024-02-02T23:59:59.999000+00:00Z,0.4906,0.4911,0.4666,0.481,6404285.2,3057342.182,11432,2563644.6,1225868.64705
2024-02-03T00:00:00+00:00Z,2024-02-03T00:59:59.999000+00:00Z,0.481,0.485,0.4737,0.478,3071083.0,1472064.47449,7418,1405140.3,674053.46804
2024-02-03T01:00:00+00:00Z,2024-02-03T01:59:59.999000+00:00Z,0.478,0.4781,0.467,0.4686,3460472.4,1635349.77428,5698,1445951.7,683110.23872
