# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,GMXUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2022-10-05T10:00:00+00:00Z
# t0_final_iso,2022-10-05T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,acc79dd93467703a
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-10-05T10:00:00+00:00Z,2022-10-05T10:59:59.999000+00:00Z,40.91,67.0,40.91,55.11,650873.297,38412005.96037,86311,315035.446,18692920.96484
2022-10-05T11:00:00+00:00Z,2022-10-05T11:59:59.999000+00:00Z,55.11,56.49,51.0,51.78,152263.302,8219445.1199,19568,64460.5,3490833.80115
2022-10-05T12:00:00+00:00Z,2022-10-05T12:59:59.999000+00:00Z,51.87,51.99,47.69,48.93,172547.021,8542525.47408,18580,76512.912,3788239.19577
2022-10-05T13:00:00+00:00Z,2022-10-05T13:59:59.999000+00:00Z,48.9,51.4,48.7,51.06,83851.536,4190406.47181,10728,36518.333,1826961.24356
2022-10-05T14:00:00+00:00Z,2022-10-05T14:59:59.999000+00:00Z,51.06,51.2,46.0,47.53,88978.116,4266801.30264,12601,34024.859,1630390.29548
2022-10-05T15:00:00+00:00Z,2022-10-05T15:59:59.999000+00:00Z,47.52,49.83,46.73,49.16,57314.523,2786519.96307,7248,22974.569,1120319.96034
2022-10-05T16:00:00+00:00Z,2022-10-05T16:59:59.999000+00:00Z,49.23,51.44,47.73,49.55,59420.888,2949529.29043,9016,28762.616,1430787.19774
2022-10-05T17:00:00+00:00Z,2022-10-05T17:59:59.999000+00:00Z,49.53,53.0,48.73,49.84,94474.169,4830758.3813,12477,44198.671,2261818.05377
2022-10-05T18:00:00+00:00Z,2022-10-05T18:59:59.999000+00:00Z,49.93,50.5,47.0,48.36,50735.26,2469017.77741,6223,24043.46,1172803.83092
2022-10-05T19:00:00+00:00Z,2022-10-05T19:59:59.999000+00:00Z,48.51,49.0,48.18,48.41,13726.0,666869.04939,2005,4592.939,223558.62116
2022-10-05T20:00:00+00:00Z,2022-10-05T20:59:59.999000+00:00Z,48.45,49.79,47.76,48.96,17523.389,853480.19602,2708,7945.117,387876.28932
2022-10-05T21:00:00+00:00Z,2022-10-05T21:59:59.999000+00:00Z,48.94,49.44,48.06,48.89,8558.537,417215.09708,1678,4214.761,205724.12168
2022-10-05T22:00:00+00:00Z,2022-10-05T22:59:59.999000+00:00Z,48.98,50.92,48.78,49.85,27603.103,1375668.08365,3673,16199.48,807224.70939
2022-10-05T23:00:00+00:00Z,2022-10-05T23:59:59.999000+00:00Z,49.87,51.4,49.26,50.93,17962.657,906336.48059,3106,7695.107,388689.24468
2022-10-06T00:00:00+00:00Z,2022-10-06T00:59:59.999000+00:00Z,50.92,51.81,49.28,51.71,20126.898,1015084.70873,2774,10355.785,523796.12605
2022-10-06T01:00:00+00:00Z,2022-10-06T01:59:59.999000+00:00Z,51.71,52.38,50.43,50.91,34724.69,1789343.1312,5012,17457.605,900959.88658
2022-10-06T02:00:00+00:00Z,2022-10-06T02:59:59.999000+00:00Z,50.92,52.16,49.5,50.15,27904.419,1411433.77137,4151,14334.774,724642.08302
2022-10-06T03:00:00+00:00Z,2022-10-06T03:59:59.999000+00:00Z,50.2,51.5,50.14,51.4,24785.49,1261162.38152,4940,13583.127,690986.4695
2022-10-06T04:00:00+00:00Z,2022-10-06T04:59:59.999000+00:00Z,51.38,51.39,48.01,48.78,51295.295,2527778.51379,5169,17753.704,877704.67951
2022-10-06T05:00:00+00:00Z,2022-10-06T05:59:59.999000+00:00Z,48.81,48.84,47.52,48.3,22554.828,1085919.11252,2682,7909.931,381886.42457
2022-10-06T06:00:00+00:00Z,2022-10-06T06:59:59.999000+00:00Z,48.3,48.42,45.33,47.37,43957.5,2055292.64879,4860,20612.001,965946.77255
2022-10-06T07:00:00+00:00Z,2022-10-06T07:59:59.999000+00:00Z,47.28,47.86,46.44,46.66,21419.742,1007419.1044,2532,7793.57,366943.05442
2022-10-06T08:00:00+00:00Z,2022-10-06T08:59:59.999000+00:00Z,46.66,47.12,45.5,46.5,29416.258,1359277.33237,3310,14905.646,689114.21976
2022-10-06T09:00:00+00:00Z,2022-10-06T09:59:59.999000+00:00Z,46.48,47.06,45.42,46.98,25326.286,1173934.08593,2843,12855.359,598212.60891
2022-10-06T10:00:00+00:00Z,2022-10-06T10:59:59.999000+00:00Z,46.95,47.28,46.33,46.62,18809.045,881903.25198,2627,10704.89,502448.63904
2022-10-06T11:00:00+00:00Z,2022-10-06T11:59:59.999000+00:00Z,46.71,47.63,46.71,47.5,14280.409,674810.57322,1982,7277.499,344159.36316
2022-10-06T12:00:00+00:00Z,2022-10-06T12:59:59.999000+00:00Z,47.48,47.82,45.87,46.07,36599.397,1714125.50759,2837,21275.55,997406.92566
2022-10-06T13:00:00+00:00Z,2022-10-06T13:59:59.999000+00:00Z,46.08,46.6,45.43,45.82,20967.878,961951.49978,2366,8316.398,381755.24958
2022-10-06T14:00:00+00:00Z,2022-10-06T14:59:59.999000+00:00Z,45.82,45.93,44.28,44.44,29895.09,1346533.65474,2892,9559.72,430619.08401
2022-10-06T15:00:00+00:00Z,2022-10-06T15:59:59.999000+00:00Z,44.44,45.08,44.41,44.5,12074.945,539979.39356,1469,6253.698,279857.18575
2022-10-06T16:00:00+00:00Z,2022-10-06T16:59:59.999000+00:00Z,44.5,45.36,44.45,44.85,11851.862,532009.87863,1267,6825.767,306236.14243
2022-10-06T17:00:00+00:00Z,2022-10-06T17:59:59.999000+00:00Z,44.85,45.72,44.61,45.26,10274.823,464655.45958,1470,4762.482,215194.65374
2022-10-06T18:00:00+00:00Z,2022-10-06T18:59:59.999000+00:00Z,45.27,45.75,43.05,43.96,33305.025,1472982.73707,3289,13705.48,606726.7589
2022-10-06T19:00:00+00:00Z,2022-10-06T19:59:59.999000+00:00Z,43.96,44.75,42.71,44.1,18930.404,830496.66862,2003,9062.03,399294.03273
2022-10-06T20:00:00+00:00Z,2022-10-06T20:59:59.999000+00:00Z,44.07,44.34,43.75,43.99,5907.708,260165.44944,777,3041.668,134015.28825
2022-10-06T21:00:00+00:00Z,2022-10-06T21:59:59.999000+00:00Z,44.01,44.9,43.5,44.05,10581.378,466392.70819,1035,4525.648,199384.2935
2022-10-06T22:00:00+00:00Z,2022-10-06T22:59:59.999000+00:00Z,43.98,44.02,43.5,43.98,3644.246,159594.92745,538,1976.071,86645.66655
2022-10-06T23:00:00+00:00Z,2022-10-06T23:59:59.999000+00:00Z,43.96,44.5,43.71,44.22,4214.213,186018.51304,524,2236.537,98647.6899
2022-10-07T00:00:00+00:00Z,2022-10-07T00:59:59.999000+00:00Z,44.23,44.85,43.88,43.97,5848.385,259341.14779,919,2879.694,127710.88852
