# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ANIMEUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-01-23T15:00:00+00:00Z
# t0_final_iso,2025-01-23T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,6a5d56f0e1cd7dc3
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-01-23T15:00:00+00:00Z,2025-01-23T15:59:59.999000+00:00Z,0.06,0.107,0.06,0.0915,1118098545.0,101651682.84395,266659,538831553.3,49163311.58107
2025-01-23T16:00:00+00:00Z,2025-01-23T16:59:59.999000+00:00Z,0.0914,0.0916,0.0845,0.0901,276583109.6,24096179.55524,70674,124145556.2,10840871.69474
2025-01-23T17:00:00+00:00Z,2025-01-23T17:59:59.999000+00:00Z,0.0901,0.098,0.0873,0.0967,332458922.4,30763179.72256,91737,165554761.4,15399404.84466
2025-01-23T18:00:00+00:00Z,2025-01-23T18:59:59.999000+00:00Z,0.0967,0.0974,0.0906,0.0926,175955281.6,16473698.78694,55881,87505871.1,8201457.60479
2025-01-23T19:00:00+00:00Z,2025-01-23T19:59:59.999000+00:00Z,0.0926,0.094,0.0833,0.0852,332700558.4,28996597.36842,63962,137561635.2,12055051.47999
2025-01-23T20:00:00+00:00Z,2025-01-23T20:59:59.999000+00:00Z,0.0852,0.0893,0.0834,0.088,170122132.4,14717825.24997,40115,73176470.7,6338854.42941
2025-01-23T21:00:00+00:00Z,2025-01-23T21:59:59.999000+00:00Z,0.088,0.089,0.0847,0.088,97071903.3,8404137.48426,39332,41444063.2,3591070.54215
2025-01-23T22:00:00+00:00Z,2025-01-23T22:59:59.999000+00:00Z,0.0879,0.0917,0.0866,0.0887,133080248.3,11903456.60791,47261,62222486.0,5571268.84068
2025-01-23T23:00:00+00:00Z,2025-01-23T23:59:59.999000+00:00Z,0.0886,0.09,0.0859,0.0887,94644935.2,8292566.15657,28902,46025514.6,4034801.76505
2025-01-24T00:00:00+00:00Z,2025-01-24T00:59:59.999000+00:00Z,0.0886,0.0899,0.0777,0.0782,370624764.2,30712779.08106,68208,180148624.8,14998622.32386
2025-01-24T01:00:00+00:00Z,2025-01-24T01:59:59.999000+00:00Z,0.0781,0.0844,0.074,0.0772,341493035.3,27032492.23407,72636,230918872.9,18263605.33264
2025-01-24T02:00:00+00:00Z,2025-01-24T02:59:59.999000+00:00Z,0.0772,0.0797,0.075,0.0767,133988181.3,10287583.00086,40468,73092462.4,5617440.02239
2025-01-24T03:00:00+00:00Z,2025-01-24T03:59:59.999000+00:00Z,0.0767,0.0775,0.0684,0.0694,116839035.8,8375877.08081,33426,61490534.1,4415484.5513
2025-01-24T04:00:00+00:00Z,2025-01-24T04:59:59.999000+00:00Z,0.0693,0.0711,0.0666,0.0697,114759914.8,7896444.1877,29239,60791664.8,4177477.19885
