# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,XTZUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2020-10-08T16:00:00+00:00Z
# t0_final_iso,2020-10-08T16:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,89bc7d7e844d9496
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,2.1312,2.1484,2.11,2.1294,268246.61,571243.917886,2254,144808.38,308399.824874
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,2.1316,2.1461,2.126,2.129,307496.55,656774.876146,1853,97330.22,207960.957807
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,2.1311,2.1325,2.1012,2.1233,137864.72,291847.278722,1204,55423.14,117379.755122
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,2.1242,2.1259,2.1111,2.1111,123533.23,261836.385917,715,42273.53,89617.261866
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,2.1118,2.1274,2.1086,2.1262,102667.37,217088.826101,810,39906.07,84495.602073
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,2.1246,2.1349,2.1116,2.1116,64407.6,136910.814104,738,36362.93,77297.058521
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,2.113,2.1289,2.113,2.1204,53154.63,112828.386899,631,30053.79,63783.140545
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,2.1204,2.1252,2.096,2.1121,113524.2,239682.093333,1037,53535.12,112985.024845
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,2.1123,2.1173,2.0866,2.0962,76465.54,160552.583325,868,38695.32,81291.292282
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,2.0932,2.1049,2.0922,2.1031,51237.88,107571.0078,565,33727.22,70807.284221
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,2.1033,2.1112,2.0979,2.11,45138.11,95024.424292,549,23954.09,50435.027199
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,2.1095,2.1165,2.1,2.1078,74204.23,156411.370269,687,42718.64,90069.734068
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,2.1055,2.1097,2.0938,2.0948,32852.16,68982.130803,410,16876.93,35428.832037
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,2.0938,2.103,2.0792,2.0834,60033.79,125560.262711,627,30466.86,63751.631484
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,2.0816,2.0948,2.0745,2.0873,77560.32,161690.864046,669,43196.19,90069.989739
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,2.0853,2.1009,2.0843,2.0997,70656.58,147839.210556,693,36710.42,76829.342321
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,2.0997,2.108,2.0912,2.1042,87157.22,182973.536317,933,48219.9,101268.925438
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,2.1033,2.105,2.0848,2.0989,115059.11,240994.410468,972,48973.58,102584.177788
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,2.0983,2.156,2.0923,2.137,291119.18,620003.865985,2531,148822.81,316759.737478
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,2.1387,2.1799,2.1374,2.1742,368902.31,799085.422638,3057,170145.44,368472.301579
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,2.1758,2.1799,2.1485,2.1573,247035.98,533966.492975,1900,98024.03,211981.522988
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,2.1575,2.1799,2.1393,2.1795,315034.41,679522.005396,2134,194810.53,420365.642079
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,2.1795,2.2255,2.179,2.1931,625974.98,1377777.492844,4392,337925.0,743984.542544
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,2.1935,2.229,2.1765,2.2275,261415.8,575884.431342,2103,139298.22,307110.693392
2020-10-09T16:00:00+00:00Z,2020-10-09T16:59:59.999000+00:00Z,2.2264,2.2426,2.2108,2.2211,293566.6,652532.051662,2273,150576.71,335050.62714
2020-10-09T17:00:00+00:00Z,2020-10-09T17:59:59.999000+00:00Z,2.2202,2.2273,2.2036,2.2127,178454.18,395442.100805,1578,83648.86,185488.169577
