# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,CELOUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-01-05T08:00:00+00:00Z
# t0_final_iso,2021-01-05T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,7faf20292ae820d6
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-01-05T08:00:00+00:00Z,2021-01-05T08:59:59.999000+00:00Z,1.588,4.12,1.588,3.49,2857330.37,9355434.152957,28221,1563952.24,5158739.143754
2021-01-05T09:00:00+00:00Z,2021-01-05T09:59:59.999000+00:00Z,3.4899,3.4899,2.671,2.78,2657774.92,7858303.954989,23820,1113882.88,3277472.397357
2021-01-05T10:00:00+00:00Z,2021-01-05T10:59:59.999000+00:00Z,2.7859,3.0,2.6252,2.736,1261664.96,3558868.303343,13191,638078.52,1802446.816662
2021-01-05T11:00:00+00:00Z,2021-01-05T11:59:59.999000+00:00Z,2.737,2.7402,2.505,2.5364,604704.28,1583615.060524,6105,284872.71,746319.323845
2021-01-05T12:00:00+00:00Z,2021-01-05T12:59:59.999000+00:00Z,2.5359,2.958,2.5356,2.8222,2473195.08,6994384.053407,14511,1285889.5,3637244.127324
2021-01-05T13:00:00+00:00Z,2021-01-05T13:59:59.999000+00:00Z,2.8219,2.847,2.65,2.7257,1464383.53,4015639.476925,8897,720585.21,1978833.071361
2021-01-05T14:00:00+00:00Z,2021-01-05T14:59:59.999000+00:00Z,2.7209,2.736,2.5999,2.6681,386510.64,1034970.744952,3094,200575.7,538332.778606
2021-01-05T15:00:00+00:00Z,2021-01-05T15:59:59.999000+00:00Z,2.6605,2.7946,2.6001,2.7312,736623.3,2000742.895195,4613,459149.01,1250732.367227
2021-01-05T16:00:00+00:00Z,2021-01-05T16:59:59.999000+00:00Z,2.726,2.75,2.4741,2.4894,664379.09,1714338.722417,4300,325855.96,838833.306319
2021-01-05T17:00:00+00:00Z,2021-01-05T17:59:59.999000+00:00Z,2.481,2.6165,2.4026,2.4702,776042.25,1941631.768763,4496,375150.98,939456.298592
2021-01-05T18:00:00+00:00Z,2021-01-05T18:59:59.999000+00:00Z,2.4814,2.493,2.385,2.4311,420543.82,1022102.650936,2343,272616.85,662549.216239
2021-01-05T19:00:00+00:00Z,2021-01-05T19:59:59.999000+00:00Z,2.435,2.4446,2.1777,2.298,384426.05,880317.22453,2701,165263.04,377955.316343
2021-01-05T20:00:00+00:00Z,2021-01-05T20:59:59.999000+00:00Z,2.297,2.307,2.2033,2.2771,142099.2,321910.872706,1304,76743.99,174018.59857
2021-01-05T21:00:00+00:00Z,2021-01-05T21:59:59.999000+00:00Z,2.2771,2.7676,2.265,2.7591,514768.81,1279571.01725,3383,326130.35,812068.68398
2021-01-05T22:00:00+00:00Z,2021-01-05T22:59:59.999000+00:00Z,2.766,2.87,2.5676,2.8411,979156.05,2697256.770117,7489,467900.56,1292047.260542
2021-01-05T23:00:00+00:00Z,2021-01-05T23:59:59.999000+00:00Z,2.841,2.8756,2.4673,2.5765,869698.99,2349102.279288,6177,443119.09,1195934.313317
2021-01-06T00:00:00+00:00Z,2021-01-06T00:59:59.999000+00:00Z,2.5765,2.5795,2.357,2.4674,345678.58,855801.176545,1909,152939.99,379782.996121
2021-01-06T01:00:00+00:00Z,2021-01-06T01:59:59.999000+00:00Z,2.465,2.6909,2.4641,2.539,252894.39,653048.309348,1846,124456.24,321393.635346
2021-01-06T02:00:00+00:00Z,2021-01-06T02:59:59.999000+00:00Z,2.5338,2.6087,2.49,2.553,117433.23,299916.361289,890,58406.74,149398.71054
2021-01-06T03:00:00+00:00Z,2021-01-06T03:59:59.999000+00:00Z,2.553,2.6392,2.426,2.4909,467475.39,1199457.038435,1863,256477.47,656693.567576
2021-01-06T04:00:00+00:00Z,2021-01-06T04:59:59.999000+00:00Z,2.4862,2.5003,2.3879,2.428,104760.63,255247.878135,957,42305.35,103390.075799
2021-01-06T05:00:00+00:00Z,2021-01-06T05:59:59.999000+00:00Z,2.4289,2.48,2.33,2.388,194205.04,466917.087465,946,84261.23,203545.804454
2021-01-06T06:00:00+00:00Z,2021-01-06T06:59:59.999000+00:00Z,2.3908,2.43,2.313,2.3689,145732.98,344052.273475,1011,68676.71,162507.926392
2021-01-06T07:00:00+00:00Z,2021-01-06T07:59:59.999000+00:00Z,2.3674,2.41,2.3,2.39,111574.41,261387.071465,747,48634.53,114159.871318
2021-01-06T08:00:00+00:00Z,2021-01-06T08:59:59.999000+00:00Z,2.3747,2.3957,2.32,2.3401,77991.31,184172.312397,553,28519.04,67435.799023
2021-01-06T09:00:00+00:00Z,2021-01-06T09:59:59.999000+00:00Z,2.3401,2.41,2.336,2.3902,74800.91,177005.945724,516,43708.66,103672.793736
2021-01-06T10:00:00+00:00Z,2021-01-06T10:59:59.999000+00:00Z,2.3919,2.509,2.3728,2.39,128635.92,312892.684598,928,63672.19,154660.691723
2021-01-06T11:00:00+00:00Z,2021-01-06T11:59:59.999000+00:00Z,2.3897,2.397,2.32,2.3201,63852.55,150751.565381,575,28201.63,66673.991838
2021-01-06T12:00:00+00:00Z,2021-01-06T12:59:59.999000+00:00Z,2.3201,2.356,2.2032,2.3254,161898.22,369469.342527,1162,64264.05,146767.316338
2021-01-06T13:00:00+00:00Z,2021-01-06T13:59:59.999000+00:00Z,2.3319,2.3803,2.2613,2.3391,98280.6,228755.430511,1001,48054.69,112196.130714
2021-01-06T14:00:00+00:00Z,2021-01-06T14:59:59.999000+00:00Z,2.3391,2.3478,2.2172,2.2609,110442.46,251578.702513,1334,39815.11,90250.584467
2021-01-06T15:00:00+00:00Z,2021-01-06T15:59:59.999000+00:00Z,2.2521,2.3201,2.2512,2.3201,70989.4,162734.966973,487,34158.06,78424.608309
2021-01-06T16:00:00+00:00Z,2021-01-06T16:59:59.999000+00:00Z,2.32,2.3313,2.2383,2.2667,86818.07,198656.947019,593,26845.9,61427.542972
2021-01-06T17:00:00+00:00Z,2021-01-06T17:59:59.999000+00:00Z,2.2732,2.3199,2.2725,2.2863,31493.55,72443.813284,257,17289.98,39790.674556
2021-01-06T18:00:00+00:00Z,2021-01-06T18:59:59.999000+00:00Z,2.288,2.3073,2.2612,2.3072,29263.71,66955.996935,286,13851.19,31700.723068
2021-01-06T19:00:00+00:00Z,2021-01-06T19:59:59.999000+00:00Z,2.3073,2.3528,2.2566,2.2602,72347.47,167248.889115,569,47765.06,110566.636298
2021-01-06T20:00:00+00:00Z,2021-01-06T20:59:59.999000+00:00Z,2.2601,2.2842,2.2522,2.2777,24609.05,55748.898193,225,11459.24,25986.470056
2021-01-06T21:00:00+00:00Z,2021-01-06T21:59:59.999000+00:00Z,2.2668,2.2907,2.2237,2.2555,62284.59,139781.721108,320,16370.96,36751.108125
2021-01-06T22:00:00+00:00Z,2021-01-06T22:59:59.999000+00:00Z,2.2555,2.27,2.2238,2.2506,22053.55,49524.046209,145,13217.04,29697.25724
2021-01-06T23:00:00+00:00Z,2021-01-06T23:59:59.999000+00:00Z,2.26,2.346,2.2504,2.302,42540.47,97628.612465,404,22793.53,52378.08765
2021-01-07T00:00:00+00:00Z,2021-01-07T00:59:59.999000+00:00Z,2.3183,2.3307,2.23,2.2599,40326.69,91040.3915,289,14345.34,32514.0155
2021-01-07T01:00:00+00:00Z,2021-01-07T01:59:59.999000+00:00Z,2.2527,2.2607,2.2248,2.2597,54620.62,122318.911559,350,34033.91,76207.552156
2021-01-07T02:00:00+00:00Z,2021-01-07T02:59:59.999000+00:00Z,2.2596,2.2969,2.236,2.2605,20597.89,46623.694289,182,10156.15,23037.282152
2021-01-07T03:00:00+00:00Z,2021-01-07T03:59:59.999000+00:00Z,2.2604,2.268,2.2241,2.2318,24342.72,54637.035511,213,13876.92,31177.740939
2021-01-07T04:00:00+00:00Z,2021-01-07T04:59:59.999000+00:00Z,2.2318,2.2318,2.1155,2.2058,130328.29,285507.425423,853,46609.42,102188.389338
2021-01-07T05:00:00+00:00Z,2021-01-07T05:59:59.999000+00:00Z,2.2001,2.2222,2.186,2.1869,31474.35,69236.726867,263,12148.84,26738.763726
2021-01-07T06:00:00+00:00Z,2021-01-07T06:59:59.999000+00:00Z,2.1858,2.2021,2.145,2.145,55841.81,121485.062132,378,26780.28,58264.234103
2021-01-07T07:00:00+00:00Z,2021-01-07T07:59:59.999000+00:00Z,2.1451,2.2257,2.1451,2.2235,85444.18,185609.848589,570,51908.02,112608.690163
2021-01-07T08:00:00+00:00Z,2021-01-07T08:59:59.999000+00:00Z,2.224,2.29,2.2,2.2,86114.72,192972.071322,466,48180.85,108138.316411
2021-01-07T09:00:00+00:00Z,2021-01-07T09:59:59.999000+00:00Z,2.1934,2.2097,2.144,2.2097,79893.46,173778.233337,468,34030.94,74176.691439
2021-01-07T10:00:00+00:00Z,2021-01-07T10:59:59.999000+00:00Z,2.209,2.2349,2.1861,2.2208,35023.72,77705.878045,202,22706.41,50466.545394
2021-01-07T11:00:00+00:00Z,2021-01-07T11:59:59.999000+00:00Z,2.2122,2.2123,2.16,2.16,35779.74,78069.034567,278,7767.05,16928.518097
2021-01-07T12:00:00+00:00Z,2021-01-07T12:59:59.999000+00:00Z,2.1606,2.2,2.15,2.155,75204.04,163331.555667,481,38253.35,83135.971911
2021-01-07T13:00:00+00:00Z,2021-01-07T13:59:59.999000+00:00Z,2.1527,2.194,2.15,2.1829,95707.17,206729.704604,499,43119.0,93278.758464
2021-01-07T14:00:00+00:00Z,2021-01-07T14:59:59.999000+00:00Z,2.1752,2.177,2.15,2.1533,43708.34,94499.992582,257,21362.98,46188.971158
2021-01-07T15:00:00+00:00Z,2021-01-07T15:59:59.999000+00:00Z,2.155,2.1748,2.147,2.157,46604.09,100556.598158,243,17938.69,38703.66221
2021-01-07T16:00:00+00:00Z,2021-01-07T16:59:59.999000+00:00Z,2.1574,2.221,2.145,2.1908,95112.64,206790.840315,428,45238.27,98384.430067
2021-01-07T17:00:00+00:00Z,2021-01-07T17:59:59.999000+00:00Z,2.1812,2.2239,2.1769,2.1966,53028.22,116461.717204,301,25712.62,56452.93112
2021-01-07T18:00:00+00:00Z,2021-01-07T18:59:59.999000+00:00Z,2.2018,2.2067,2.1496,2.1889,33799.25,73572.904859,223,13188.71,28825.504326
2021-01-07T19:00:00+00:00Z,2021-01-07T19:59:59.999000+00:00Z,2.1788,2.1939,2.1293,2.1499,43530.02,93413.829282,200,26756.83,57353.73154
2021-01-07T20:00:00+00:00Z,2021-01-07T20:59:59.999000+00:00Z,2.142,2.1656,2.125,2.1568,40945.36,87783.873993,162,12959.34,27733.850836
2021-01-07T21:00:00+00:00Z,2021-01-07T21:59:59.999000+00:00Z,2.1656,2.19,2.1407,2.19,28042.04,60619.227659,112,15275.31,33036.328779
2021-01-07T22:00:00+00:00Z,2021-01-07T22:59:59.999000+00:00Z,2.19,2.3999,2.1794,2.384,180473.43,416768.854582,751,100286.39,230504.789992
2021-01-07T23:00:00+00:00Z,2021-01-07T23:59:59.999000+00:00Z,2.384,2.51,2.2076,2.2091,210107.81,502762.044041,1515,117093.8,283906.542617
2021-01-08T00:00:00+00:00Z,2021-01-08T00:59:59.999000+00:00Z,2.2102,2.334,2.1946,2.233,72531.89,164923.049639,429,33566.21,76592.968413
2021-01-08T01:00:00+00:00Z,2021-01-08T01:59:59.999000+00:00Z,2.232,2.232,2.18,2.1962,30527.76,67147.522582,153,10263.31,22544.67142
2021-01-08T02:00:00+00:00Z,2021-01-08T02:59:59.999000+00:00Z,2.1962,2.2,2.0,2.0285,105232.56,219432.126722,531,18034.61,37926.257518
2021-01-08T03:00:00+00:00Z,2021-01-08T03:59:59.999000+00:00Z,2.0016,2.149,2.0012,2.135,37590.03,77990.375969,139,24209.34,50083.072785
2021-01-08T04:00:00+00:00Z,2021-01-08T04:59:59.999000+00:00Z,2.1339,2.4441,2.12,2.1759,215886.65,485749.869376,1004,142803.82,322451.325744
2021-01-08T05:00:00+00:00Z,2021-01-08T05:59:59.999000+00:00Z,2.176,2.2197,2.13,2.155,8973.72,19506.263894,108,5350.2,11628.969553
2021-01-08T06:00:00+00:00Z,2021-01-08T06:59:59.999000+00:00Z,2.1493,2.1695,2.1364,2.1418,10578.54,22709.905832,99,6108.22,13117.663173
2021-01-08T07:00:00+00:00Z,2021-01-08T07:59:59.999000+00:00Z,2.1418,2.1522,2.1321,2.1346,31487.88,67413.130607,120,5148.94,11012.32111
2021-01-08T08:00:00+00:00Z,2021-01-08T08:59:59.999000+00:00Z,2.1341,2.2,2.1341,2.153,23266.8,50408.214082,122,17801.41,38580.69059
