# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,HAEDALUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-05-21T15:00:00+00:00Z
# t0_final_iso,2025-05-21T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,07cdfa770594b1c9
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-05-21T15:00:00+00:00Z,2025-05-21T15:59:59.999000+00:00Z,0.1031,0.2263,0.1031,0.1899,174607912.5,35837088.55708,137147,88263325.6,18157162.8971
2025-05-21T16:00:00+00:00Z,2025-05-21T16:59:59.999000+00:00Z,0.1897,0.1905,0.1742,0.1781,88999428.2,16072859.05523,61387,40839685.1,7380066.89808
2025-05-21T17:00:00+00:00Z,2025-05-21T17:59:59.999000+00:00Z,0.178,0.1823,0.1719,0.1746,32519158.3,5749090.50929,27102,16792741.7,2968956.60443
2025-05-21T18:00:00+00:00Z,2025-05-21T18:59:59.999000+00:00Z,0.1746,0.1787,0.1721,0.1747,13806968.3,2426294.04448,13694,6811981.9,1197519.86347
2025-05-21T19:00:00+00:00Z,2025-05-21T19:59:59.999000+00:00Z,0.1748,0.18,0.1747,0.1778,10706570.8,1892178.56466,9575,5663484.5,1001561.23298
2025-05-21T20:00:00+00:00Z,2025-05-21T20:59:59.999000+00:00Z,0.1778,0.1852,0.1773,0.1798,16915797.2,3067157.76247,15617,9056776.0,1644188.01384
2025-05-21T21:00:00+00:00Z,2025-05-21T21:59:59.999000+00:00Z,0.1798,0.1798,0.1731,0.176,9132656.2,1612473.84815,8248,4176263.3,737099.50901
2025-05-21T22:00:00+00:00Z,2025-05-21T22:59:59.999000+00:00Z,0.176,0.1762,0.1672,0.1731,11139237.4,1901461.19191,13771,4908838.3,838829.0775
2025-05-21T23:00:00+00:00Z,2025-05-21T23:59:59.999000+00:00Z,0.1732,0.1808,0.1703,0.1777,11636883.6,2049933.98676,12446,6167852.8,1086847.62405
2025-05-22T00:00:00+00:00Z,2025-05-22T00:59:59.999000+00:00Z,0.1777,0.1795,0.1736,0.1787,7720787.1,1361062.19178,8766,3768076.4,664222.73595
