# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,UMAUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-10-08T15:00:00+00:00Z
# t0_final_iso,2020-10-08T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,0553f6147fda4486
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,6.308,6.367,6.26,6.32,12459.903,78615.124858,259,6899.97,43605.666639
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,6.319,6.361,6.298,6.316,12638.412,79851.850697,201,6113.915,38637.045223
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,6.325,6.396,6.325,6.371,4852.111,30896.189833,105,2706.435,17241.121916
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,6.371,6.383,6.309,6.341,3916.377,24852.578988,85,2204.441,13983.411359
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,6.325,6.346,6.314,6.346,1977.608,12523.941026,37,1075.432,6811.52014
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,6.344,6.367,6.337,6.367,2381.351,15141.78327,49,1455.108,9253.992101
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,6.38,6.424,6.374,6.415,3312.7,21189.356645,78,989.277,6334.774144
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,6.415,6.519,6.403,6.504,5789.17,37550.306679,77,4638.21,30092.28074
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,6.51,6.568,6.498,6.557,5021.945,32777.431833,105,2137.582,13986.703761
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,6.568,6.654,6.563,6.65,5450.524,35992.563751,120,1984.537,13132.23758
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,6.649,6.748,6.62,6.736,5132.995,34250.534195,126,1373.366,9146.294632
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,6.74,6.92,6.74,6.904,12208.984,83090.161491,191,6714.4,45552.534606
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,6.918,7.173,6.904,7.173,29035.527,204656.521703,1069,14979.173,105467.698114
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,7.169,7.195,7.083,7.185,18171.08,129834.821524,388,7228.886,51680.446011
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,7.182,7.981,7.175,7.78,69753.357,530174.989216,2884,35834.948,271350.453917
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,7.789,9.056,7.512,7.562,139482.824,1119847.611834,6028,74734.375,601328.905695
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,7.568,7.599,7.303,7.406,38517.967,286714.712861,1173,15917.603,118660.763888
2020-10-09T08:00:00+00:00Z,2020-10-09T08:59:59.999000+00:00Z,7.411,7.678,7.36,7.479,21838.825,164025.156719,785,12230.652,91759.999256
2020-10-09T09:00:00+00:00Z,2020-10-09T09:59:59.999000+00:00Z,7.479,7.503,7.395,7.503,9525.026,70909.336646,259,3662.941,27227.252498
2020-10-09T10:00:00+00:00Z,2020-10-09T10:59:59.999000+00:00Z,7.502,7.58,7.475,7.545,7305.908,55003.927653,214,4007.874,30202.824012
2020-10-09T11:00:00+00:00Z,2020-10-09T11:59:59.999000+00:00Z,7.546,7.739,7.505,7.56,16653.987,126658.313628,499,6357.957,48389.795387
2020-10-09T12:00:00+00:00Z,2020-10-09T12:59:59.999000+00:00Z,7.566,7.588,7.289,7.356,18367.589,136178.993077,390,9113.932,67698.11436
2020-10-09T13:00:00+00:00Z,2020-10-09T13:59:59.999000+00:00Z,7.389,7.741,7.376,7.643,12870.852,97334.112847,499,5370.782,40498.201116
2020-10-09T14:00:00+00:00Z,2020-10-09T14:59:59.999000+00:00Z,7.645,8.335,7.645,8.318,61505.903,494946.730763,2165,38157.01,307416.861614
2020-10-09T15:00:00+00:00Z,2020-10-09T15:59:59.999000+00:00Z,8.318,8.356,7.982,8.022,29212.671,239154.008442,1193,13236.847,108394.218128
