# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,PROMUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2023-03-17T08:00:00+00:00Z
# t0_final_iso,2023-03-17T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,c250f207613f5ed7
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-03-17T08:00:00+00:00Z,2023-03-17T08:59:59.999000+00:00Z,6.68,6.68,5.98,5.98,28478.5,175706.1297,1396,10500.09,64858.3559
2023-03-17T09:00:00+00:00Z,2023-03-17T09:59:59.999000+00:00Z,5.99,6.1,5.84,5.92,22761.47,135490.6036,572,12781.65,76199.2352
2023-03-17T10:00:00+00:00Z,2023-03-17T10:59:59.999000+00:00Z,5.92,5.99,5.84,5.98,15478.68,91577.4145,625,5239.85,31034.8125
2023-03-17T11:00:00+00:00Z,2023-03-17T11:59:59.999000+00:00Z,5.98,6.0,5.81,5.87,24636.9,144939.5505,681,9688.91,57063.0265
2023-03-17T12:00:00+00:00Z,2023-03-17T12:59:59.999000+00:00Z,5.89,5.94,5.85,5.88,19343.64,114051.1615,569,7999.1,47181.4926
2023-03-17T13:00:00+00:00Z,2023-03-17T13:59:59.999000+00:00Z,5.86,5.9,5.71,5.78,16181.55,94128.1482,548,5427.97,31660.6329
2023-03-17T14:00:00+00:00Z,2023-03-17T14:59:59.999000+00:00Z,5.79,5.82,5.7,5.77,9329.73,53930.4028,316,5693.51,32934.4336
2023-03-17T15:00:00+00:00Z,2023-03-17T15:59:59.999000+00:00Z,5.76,5.8,5.7,5.73,8779.42,50400.4354,360,4622.81,26548.2305
2023-03-17T16:00:00+00:00Z,2023-03-17T16:59:59.999000+00:00Z,5.75,5.9,5.72,5.78,13333.92,77253.0226,400,5503.46,31954.1472
2023-03-17T17:00:00+00:00Z,2023-03-17T17:59:59.999000+00:00Z,5.77,5.82,5.74,5.79,6875.66,39726.3773,216,4833.7,27942.9793
2023-03-17T18:00:00+00:00Z,2023-03-17T18:59:59.999000+00:00Z,5.78,5.83,5.75,5.8,6473.74,37463.3588,283,2025.31,11727.8827
2023-03-17T19:00:00+00:00Z,2023-03-17T19:59:59.999000+00:00Z,5.78,5.88,5.75,5.77,9086.55,52677.8307,372,3696.3,21501.2217
