# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,ZROUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-06-20T13:00:00+00:00Z
# t0_final_iso,2024-06-20T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,7bcd23eb57de4aa1
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-06-20T13:00:00+00:00Z,2024-06-20T13:59:59.999000+00:00Z,1.0,5.62,1.0,3.694,18846122.77,80631099.95955,291138,8718559.19,37556253.56027
2024-06-20T14:00:00+00:00Z,2024-06-20T14:59:59.999000+00:00Z,3.693,3.91,3.568,3.719,5215820.61,19410159.51249,82798,2453732.4,9148817.03765
2024-06-20T15:00:00+00:00Z,2024-06-20T15:59:59.999000+00:00Z,3.718,3.719,3.429,3.572,4220011.09,15070320.47914,60096,1847024.95,6599955.00225
2024-06-20T16:00:00+00:00Z,2024-06-20T16:59:59.999000+00:00Z,3.573,3.578,3.375,3.538,2613386.66,9084227.86296,41304,1245891.5,4332663.38542
2024-06-20T17:00:00+00:00Z,2024-06-20T17:59:59.999000+00:00Z,3.539,3.7,3.461,3.697,1749034.58,6278800.66844,24883,906127.8,3254360.22234
2024-06-20T18:00:00+00:00Z,2024-06-20T18:59:59.999000+00:00Z,3.698,3.812,3.616,3.622,1752690.15,6525683.01642,25926,912389.71,3400456.89578
2024-06-20T19:00:00+00:00Z,2024-06-20T19:59:59.999000+00:00Z,3.621,3.662,3.503,3.525,1197044.19,4291377.84654,19167,548717.27,1969428.84434
2024-06-20T20:00:00+00:00Z,2024-06-20T20:59:59.999000+00:00Z,3.525,3.638,3.507,3.614,899238.54,3212895.49684,12523,426277.95,1523360.59358
2024-06-20T21:00:00+00:00Z,2024-06-20T21:59:59.999000+00:00Z,3.614,3.661,3.512,3.514,665116.15,2393105.85047,11440,288107.96,1037282.62147
2024-06-20T22:00:00+00:00Z,2024-06-20T22:59:59.999000+00:00Z,3.515,3.591,3.423,3.432,717095.57,2512841.09795,9377,320115.06,1122553.90619
2024-06-20T23:00:00+00:00Z,2024-06-20T23:59:59.999000+00:00Z,3.43,3.484,3.417,3.432,573492.4,1978394.58005,7237,261780.68,902760.12368
2024-06-21T00:00:00+00:00Z,2024-06-21T00:59:59.999000+00:00Z,3.432,3.48,3.275,3.292,1499913.08,5052214.55295,15255,588776.74,1985047.24239
2024-06-21T01:00:00+00:00Z,2024-06-21T01:59:59.999000+00:00Z,3.291,3.377,3.286,3.339,726496.09,2418911.38568,7565,358058.03,1191214.20575
2024-06-21T02:00:00+00:00Z,2024-06-21T02:59:59.999000+00:00Z,3.339,3.505,3.301,3.436,1626840.61,5545269.56058,17744,827126.61,2819323.32224
2024-06-21T03:00:00+00:00Z,2024-06-21T03:59:59.999000+00:00Z,3.436,3.623,3.41,3.488,1952211.19,6878409.98885,20885,987614.82,3478588.11521
2024-06-21T04:00:00+00:00Z,2024-06-21T04:59:59.999000+00:00Z,3.488,3.53,3.38,3.416,820791.75,2827011.58341,10075,439935.37,1515089.1058
2024-06-21T05:00:00+00:00Z,2024-06-21T05:59:59.999000+00:00Z,3.414,3.427,3.318,3.415,730472.07,2465367.57554,10393,327387.75,1104922.03435
2024-06-21T06:00:00+00:00Z,2024-06-21T06:59:59.999000+00:00Z,3.415,3.434,3.191,3.259,2397383.95,7921224.68728,23473,1015158.47,3354194.82491
2024-06-21T07:00:00+00:00Z,2024-06-21T07:59:59.999000+00:00Z,3.259,3.302,3.123,3.165,1596775.73,5148112.60038,19074,792257.49,2556354.29276
2024-06-21T08:00:00+00:00Z,2024-06-21T08:59:59.999000+00:00Z,3.165,3.212,3.092,3.209,2325459.11,7330178.41554,30825,1129859.61,3564545.97788
2024-06-21T09:00:00+00:00Z,2024-06-21T09:59:59.999000+00:00Z,3.206,3.239,3.117,3.181,1629675.65,5192038.19237,24246,782338.68,2493701.10441
2024-06-21T10:00:00+00:00Z,2024-06-21T10:59:59.999000+00:00Z,3.182,3.209,3.132,3.187,1187333.44,3759048.6931,20142,590284.8,1869802.43841
2024-06-21T11:00:00+00:00Z,2024-06-21T11:59:59.999000+00:00Z,3.187,3.222,3.155,3.203,1192083.99,3800581.27299,18333,609441.89,1943418.08391
2024-06-21T12:00:00+00:00Z,2024-06-21T12:59:59.999000+00:00Z,3.204,3.207,3.12,3.178,1182569.25,3744960.73308,20081,588196.58,1863060.12336
2024-06-21T13:00:00+00:00Z,2024-06-21T13:59:59.999000+00:00Z,3.177,3.203,3.038,3.073,1911335.5,5933331.93738,25244,905204.76,2809724.07048
2024-06-21T14:00:00+00:00Z,2024-06-21T14:59:59.999000+00:00Z,3.071,3.179,3.033,3.138,1655687.48,5158502.82218,23907,841901.35,2624371.66787
2024-06-21T15:00:00+00:00Z,2024-06-21T15:59:59.999000+00:00Z,3.139,3.168,3.0,3.024,1896350.31,5796195.00916,23278,930637.56,2845953.28871
2024-06-21T16:00:00+00:00Z,2024-06-21T16:59:59.999000+00:00Z,3.023,3.144,2.957,3.082,1970707.18,6052786.12791,23823,992765.17,3049977.23132
2024-06-21T17:00:00+00:00Z,2024-06-21T17:59:59.999000+00:00Z,3.081,3.104,2.991,3.017,1263208.59,3842006.40668,17745,618807.47,1882773.38078
2024-06-21T18:00:00+00:00Z,2024-06-21T18:59:59.999000+00:00Z,3.017,3.11,2.962,3.092,1194564.82,3597035.26055,16681,615896.46,1855281.06835
2024-06-21T19:00:00+00:00Z,2024-06-21T19:59:59.999000+00:00Z,3.093,3.141,3.063,3.11,870484.1,2700708.64299,11907,434288.01,1348066.97213
2024-06-21T20:00:00+00:00Z,2024-06-21T20:59:59.999000+00:00Z,3.11,3.134,3.035,3.051,640517.0,1969102.39142,7607,329625.66,1013647.99731
2024-06-21T21:00:00+00:00Z,2024-06-21T21:59:59.999000+00:00Z,3.051,3.085,2.989,3.065,521075.87,1579075.77728,7316,259176.94,785560.38135
2024-06-21T22:00:00+00:00Z,2024-06-21T22:59:59.999000+00:00Z,3.064,3.087,3.042,3.06,374771.9,1149061.48685,5388,183039.81,561256.78757
2024-06-21T23:00:00+00:00Z,2024-06-21T23:59:59.999000+00:00Z,3.061,3.065,3.008,3.04,373786.4,1133171.9408,5023,187983.99,569836.69375
2024-06-22T00:00:00+00:00Z,2024-06-22T00:59:59.999000+00:00Z,3.038,3.041,2.813,2.87,1659339.08,4803515.62986,17433,815045.11,2358278.55531
2024-06-22T01:00:00+00:00Z,2024-06-22T01:59:59.999000+00:00Z,2.872,2.887,2.8,2.849,1272336.99,3616416.22069,11267,593381.44,1686995.37897
2024-06-22T02:00:00+00:00Z,2024-06-22T02:59:59.999000+00:00Z,2.851,2.889,2.831,2.865,525949.15,1504857.98658,7399,236320.62,676319.46281
2024-06-22T03:00:00+00:00Z,2024-06-22T03:59:59.999000+00:00Z,2.865,2.877,2.798,2.87,868696.35,2463516.77014,8449,381170.45,1081842.35208
2024-06-22T04:00:00+00:00Z,2024-06-22T04:59:59.999000+00:00Z,2.87,2.87,2.791,2.844,679284.28,1925422.94268,8426,350141.43,992937.37254
2024-06-22T05:00:00+00:00Z,2024-06-22T05:59:59.999000+00:00Z,2.844,2.869,2.807,2.839,743006.51,2106888.94837,9592,348634.47,988295.02127
2024-06-22T06:00:00+00:00Z,2024-06-22T06:59:59.999000+00:00Z,2.837,2.874,2.821,2.86,490889.19,1401526.0231,6883,245031.13,699510.69939
2024-06-22T07:00:00+00:00Z,2024-06-22T07:59:59.999000+00:00Z,2.859,3.008,2.85,2.959,1501911.38,4423862.02599,16267,779860.92,2298069.57419
2024-06-22T08:00:00+00:00Z,2024-06-22T08:59:59.999000+00:00Z,2.958,3.1,2.907,2.941,1951093.97,5878880.49235,22257,904482.94,2728332.81624
2024-06-22T09:00:00+00:00Z,2024-06-22T09:59:59.999000+00:00Z,2.941,2.992,2.911,2.983,612305.49,1800453.19923,9865,290860.26,855819.51406
2024-06-22T10:00:00+00:00Z,2024-06-22T10:59:59.999000+00:00Z,2.982,3.1,2.973,3.056,1313264.77,4001867.20789,16338,686419.08,2091959.78618
2024-06-22T11:00:00+00:00Z,2024-06-22T11:59:59.999000+00:00Z,3.058,3.075,2.998,3.05,542453.67,1646906.87973,8033,286498.46,869731.83911
2024-06-22T12:00:00+00:00Z,2024-06-22T12:59:59.999000+00:00Z,3.05,3.051,2.996,3.031,444032.12,1340987.72147,7718,209897.46,634254.29282
2024-06-22T13:00:00+00:00Z,2024-06-22T13:59:59.999000+00:00Z,3.031,3.129,3.011,3.05,956926.6,2939223.88137,11414,496685.63,1526040.10596
2024-06-22T14:00:00+00:00Z,2024-06-22T14:59:59.999000+00:00Z,3.048,3.239,3.033,3.146,2161870.45,6825007.60134,20470,1134009.74,3585959.74987
2024-06-22T15:00:00+00:00Z,2024-06-22T15:59:59.999000+00:00Z,3.145,3.32,3.118,3.298,2291183.48,7437905.21023,24204,1184627.11,3846236.33435
2024-06-22T16:00:00+00:00Z,2024-06-22T16:59:59.999000+00:00Z,3.295,3.393,3.178,3.217,2750820.63,9061080.24316,27946,1337149.27,4408999.64408
2024-06-22T17:00:00+00:00Z,2024-06-22T17:59:59.999000+00:00Z,3.217,3.273,3.186,3.261,1067389.49,3449992.92655,10349,476305.2,1540655.92284
2024-06-22T18:00:00+00:00Z,2024-06-22T18:59:59.999000+00:00Z,3.261,3.299,3.223,3.238,1111209.38,3625284.76298,13063,521111.61,1700372.49558
2024-06-22T19:00:00+00:00Z,2024-06-22T19:59:59.999000+00:00Z,3.238,3.258,3.191,3.254,732366.83,2357501.64073,8256,357303.84,1150734.43235
2024-06-22T20:00:00+00:00Z,2024-06-22T20:59:59.999000+00:00Z,3.248,3.248,3.141,3.178,628578.75,2003362.47904,7546,285665.72,911593.93985
2024-06-22T21:00:00+00:00Z,2024-06-22T21:59:59.999000+00:00Z,3.178,3.203,3.144,3.179,468955.34,1485835.05039,5602,225880.86,716019.18653
2024-06-22T22:00:00+00:00Z,2024-06-22T22:59:59.999000+00:00Z,3.178,3.181,3.069,3.097,671868.5,2087766.06528,7697,311258.96,967397.91727
2024-06-22T23:00:00+00:00Z,2024-06-22T23:59:59.999000+00:00Z,3.098,3.132,3.071,3.088,400992.6,1240964.18484,5867,180657.6,559705.24139
2024-06-23T00:00:00+00:00Z,2024-06-23T00:59:59.999000+00:00Z,3.089,3.13,3.052,3.075,480880.99,1485559.43804,6436,246140.15,760490.51848
2024-06-23T01:00:00+00:00Z,2024-06-23T01:59:59.999000+00:00Z,3.074,3.299,3.058,3.212,1286319.91,4101186.59132,13740,708533.39,2254664.62403
2024-06-23T02:00:00+00:00Z,2024-06-23T02:59:59.999000+00:00Z,3.213,3.233,3.097,3.117,797834.3,2525013.89365,9367,387763.58,1228442.56197
2024-06-23T03:00:00+00:00Z,2024-06-23T03:59:59.999000+00:00Z,3.117,3.148,3.093,3.107,646828.94,2017733.74356,7339,350966.89,1094876.77767
2024-06-23T04:00:00+00:00Z,2024-06-23T04:59:59.999000+00:00Z,3.108,3.146,3.085,3.121,417590.56,1300201.13461,5256,245158.09,763249.47975
2024-06-23T05:00:00+00:00Z,2024-06-23T05:59:59.999000+00:00Z,3.121,3.144,3.079,3.089,436733.42,1356041.1279,6490,234040.91,726801.3173
2024-06-23T06:00:00+00:00Z,2024-06-23T06:59:59.999000+00:00Z,3.091,3.123,3.083,3.103,195867.53,607515.81879,2826,101675.57,315413.37424
2024-06-23T07:00:00+00:00Z,2024-06-23T07:59:59.999000+00:00Z,3.104,3.123,3.084,3.091,241220.84,748076.48838,3093,113242.9,351224.312
2024-06-23T08:00:00+00:00Z,2024-06-23T08:59:59.999000+00:00Z,3.09,3.121,3.086,3.121,238311.45,739914.46453,2647,109901.64,341281.47656
2024-06-23T09:00:00+00:00Z,2024-06-23T09:59:59.999000+00:00Z,3.121,3.141,3.007,3.037,762165.46,2334552.95149,9013,365108.04,1119022.14876
