# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,DOLOUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-08-27T16:00:00+00:00Z
# t0_final_iso,2025-08-27T16:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,e29e2c9496ae6bdc
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-08-27T16:00:00+00:00Z,2025-08-27T16:59:59.999000+00:00Z,0.2,0.297,0.2,0.2391,99588290.8,25349636.4719,138314,45511005.9,11621204.85196
2025-08-27T17:00:00+00:00Z,2025-08-27T17:59:59.999000+00:00Z,0.2391,0.2549,0.2366,0.2494,14035243.9,3457710.92704,25816,7203757.1,1775794.2241
2025-08-27T18:00:00+00:00Z,2025-08-27T18:59:59.999000+00:00Z,0.2493,0.2591,0.2462,0.2579,10209324.3,2577473.70504,22049,5782578.4,1459746.13321
2025-08-27T19:00:00+00:00Z,2025-08-27T19:59:59.999000+00:00Z,0.2578,0.2597,0.2472,0.2524,8462783.6,2133796.18173,27594,3966033.6,999613.21858
2025-08-27T20:00:00+00:00Z,2025-08-27T20:59:59.999000+00:00Z,0.2525,0.2529,0.247,0.2511,5342421.1,1335976.50661,12535,2670629.3,668443.86724
2025-08-27T21:00:00+00:00Z,2025-08-27T21:59:59.999000+00:00Z,0.2512,0.2513,0.2392,0.2412,5837066.9,1424764.29743,8082,2353046.3,574295.45995
2025-08-27T22:00:00+00:00Z,2025-08-27T22:59:59.999000+00:00Z,0.2405,0.2409,0.2253,0.2287,8570055.3,1985805.93443,11544,3987956.2,923758.69015
2025-08-27T23:00:00+00:00Z,2025-08-27T23:59:59.999000+00:00Z,0.2288,0.2299,0.2186,0.2204,5806867.1,1300766.20932,8766,2989699.1,669197.41693
2025-08-28T00:00:00+00:00Z,2025-08-28T00:59:59.999000+00:00Z,0.2203,0.2206,0.2087,0.2097,7558455.4,1611562.69842,13702,3659348.0,780264.62016
2025-08-28T01:00:00+00:00Z,2025-08-28T01:59:59.999000+00:00Z,0.2096,0.2193,0.2064,0.2124,4916974.6,1045796.72559,8325,2576134.9,548183.38142
2025-08-28T02:00:00+00:00Z,2025-08-28T02:59:59.999000+00:00Z,0.2126,0.214,0.2002,0.2032,5732599.3,1171529.88568,9806,2595097.7,530162.00858
2025-08-28T03:00:00+00:00Z,2025-08-28T03:59:59.999000+00:00Z,0.2033,0.2034,0.1871,0.1934,10006995.5,1951068.29663,13268,4545268.9,885865.02382
2025-08-28T04:00:00+00:00Z,2025-08-28T04:59:59.999000+00:00Z,0.1934,0.2097,0.19,0.2082,10337237.0,2085274.69283,19447,5586582.6,1127585.62636
2025-08-28T05:00:00+00:00Z,2025-08-28T05:59:59.999000+00:00Z,0.2081,0.2082,0.1971,0.2001,8125338.8,1646304.33317,13406,3969005.5,804623.54391
2025-08-28T06:00:00+00:00Z,2025-08-28T06:59:59.999000+00:00Z,0.2002,0.2073,0.1991,0.2043,5286113.0,1071764.67287,8980,2946417.5,597196.81198
2025-08-28T07:00:00+00:00Z,2025-08-28T07:59:59.999000+00:00Z,0.2046,0.2069,0.1992,0.1995,6225719.7,1262112.69322,21362,2906513.8,589310.87855
2025-08-28T08:00:00+00:00Z,2025-08-28T08:59:59.999000+00:00Z,0.1993,0.2123,0.1988,0.2088,8204324.8,1684946.87249,16449,4517020.4,925881.87756
2025-08-28T09:00:00+00:00Z,2025-08-28T09:59:59.999000+00:00Z,0.2088,0.2195,0.2083,0.2141,61266908.1,13127873.52975,205119,30876914.5,6619018.49985
2025-08-28T10:00:00+00:00Z,2025-08-28T10:59:59.999000+00:00Z,0.2142,0.2183,0.2079,0.2114,25975820.5,5572630.86831,92092,12808085.0,2748449.71133
2025-08-28T11:00:00+00:00Z,2025-08-28T11:59:59.999000+00:00Z,0.2114,0.2123,0.2053,0.2056,6321806.3,1313585.00014,13826,3060576.7,636239.43832
2025-08-28T12:00:00+00:00Z,2025-08-28T12:59:59.999000+00:00Z,0.2054,0.218,0.2028,0.2142,8634410.4,1826602.72972,19100,5025805.3,1063493.54017
2025-08-28T13:00:00+00:00Z,2025-08-28T13:59:59.999000+00:00Z,0.2144,0.2172,0.2087,0.2092,4700421.6,1005292.52612,10918,2286709.3,489570.23548
2025-08-28T14:00:00+00:00Z,2025-08-28T14:59:59.999000+00:00Z,0.2094,0.2143,0.2076,0.2105,4968638.3,1051679.52403,10027,2452029.7,519593.89888
2025-08-28T15:00:00+00:00Z,2025-08-28T15:59:59.999000+00:00Z,0.2106,0.24,0.2102,0.2397,24637528.3,5629684.39677,39233,13532501.2,3078746.38259
2025-08-28T16:00:00+00:00Z,2025-08-28T16:59:59.999000+00:00Z,0.2397,0.2506,0.2343,0.2406,14855859.2,3604120.20089,21195,7193124.2,1747908.90774
2025-08-28T17:00:00+00:00Z,2025-08-28T17:59:59.999000+00:00Z,0.2404,0.2424,0.229,0.2315,6993227.9,1639040.92036,15715,3564167.8,835457.95325
2025-08-28T18:00:00+00:00Z,2025-08-28T18:59:59.999000+00:00Z,0.2314,0.2446,0.2311,0.2408,6031125.8,1433048.6742,11020,3052467.9,725395.43424
2025-08-28T19:00:00+00:00Z,2025-08-28T19:59:59.999000+00:00Z,0.2407,0.2489,0.2347,0.2384,13095720.7,3167862.50921,12257,6442668.4,1555159.54596
2025-08-28T20:00:00+00:00Z,2025-08-28T20:59:59.999000+00:00Z,0.2382,0.2412,0.2358,0.2378,2935439.5,701478.05901,5194,1258660.4,300909.20945
2025-08-28T21:00:00+00:00Z,2025-08-28T21:59:59.999000+00:00Z,0.2377,0.2473,0.2334,0.2461,3757528.1,902830.08615,7580,2012375.3,484468.04868
2025-08-28T22:00:00+00:00Z,2025-08-28T22:59:59.999000+00:00Z,0.2461,0.2519,0.2443,0.2473,3528500.3,874021.45318,8933,1726731.9,428120.91776
2025-08-28T23:00:00+00:00Z,2025-08-28T23:59:59.999000+00:00Z,0.2474,0.2478,0.2393,0.2395,2787535.0,678835.43708,7945,1457746.9,355211.22983
2025-08-29T00:00:00+00:00Z,2025-08-29T00:59:59.999000+00:00Z,0.2395,0.2408,0.2307,0.231,2695409.3,634089.90732,6227,1110115.2,260739.08469
2025-08-29T01:00:00+00:00Z,2025-08-29T01:59:59.999000+00:00Z,0.231,0.2344,0.2293,0.2317,2870570.4,665862.49188,6161,1287690.1,298708.80956
2025-08-29T02:00:00+00:00Z,2025-08-29T02:59:59.999000+00:00Z,0.2318,0.2455,0.2304,0.2403,7580041.9,1817027.85362,10767,3962876.0,949733.39523
2025-08-29T03:00:00+00:00Z,2025-08-29T03:59:59.999000+00:00Z,0.2403,0.2411,0.2306,0.233,3943125.8,931734.00696,8321,1903094.2,450022.90987
2025-08-29T04:00:00+00:00Z,2025-08-29T04:59:59.999000+00:00Z,0.233,0.2339,0.2283,0.2308,3204848.9,741348.01809,6629,1332094.2,308325.45336
2025-08-29T05:00:00+00:00Z,2025-08-29T05:59:59.999000+00:00Z,0.2308,0.233,0.2253,0.2316,3638379.5,833131.17904,7076,1848945.8,423708.45193
2025-08-29T06:00:00+00:00Z,2025-08-29T06:59:59.999000+00:00Z,0.2316,0.234,0.228,0.2321,2877039.8,663654.36229,6680,1431431.6,330513.39199
2025-08-29T07:00:00+00:00Z,2025-08-29T07:59:59.999000+00:00Z,0.2321,0.2389,0.2259,0.2276,4190540.7,971907.34973,7714,1956736.1,455564.37281
2025-08-29T08:00:00+00:00Z,2025-08-29T08:59:59.999000+00:00Z,0.2276,0.2277,0.2213,0.222,3272822.5,731753.93023,7303,1622459.8,362752.88001
