# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,STEEMUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-04-22T10:00:00+00:00Z
# t0_final_iso,2022-04-22T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,cb387555ab358bbf
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-04-22T10:00:00+00:00Z,2022-04-22T10:59:59.999000+00:00Z,0.5988,0.6688,0.5421,0.5734,14451905.1,8461348.35467,34223,6706523.3,3930207.83977
2022-04-22T11:00:00+00:00Z,2022-04-22T11:59:59.999000+00:00Z,0.5739,0.5887,0.5433,0.5577,2421199.4,1370071.76452,6112,1146070.0,649673.58579
2022-04-22T12:00:00+00:00Z,2022-04-22T12:59:59.999000+00:00Z,0.5547,0.5629,0.539,0.5423,1242098.1,683121.41658,3604,661832.5,363993.33009
2022-04-22T13:00:00+00:00Z,2022-04-22T13:59:59.999000+00:00Z,0.5421,0.5556,0.525,0.5319,1650051.7,891597.32308,4250,851609.7,460289.36586
2022-04-22T14:00:00+00:00Z,2022-04-22T14:59:59.999000+00:00Z,0.5318,0.5342,0.5112,0.5232,1262840.7,662500.45089,3517,661209.9,347239.6156
2022-04-22T15:00:00+00:00Z,2022-04-22T15:59:59.999000+00:00Z,0.5227,0.5252,0.5097,0.5139,874526.5,453231.42841,2626,477725.3,247786.51594
2022-04-22T16:00:00+00:00Z,2022-04-22T16:59:59.999000+00:00Z,0.514,0.5225,0.502,0.5066,908872.0,464297.73541,2862,476094.2,243515.25202
2022-04-22T17:00:00+00:00Z,2022-04-22T17:59:59.999000+00:00Z,0.5049,0.52,0.5002,0.5056,945446.1,480070.98532,2732,398680.1,202753.15103
2022-04-22T18:00:00+00:00Z,2022-04-22T18:59:59.999000+00:00Z,0.5038,0.52,0.5017,0.5146,1309555.4,671922.20004,3827,492714.7,252719.14862
2022-04-22T19:00:00+00:00Z,2022-04-22T19:59:59.999000+00:00Z,0.5149,0.5198,0.5097,0.5165,940151.5,483863.57864,2383,406000.7,208793.48488
