# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,DRIFTUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-05-16T10:00:00+00:00Z
# t0_final_iso,2024-05-16T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,bb999093f6d86937
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-05-16T10:00:00+00:00Z,2024-05-16T11:00:00+00:00Z,0.1,1.3912,0.1,0.695,1870769.13,1545066.906699,0,0,0
2024-05-16T11:00:00+00:00Z,2024-05-16T12:00:00+00:00Z,0.695,0.73,0.5612,0.5861,923054.66,580326.31689,0,0,0
2024-05-16T12:00:00+00:00Z,2024-05-16T13:00:00+00:00Z,0.5861,0.6069,0.4286,0.4686,832331.41,407810.643096,0,0,0
2024-05-16T13:00:00+00:00Z,2024-05-16T14:00:00+00:00Z,0.4686,0.4763,0.4424,0.4585,540844.87,244445.131138,0,0,0
2024-05-16T14:00:00+00:00Z,2024-05-16T15:00:00+00:00Z,0.4585,0.4614,0.334,0.345,1881952.09,724942.208247,0,0,0
2024-05-16T15:00:00+00:00Z,2024-05-16T16:00:00+00:00Z,0.345,0.3483,0.31,0.3329,1490262.87,480527.138632,0,0,0
2024-05-16T16:00:00+00:00Z,2024-05-16T17:00:00+00:00Z,0.3329,0.3329,0.2884,0.2937,1533833.5,479410.979139,0,0,0
2024-05-16T17:00:00+00:00Z,2024-05-16T18:00:00+00:00Z,0.2937,0.3277,0.2806,0.2966,1274238.09,384248.096154,0,0,0
2024-05-16T18:00:00+00:00Z,2024-05-16T19:00:00+00:00Z,0.2966,0.31,0.255,0.3083,1977428.98,549820.006742,0,0,0
2024-05-16T19:00:00+00:00Z,2024-05-16T20:00:00+00:00Z,0.3083,0.3197,0.2897,0.3011,730140.13,221338.849565,0,0,0
2024-05-16T20:00:00+00:00Z,2024-05-16T21:00:00+00:00Z,0.3011,0.3072,0.28,0.2924,694450.87,202851.991204,0,0,0
2024-05-16T21:00:00+00:00Z,2024-05-16T22:00:00+00:00Z,0.2924,0.2964,0.277,0.2781,708847.95,201592.852542,0,0,0
