# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ALGOUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-11-12T08:00:00+00:00Z
# t0_final_iso,2021-11-12T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,1df85d60b654a47f
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-11-12T08:00:00+00:00Z,2021-11-12T09:00:00+00:00Z,2.17224,2.20836,2.14249,2.1947,752.7,1631.0212303,0,0,0
2021-11-12T09:00:00+00:00Z,2021-11-12T10:00:00+00:00Z,2.1947,2.19849,2.08702,2.10958,1387.9,2971.7211095,0,0,0
2021-11-12T10:00:00+00:00Z,2021-11-12T11:00:00+00:00Z,2.10958,2.15205,2.07326,2.11919,1391.38,2948.2641574,0,0,0
2021-11-12T11:00:00+00:00Z,2021-11-12T12:00:00+00:00Z,2.11919,2.19155,2.10813,2.12102,1729.8,3720.0451312,0,0,0
2021-11-12T12:00:00+00:00Z,2021-11-12T13:00:00+00:00Z,2.12102,2.20786,2.1,2.1472,4004.77,8592.0357901,0,0,0
2021-11-12T13:00:00+00:00Z,2021-11-12T14:00:00+00:00Z,2.1472,2.1976,2.11894,2.18875,3259.29,7067.4105654,0,0,0
2021-11-12T14:00:00+00:00Z,2021-11-12T15:00:00+00:00Z,2.18875,2.28573,2.17063,2.21048,3104.06,6916.3024537,0,0,0
2021-11-12T15:00:00+00:00Z,2021-11-12T16:00:00+00:00Z,2.21048,2.26269,2.16267,2.22536,2889.73,6382.2864306,0,0,0
2021-11-12T16:00:00+00:00Z,2021-11-12T17:00:00+00:00Z,2.22536,2.36947,2.21905,2.29401,8103.41,18879.8939024,0,0,0
2021-11-12T17:00:00+00:00Z,2021-11-12T18:00:00+00:00Z,2.29401,2.29401,2.227,2.23243,1821.95,4106.8082449,0,0,0
2021-11-12T18:00:00+00:00Z,2021-11-12T19:00:00+00:00Z,2.23243,2.27868,2.22397,2.23568,3432.62,7727.9285762,0,0,0
2021-11-12T19:00:00+00:00Z,2021-11-12T20:00:00+00:00Z,2.23568,2.2607,2.20197,2.21772,1229.36,2750.3169795,0,0,0
2021-11-12T20:00:00+00:00Z,2021-11-12T21:00:00+00:00Z,2.21772,2.24852,2.17948,2.22008,2983.44,6602.8116979,0,0,0
2021-11-12T21:00:00+00:00Z,2021-11-12T22:00:00+00:00Z,2.22008,2.23436,2.15184,2.17,1281.35,2810.4146857,0,0,0
2021-11-12T22:00:00+00:00Z,2021-11-12T23:00:00+00:00Z,2.17,2.17575,2.12522,2.13668,1584.57,3399.9817699,0,0,0
2021-11-12T23:00:00+00:00Z,2021-11-13T00:00:00+00:00Z,2.13668,2.1616,2.12413,2.14189,1417.01,3033.4922568,0,0,0
2021-11-13T00:00:00+00:00Z,2021-11-13T01:00:00+00:00Z,2.14189,2.16346,2.12072,2.1367,2023.51,4331.9535936,0,0,0
2021-11-13T01:00:00+00:00Z,2021-11-13T02:00:00+00:00Z,2.1367,2.1367,2.08792,2.09207,1754.73,3702.6782796,0,0,0
2021-11-13T02:00:00+00:00Z,2021-11-13T03:00:00+00:00Z,2.09207,2.12,2.07,2.09235,1238.25,2602.3901243,0,0,0
2021-11-13T03:00:00+00:00Z,2021-11-13T04:00:00+00:00Z,2.09235,2.12,2.0749,2.08048,1560.45,3270.1597229,0,0,0
2021-11-13T04:00:00+00:00Z,2021-11-13T05:00:00+00:00Z,2.08048,2.09635,2.06489,2.06489,1335.66,2782.1102796,0,0,0
2021-11-13T05:00:00+00:00Z,2021-11-13T06:00:00+00:00Z,2.06489,2.09397,2.05791,2.07198,1625.96,3372.5676498,0,0,0
2021-11-13T06:00:00+00:00Z,2021-11-13T07:00:00+00:00Z,2.07198,2.11031,2.07044,2.08914,1992.93,4153.9341633,0,0,0
2021-11-13T07:00:00+00:00Z,2021-11-13T08:00:00+00:00Z,2.08914,2.09443,2.06367,2.08329,2372.02,4937.577327,0,0,0
2021-11-13T08:00:00+00:00Z,2021-11-13T09:00:00+00:00Z,2.08329,2.10605,2.05,2.0649,6537.58,13622.2001941,0,0,0
2021-11-13T09:00:00+00:00Z,2021-11-13T10:00:00+00:00Z,2.0649,2.07235,2.0383,2.04462,4041.09,8290.9503603,0,0,0
2021-11-13T10:00:00+00:00Z,2021-11-13T11:00:00+00:00Z,2.04462,2.07131,2.03857,2.06141,3655.69,7500.8686241,0,0,0
2021-11-13T11:00:00+00:00Z,2021-11-13T12:00:00+00:00Z,2.06141,2.06802,2.02473,2.04763,2858.71,5870.1399407,0,0,0
2021-11-13T12:00:00+00:00Z,2021-11-13T13:00:00+00:00Z,2.04763,2.0575,2.02765,2.0524,2877.71,5896.3431713,0,0,0
