# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,STXUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-03-17T10:00:00+00:00Z
# t0_final_iso,2022-03-17T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,1e7c93e86650ebbb
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-03-17T10:00:00+00:00Z,2022-03-17T11:00:00+00:00Z,1.2376,1.2555,1.2363,1.2363,2330.65,2907.400575,0,0,0
2022-03-17T11:00:00+00:00Z,2022-03-17T12:00:00+00:00Z,1.2363,1.25,1.2294,1.2396,466.37,579.387931,0,0,0
2022-03-17T12:00:00+00:00Z,2022-03-17T13:00:00+00:00Z,1.2396,1.2631,1.2362,1.2554,3849.65,4798.529395,0,0,0
2022-03-17T13:00:00+00:00Z,2022-03-17T14:00:00+00:00Z,1.2554,1.2658,1.2232,1.2658,5396.77,6682.567231,0,0,0
2022-03-17T14:00:00+00:00Z,2022-03-17T15:00:00+00:00Z,1.2658,1.2729,1.2359,1.2549,576.58,727.124546,0,0,0
2022-03-17T15:00:00+00:00Z,2022-03-17T16:00:00+00:00Z,1.2549,1.2597,1.2378,1.2437,307.47,383.962425,0,0,0
2022-03-17T16:00:00+00:00Z,2022-03-17T17:00:00+00:00Z,1.2437,1.2619,1.2374,1.2563,352.33,440.989787,0,0,0
2022-03-17T17:00:00+00:00Z,2022-03-17T18:00:00+00:00Z,1.2563,1.2583,1.2345,1.2573,432.69,539.077455,0,0,0
2022-03-17T18:00:00+00:00Z,2022-03-17T19:00:00+00:00Z,1.2573,1.2602,1.2382,1.2543,351.21,438.705784,0,0,0
2022-03-17T19:00:00+00:00Z,2022-03-17T20:00:00+00:00Z,1.2543,1.2592,1.2379,1.2421,352.84,440.982981,0,0,0
2022-03-17T20:00:00+00:00Z,2022-03-17T21:00:00+00:00Z,1.2421,1.2597,1.24,1.2591,295.76,368.810263,0,0,0
2022-03-17T21:00:00+00:00Z,2022-03-17T22:00:00+00:00Z,1.2591,1.266,1.2398,1.266,298.16,372.387311,0,0,0
2022-03-17T22:00:00+00:00Z,2022-03-17T23:00:00+00:00Z,1.266,1.275,1.2504,1.2577,346.25,437.3759,0,0,0
2022-03-17T23:00:00+00:00Z,2022-03-18T00:00:00+00:00Z,1.2577,1.2811,1.2563,1.2794,613.99,775.326015,0,0,0
2022-03-18T00:00:00+00:00Z,2022-03-18T01:00:00+00:00Z,1.2794,1.2794,1.2409,1.2409,1040.21,1301.374702,0,0,0
2022-03-18T01:00:00+00:00Z,2022-03-18T02:00:00+00:00Z,1.2409,1.256,1.2384,1.2384,476.7,593.170702,0,0,0
2022-03-18T02:00:00+00:00Z,2022-03-18T03:00:00+00:00Z,1.2384,1.2534,1.2383,1.2517,337.95,420.934927,0,0,0
2022-03-18T03:00:00+00:00Z,2022-03-18T04:00:00+00:00Z,1.2517,1.2517,1.2379,1.2379,311.0,386.198845,0,0,0
2022-03-18T04:00:00+00:00Z,2022-03-18T05:00:00+00:00Z,1.2379,1.2486,1.2344,1.2344,403.25,500.083837,0,0,0
2022-03-18T05:00:00+00:00Z,2022-03-18T06:00:00+00:00Z,1.2344,1.2555,1.2344,1.2545,297.38,369.958676,0,0,0
2022-03-18T06:00:00+00:00Z,2022-03-18T07:00:00+00:00Z,1.2545,1.2561,1.2352,1.2501,330.06,410.474373,0,0,0
2022-03-18T07:00:00+00:00Z,2022-03-18T08:00:00+00:00Z,1.2501,1.2525,1.2326,1.2326,278.92,346.694515,0,0,0
2022-03-18T08:00:00+00:00Z,2022-03-18T09:00:00+00:00Z,1.2326,1.2537,1.2326,1.2427,516.6,641.772542,0,0,0
2022-03-18T09:00:00+00:00Z,2022-03-18T10:00:00+00:00Z,1.2427,1.2447,1.2322,1.2322,329.68,407.265929,0,0,0
2022-03-18T10:00:00+00:00Z,2022-03-18T11:00:00+00:00Z,1.2322,1.2555,1.2307,1.2307,366.09,453.928648,0,0,0
2022-03-18T11:00:00+00:00Z,2022-03-18T12:00:00+00:00Z,1.2307,1.2517,1.2298,1.2378,306.6,379.448452,0,0,0
2022-03-18T12:00:00+00:00Z,2022-03-18T13:00:00+00:00Z,1.2378,1.2448,1.2285,1.2379,333.5,411.645526,0,0,0
2022-03-18T13:00:00+00:00Z,2022-03-18T14:00:00+00:00Z,1.2379,1.2412,1.227,1.227,383.99,473.670554,0,0,0
2022-03-18T14:00:00+00:00Z,2022-03-18T15:00:00+00:00Z,1.227,1.2467,1.227,1.2467,319.12,394.509727,0,0,0
2022-03-18T15:00:00+00:00Z,2022-03-18T16:00:00+00:00Z,1.2467,1.323,1.2323,1.2952,4660.28,5992.611525,0,0,0
2022-03-18T16:00:00+00:00Z,2022-03-18T17:00:00+00:00Z,1.2952,1.3187,1.2806,1.2882,313.56,404.821205,0,0,0
2022-03-18T17:00:00+00:00Z,2022-03-18T18:00:00+00:00Z,1.2882,1.2936,1.2749,1.2749,275.87,353.901676,0,0,0
2022-03-18T18:00:00+00:00Z,2022-03-18T19:00:00+00:00Z,1.2749,1.2962,1.274,1.2946,338.44,434.256458,0,0,0
2022-03-18T19:00:00+00:00Z,2022-03-18T20:00:00+00:00Z,1.2946,1.3032,1.2762,1.299,287.8,370.549275,0,0,0
2022-03-18T20:00:00+00:00Z,2022-03-18T21:00:00+00:00Z,1.299,1.3092,1.282,1.2861,330.56,427.490407,0,0,0
2022-03-18T21:00:00+00:00Z,2022-03-18T22:00:00+00:00Z,1.2861,1.3088,1.2819,1.2862,326.49,423.207867,0,0,0
