# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,MVLUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-04-28T08:00:00+00:00Z
# t0_final_iso,2023-04-28T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,8b7a1f9abbe2113f
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-04-28T08:00:00+00:00Z,2023-04-28T09:00:00+00:00Z,0.0035,0.005259,0.0035,0.004565,49653795.7,241798.76530787,0,0,0
2023-04-28T09:00:00+00:00Z,2023-04-28T10:00:00+00:00Z,0.004565,0.0048,0.004562,0.004597,6682014.14,31448.99941682,0,0,0
2023-04-28T10:00:00+00:00Z,2023-04-28T11:00:00+00:00Z,0.004597,0.0047,0.004555,0.004599,3512507.06,16107.71666041,0,0,0
2023-04-28T11:00:00+00:00Z,2023-04-28T12:00:00+00:00Z,0.004599,0.004683,0.00448,0.004524,2532821.04,11525.44530046,0,0,0
2023-04-28T12:00:00+00:00Z,2023-04-28T13:00:00+00:00Z,0.004524,0.00464,0.004441,0.004442,1532586.75,6937.56776604,0,0,0
2023-04-28T13:00:00+00:00Z,2023-04-28T14:00:00+00:00Z,0.004442,0.004767,0.00435,0.004542,4759409.93,21197.50271809,0,0,0
2023-04-28T14:00:00+00:00Z,2023-04-28T15:00:00+00:00Z,0.004542,0.0046,0.00438,0.004415,4115061.3,18218.61912916,0,0,0
2023-04-28T15:00:00+00:00Z,2023-04-28T16:00:00+00:00Z,0.004415,0.004503,0.00439,0.004403,14270316.71,62860.45270348,0,0,0
2023-04-28T16:00:00+00:00Z,2023-04-28T17:00:00+00:00Z,0.004403,0.004464,0.00439,0.004416,12212319.15,53789.08623429,0,0,0
2023-04-28T17:00:00+00:00Z,2023-04-28T18:00:00+00:00Z,0.004416,0.004423,0.00438,0.00442,2458261.76,10838.23686753,0,0,0
2023-04-28T18:00:00+00:00Z,2023-04-28T19:00:00+00:00Z,0.00442,0.004424,0.004417,0.004421,725752.62,3207.56973969,0,0,0
2023-04-28T19:00:00+00:00Z,2023-04-28T20:00:00+00:00Z,0.004421,0.004427,0.004403,0.004427,1577458.86,6974.49351357,0,0,0
2023-04-28T20:00:00+00:00Z,2023-04-28T21:00:00+00:00Z,0.004427,0.00444,0.004423,0.00444,1186803.29,5265.11342538,0,0,0
2023-04-28T21:00:00+00:00Z,2023-04-28T22:00:00+00:00Z,0.00444,0.00444,0.004379,0.004401,953089.54,4210.89471184,0,0,0
2023-04-28T22:00:00+00:00Z,2023-04-28T23:00:00+00:00Z,0.004401,0.00442,0.004399,0.004399,229226.01,1009.85151686,0,0,0
2023-04-28T23:00:00+00:00Z,2023-04-29T00:00:00+00:00Z,0.004399,0.00441,0.004398,0.004405,287353.9,1264.74136228,0,0,0
2023-04-29T00:00:00+00:00Z,2023-04-29T01:00:00+00:00Z,0.004405,0.004421,0.004242,0.004253,608236.29,2627.85718405,0,0,0
2023-04-29T01:00:00+00:00Z,2023-04-29T02:00:00+00:00Z,0.004253,0.00445,0.00406,0.004091,1064003.21,4463.72696141,0,0,0
2023-04-29T02:00:00+00:00Z,2023-04-29T03:00:00+00:00Z,0.004091,0.0044,0.00409,0.004213,600898.93,2542.276385,0,0,0
2023-04-29T03:00:00+00:00Z,2023-04-29T04:00:00+00:00Z,0.004213,0.0044,0.00409,0.004114,547964.68,2282.74403836,0,0,0
2023-04-29T04:00:00+00:00Z,2023-04-29T05:00:00+00:00Z,0.004114,0.0044,0.004111,0.004238,559978.07,2379.85073991,0,0,0
2023-04-29T05:00:00+00:00Z,2023-04-29T06:00:00+00:00Z,0.004238,0.004341,0.004104,0.004105,771576.32,3273.00207371,0,0,0
2023-04-29T06:00:00+00:00Z,2023-04-29T07:00:00+00:00Z,0.004105,0.00435,0.004105,0.004344,1658291.09,7000.43141763,0,0,0
2023-04-29T07:00:00+00:00Z,2023-04-29T08:00:00+00:00Z,0.004344,0.004344,0.004251,0.004258,767987.57,3271.96199021,0,0,0
2023-04-29T08:00:00+00:00Z,2023-04-29T09:00:00+00:00Z,0.004258,0.0043,0.004151,0.004181,2377657.39,10108.11579727,0,0,0
2023-04-29T09:00:00+00:00Z,2023-04-29T10:00:00+00:00Z,0.004181,0.004254,0.004126,0.004199,1128889.09,4729.54093689,0,0,0
2023-04-29T10:00:00+00:00Z,2023-04-29T11:00:00+00:00Z,0.004199,0.004271,0.00418,0.004215,813677.94,3425.17470291,0,0,0
2023-04-29T11:00:00+00:00Z,2023-04-29T12:00:00+00:00Z,0.004215,0.00438,0.004181,0.004187,521868.23,2198.95214342,0,0,0
2023-04-29T12:00:00+00:00Z,2023-04-29T13:00:00+00:00Z,0.004187,0.0043,0.004135,0.004257,609069.71,2557.63393196,0,0,0
2023-04-29T13:00:00+00:00Z,2023-04-29T14:00:00+00:00Z,0.004257,0.004257,0.00412,0.004121,621857.17,2597.52073759,0,0,0
2023-04-29T14:00:00+00:00Z,2023-04-29T15:00:00+00:00Z,0.004121,0.004299,0.0041,0.004145,1343125.38,5602.16127831,0,0,0
2023-04-29T15:00:00+00:00Z,2023-04-29T16:00:00+00:00Z,0.004145,0.004245,0.004145,0.00415,141271.98,590.07370251,0,0,0
2023-04-29T16:00:00+00:00Z,2023-04-29T17:00:00+00:00Z,0.00415,0.004197,0.00411,0.004197,360576.86,1497.75417946,0,0,0
2023-04-29T17:00:00+00:00Z,2023-04-29T18:00:00+00:00Z,0.004197,0.00423,0.004125,0.004126,367848.41,1528.12666572,0,0,0
2023-04-29T18:00:00+00:00Z,2023-04-29T19:00:00+00:00Z,0.004126,0.004138,0.00409,0.00409,357916.2,1474.80360256,0,0,0
2023-04-29T19:00:00+00:00Z,2023-04-29T20:00:00+00:00Z,0.00409,0.004099,0.004005,0.004005,462095.54,1870.62507116,0,0,0
2023-04-29T20:00:00+00:00Z,2023-04-29T21:00:00+00:00Z,0.004005,0.004048,0.003629,0.004029,1346226.68,5312.47745979,0,0,0
2023-04-29T21:00:00+00:00Z,2023-04-29T22:00:00+00:00Z,0.004029,0.004153,0.003841,0.00414,453312.7,1857.9966457,0,0,0
2023-04-29T22:00:00+00:00Z,2023-04-29T23:00:00+00:00Z,0.00414,0.00414,0.004,0.004016,145718.24,587.37505694,0,0,0
2023-04-29T23:00:00+00:00Z,2023-04-30T00:00:00+00:00Z,0.004016,0.00422,0.00401,0.00422,576137.12,2357.66290739,0,0,0
2023-04-30T00:00:00+00:00Z,2023-04-30T01:00:00+00:00Z,0.00422,0.004252,0.004005,0.004252,381680.93,1597.62655728,0,0,0
2023-04-30T01:00:00+00:00Z,2023-04-30T02:00:00+00:00Z,0.004252,0.00428,0.004017,0.00425,147494.53,624.37017945,0,0,0
2023-04-30T02:00:00+00:00Z,2023-04-30T03:00:00+00:00Z,0.00425,0.00425,0.0039,0.00409,338719.77,1363.44157168,0,0,0
2023-04-30T03:00:00+00:00Z,2023-04-30T04:00:00+00:00Z,0.00409,0.00423,0.0039,0.00423,602200.43,2445.91476186,0,0,0
2023-04-30T04:00:00+00:00Z,2023-04-30T05:00:00+00:00Z,0.00423,0.00423,0.004038,0.004038,27533.36,112.05425309,0,0,0
2023-04-30T05:00:00+00:00Z,2023-04-30T06:00:00+00:00Z,0.004038,0.00421,0.004038,0.004124,346374.01,1446.35866694,0,0,0
2023-04-30T06:00:00+00:00Z,2023-04-30T07:00:00+00:00Z,0.004124,0.004231,0.004124,0.004169,173304.74,730.38533023,0,0,0
2023-04-30T07:00:00+00:00Z,2023-04-30T08:00:00+00:00Z,0.004169,0.004229,0.004131,0.004131,1088404.15,4529.57109716,0,0,0
2023-04-30T08:00:00+00:00Z,2023-04-30T09:00:00+00:00Z,0.004131,0.004167,0.004121,0.004133,1734131.58,7182.18604673,0,0,0
2023-04-30T09:00:00+00:00Z,2023-04-30T10:00:00+00:00Z,0.004133,0.00416,0.004128,0.004152,722750.16,2999.21401538,0,0,0
2023-04-30T10:00:00+00:00Z,2023-04-30T11:00:00+00:00Z,0.004152,0.00421,0.004136,0.004156,1422706.37,5906.34236769,0,0,0
2023-04-30T11:00:00+00:00Z,2023-04-30T12:00:00+00:00Z,0.004156,0.004157,0.004121,0.004142,916478.32,3797.04098051,0,0,0
2023-04-30T12:00:00+00:00Z,2023-04-30T13:00:00+00:00Z,0.004142,0.004144,0.004122,0.004122,944267.34,3901.03044932,0,0,0
2023-04-30T13:00:00+00:00Z,2023-04-30T14:00:00+00:00Z,0.004122,0.004165,0.004106,0.004108,1020258.58,4210.59737466,0,0,0
2023-04-30T14:00:00+00:00Z,2023-04-30T15:00:00+00:00Z,0.004108,0.004231,0.004082,0.004085,3060272.52,12602.43419584,0,0,0
2023-04-30T15:00:00+00:00Z,2023-04-30T16:00:00+00:00Z,0.004085,0.0042,0.004082,0.004182,2175774.9,9041.30440085,0,0,0
2023-04-30T16:00:00+00:00Z,2023-04-30T17:00:00+00:00Z,0.004182,0.004183,0.00413,0.004135,2087036.01,8659.11879672,0,0,0
2023-04-30T17:00:00+00:00Z,2023-04-30T18:00:00+00:00Z,0.004135,0.004306,0.004133,0.004152,2119628.22,8887.2954205,0,0,0
2023-04-30T18:00:00+00:00Z,2023-04-30T19:00:00+00:00Z,0.004152,0.00418,0.004152,0.004167,934535.71,3895.68262758,0,0,0
2023-04-30T19:00:00+00:00Z,2023-04-30T20:00:00+00:00Z,0.004167,0.004168,0.004167,0.004167,303838.83,1266.22778347,0,0,0
2023-04-30T20:00:00+00:00Z,2023-04-30T21:00:00+00:00Z,0.004167,0.004168,0.004082,0.004085,1927482.53,7909.95881196,0,0,0
2023-04-30T21:00:00+00:00Z,2023-04-30T22:00:00+00:00Z,0.004085,0.004108,0.004082,0.004107,1936204.11,7924.29102373,0,0,0
2023-04-30T22:00:00+00:00Z,2023-04-30T23:00:00+00:00Z,0.004107,0.004112,0.004107,0.004112,974160.31,4003.85850229,0,0,0
2023-04-30T23:00:00+00:00Z,2023-05-01T00:00:00+00:00Z,0.004112,0.004128,0.004082,0.004088,1797189.94,7368.81368252,0,0,0
2023-05-01T00:00:00+00:00Z,2023-05-01T01:00:00+00:00Z,0.004088,0.004094,0.004053,0.004054,1629734.87,6655.33762741,0,0,0
2023-05-01T01:00:00+00:00Z,2023-05-01T02:00:00+00:00Z,0.004054,0.004064,0.003993,0.003996,1518238.94,6118.33129098,0,0,0
2023-05-01T02:00:00+00:00Z,2023-05-01T03:00:00+00:00Z,0.003996,0.003997,0.003965,0.003966,1020685.63,4063.10042621,0,0,0
2023-05-01T03:00:00+00:00Z,2023-05-01T04:00:00+00:00Z,0.003966,0.004099,0.003912,0.003927,1524866.73,6031.42527213,0,0,0
2023-05-01T04:00:00+00:00Z,2023-05-01T05:00:00+00:00Z,0.003927,0.004079,0.003909,0.004069,1817217.57,7187.27437514,0,0,0
2023-05-01T05:00:00+00:00Z,2023-05-01T06:00:00+00:00Z,0.004069,0.004069,0.004059,0.004065,1832423.18,7442.99338759,0,0,0
2023-05-01T06:00:00+00:00Z,2023-05-01T07:00:00+00:00Z,0.004065,0.004068,0.003927,0.003949,1675343.61,6685.46031119,0,0,0
2023-05-01T07:00:00+00:00Z,2023-05-01T08:00:00+00:00Z,0.003949,0.003959,0.003928,0.003936,2029743.57,8005.42426647,0,0,0
2023-05-01T08:00:00+00:00Z,2023-05-01T09:00:00+00:00Z,0.003936,0.004026,0.003929,0.004001,2252270.74,8945.01263266,0,0,0
2023-05-01T09:00:00+00:00Z,2023-05-01T10:00:00+00:00Z,0.004001,0.004056,0.003971,0.004022,1844048.75,7361.69595546,0,0,0
2023-05-01T10:00:00+00:00Z,2023-05-01T11:00:00+00:00Z,0.004022,0.004056,0.003971,0.003998,2043642.47,8161.95168868,0,0,0
2023-05-01T11:00:00+00:00Z,2023-05-01T12:00:00+00:00Z,0.003998,0.004063,0.003998,0.004005,2375249.97,9558.74357382,0,0,0
2023-05-01T12:00:00+00:00Z,2023-05-01T13:00:00+00:00Z,0.004005,0.004059,0.003999,0.004035,2089548.09,8392.97788439,0,0,0
2023-05-01T13:00:00+00:00Z,2023-05-01T14:00:00+00:00Z,0.004035,0.004055,0.003998,0.004047,1805587.71,7249.97168691,0,0,0
2023-05-01T14:00:00+00:00Z,2023-05-01T15:00:00+00:00Z,0.004047,0.004057,0.003999,0.004008,1914014.54,7708.91465927,0,0,0
2023-05-01T15:00:00+00:00Z,2023-05-01T16:00:00+00:00Z,0.004008,0.004008,0.003963,0.003981,1690697.42,6757.39311788,0,0,0
2023-05-01T16:00:00+00:00Z,2023-05-01T17:00:00+00:00Z,0.003981,0.003981,0.00393,0.003932,1799811.3,7109.39526804,0,0,0
2023-05-01T17:00:00+00:00Z,2023-05-01T18:00:00+00:00Z,0.003932,0.004001,0.003932,0.004001,1483280.03,5879.4052323,0,0,0
2023-05-01T18:00:00+00:00Z,2023-05-01T19:00:00+00:00Z,0.004001,0.004004,0.003999,0.004002,1713215.73,6855.26516039,0,0,0
2023-05-01T19:00:00+00:00Z,2023-05-01T20:00:00+00:00Z,0.004002,0.004012,0.00391,0.004004,2171947.47,8655.80631647,0,0,0
2023-05-01T20:00:00+00:00Z,2023-05-01T21:00:00+00:00Z,0.004004,0.004007,0.00391,0.003934,1689178.6,6696.32976454,0,0,0
2023-05-01T21:00:00+00:00Z,2023-05-01T22:00:00+00:00Z,0.003934,0.003939,0.003895,0.003906,1592695.8,6235.03661044,0,0,0
2023-05-01T22:00:00+00:00Z,2023-05-01T23:00:00+00:00Z,0.003906,0.003935,0.003905,0.003933,1908888.88,7482.42676794,0,0,0
2023-05-01T23:00:00+00:00Z,2023-05-02T00:00:00+00:00Z,0.003933,0.003947,0.003893,0.003932,1426721.31,5606.36774031,0,0,0
2023-05-02T00:00:00+00:00Z,2023-05-02T01:00:00+00:00Z,0.003932,0.003935,0.003891,0.003899,2019852.86,7914.5036078,0,0,0
2023-05-02T01:00:00+00:00Z,2023-05-02T02:00:00+00:00Z,0.003899,0.003932,0.003885,0.003886,1846590.17,7193.31195657,0,0,0
2023-05-02T02:00:00+00:00Z,2023-05-02T03:00:00+00:00Z,0.003886,0.003909,0.003886,0.003893,2593644.53,10099.0292051,0,0,0
2023-05-02T03:00:00+00:00Z,2023-05-02T04:00:00+00:00Z,0.003893,0.00393,0.003889,0.003894,2666922.93,10395.623245,0,0,0
2023-05-02T04:00:00+00:00Z,2023-05-02T05:00:00+00:00Z,0.003894,0.003896,0.00388,0.003883,2760314.24,10739.43893477,0,0,0
2023-05-02T05:00:00+00:00Z,2023-05-02T06:00:00+00:00Z,0.003883,0.003914,0.003867,0.00387,3446939.35,13362.7690667,0,0,0
2023-05-02T06:00:00+00:00Z,2023-05-02T07:00:00+00:00Z,0.00387,0.003892,0.003867,0.003873,3231245.52,12517.45417089,0,0,0
2023-05-02T07:00:00+00:00Z,2023-05-02T08:00:00+00:00Z,0.003873,0.0039,0.00387,0.003887,2639990.38,10240.4715615,0,0,0
2023-05-02T08:00:00+00:00Z,2023-05-02T09:00:00+00:00Z,0.003887,0.003888,0.003865,0.003871,2263552.95,8789.98578859,0,0,0
2023-05-02T09:00:00+00:00Z,2023-05-02T10:00:00+00:00Z,0.003871,0.003878,0.003865,0.003872,2697042.6,10433.48797063,0,0,0
2023-05-02T10:00:00+00:00Z,2023-05-02T11:00:00+00:00Z,0.003872,0.003878,0.003869,0.003872,2836275.25,10983.89723383,0,0,0
2023-05-02T11:00:00+00:00Z,2023-05-02T12:00:00+00:00Z,0.003872,0.0039,0.00386,0.003865,2552046.04,9871.185307,0,0,0
2023-05-02T12:00:00+00:00Z,2023-05-02T13:00:00+00:00Z,0.003865,0.003867,0.00386,0.003861,2808744.36,10851.04898845,0,0,0
2023-05-02T13:00:00+00:00Z,2023-05-02T14:00:00+00:00Z,0.003861,0.003875,0.003859,0.003873,3084578.2,11927.08111967,0,0,0
2023-05-02T14:00:00+00:00Z,2023-05-02T15:00:00+00:00Z,0.003873,0.0039,0.00386,0.003872,2972639.58,11515.7405141,0,0,0
2023-05-02T15:00:00+00:00Z,2023-05-02T16:00:00+00:00Z,0.003872,0.00388,0.003861,0.003877,2912065.75,11264.67832394,0,0,0
2023-05-02T16:00:00+00:00Z,2023-05-02T17:00:00+00:00Z,0.003877,0.003887,0.003874,0.003887,2804711.52,10880.46924298,0,0,0
2023-05-02T17:00:00+00:00Z,2023-05-02T18:00:00+00:00Z,0.003887,0.0039,0.003886,0.003888,2178120.54,8474.01989149,0,0,0
2023-05-02T18:00:00+00:00Z,2023-05-02T19:00:00+00:00Z,0.003888,0.003891,0.003885,0.003887,2440311.84,9487.42669378,0,0,0
2023-05-02T19:00:00+00:00Z,2023-05-02T20:00:00+00:00Z,0.003887,0.003898,0.003838,0.003871,3146383.69,12190.14761635,0,0,0
