# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,BERAUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2025-02-06T13:00:00+00:00Z
# t0_final_iso,2025-02-06T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,40bd9c58e4edebcf
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-02-06T13:00:00+00:00Z,2025-02-06T14:00:00+00:00Z,1.0,15.0,1.0,12.7457,3875770.2,41965148.928909,0,0,0
2025-02-06T14:00:00+00:00Z,2025-02-06T15:00:00+00:00Z,12.7457,15.0221,11.6084,11.8211,2598036.33,35241312.568956,0,0,0
2025-02-06T15:00:00+00:00Z,2025-02-06T16:00:00+00:00Z,11.8211,12.0,8.5695,8.8537,1496753.14,15502411.589006,0,0,0
2025-02-06T16:00:00+00:00Z,2025-02-06T17:00:00+00:00Z,8.8537,9.8176,8.6433,9.0674,921518.53,8589447.723028,0,0,0
2025-02-06T17:00:00+00:00Z,2025-02-06T18:00:00+00:00Z,9.0674,9.7768,8.739,9.1569,384971.55,3538897.416311,0,0,0
2025-02-06T18:00:00+00:00Z,2025-02-06T19:00:00+00:00Z,9.1569,9.1777,7.3604,7.5719,570757.09,4589178.219976,0,0,0
2025-02-06T19:00:00+00:00Z,2025-02-06T20:00:00+00:00Z,7.5719,8.1724,7.3568,7.8151,376188.3,2927359.658345,0,0,0
2025-02-06T20:00:00+00:00Z,2025-02-06T21:00:00+00:00Z,7.8151,7.8707,6.6575,7.3133,557936.74,3973184.780429,0,0,0
2025-02-06T21:00:00+00:00Z,2025-02-06T22:00:00+00:00Z,7.3133,8.2315,7.1846,7.6671,312514.98,2399971.471182,0,0,0
2025-02-06T22:00:00+00:00Z,2025-02-06T23:00:00+00:00Z,7.6671,8.4348,7.4768,8.0094,286536.92,2293973.984788,0,0,0
2025-02-06T23:00:00+00:00Z,2025-02-07T00:00:00+00:00Z,8.0094,8.7464,7.8475,8.6845,232628.41,1949306.493956,0,0,0
2025-02-07T00:00:00+00:00Z,2025-02-07T01:00:00+00:00Z,8.6845,9.2,7.7893,7.8813,379864.1,3242695.212612,0,0,0
2025-02-07T01:00:00+00:00Z,2025-02-07T02:00:00+00:00Z,7.8813,8.3541,7.6325,8.1234,180659.63,1452653.263168,0,0,0
2025-02-07T02:00:00+00:00Z,2025-02-07T03:00:00+00:00Z,8.1234,8.1943,7.7842,7.8692,128864.79,1024152.164395,0,0,0
2025-02-07T03:00:00+00:00Z,2025-02-07T04:00:00+00:00Z,7.8692,8.2141,7.8182,8.1868,124402.05,993650.172128,0,0,0
2025-02-07T04:00:00+00:00Z,2025-02-07T05:00:00+00:00Z,8.1868,8.2031,7.7081,7.7588,111881.12,885044.302815,0,0,0
2025-02-07T05:00:00+00:00Z,2025-02-07T06:00:00+00:00Z,7.7588,7.8918,7.1938,7.7693,375490.44,2821366.414364,0,0,0
2025-02-07T06:00:00+00:00Z,2025-02-07T07:00:00+00:00Z,7.7693,7.7774,7.3867,7.4969,120489.37,913483.904513,0,0,0
2025-02-07T07:00:00+00:00Z,2025-02-07T08:00:00+00:00Z,7.4969,7.7393,7.4917,7.573,86609.77,660489.075512,0,0,0
2025-02-07T08:00:00+00:00Z,2025-02-07T09:00:00+00:00Z,7.573,7.573,7.2202,7.3251,82627.46,611030.475641,0,0,0
2025-02-07T09:00:00+00:00Z,2025-02-07T10:00:00+00:00Z,7.3251,7.7607,7.3087,7.6675,141895.16,1062196.178812,0,0,0
2025-02-07T10:00:00+00:00Z,2025-02-07T11:00:00+00:00Z,7.6675,7.85,7.5501,7.6352,120603.6,925243.631027,0,0,0
2025-02-07T11:00:00+00:00Z,2025-02-07T12:00:00+00:00Z,7.6352,7.7168,7.4568,7.5879,124823.49,948768.449981,0,0,0
2025-02-07T12:00:00+00:00Z,2025-02-07T13:00:00+00:00Z,7.5879,7.6064,7.3611,7.5223,92557.91,691536.561789,0,0,0
2025-02-07T13:00:00+00:00Z,2025-02-07T14:00:00+00:00Z,7.5223,8.1869,7.406,8.0377,211525.07,1652106.796933,0,0,0
2025-02-07T14:00:00+00:00Z,2025-02-07T15:00:00+00:00Z,8.0377,8.0911,7.6219,7.8555,197599.79,1547012.456068,0,0,0
2025-02-07T15:00:00+00:00Z,2025-02-07T16:00:00+00:00Z,7.8555,7.9996,7.5915,7.8019,202891.92,1579619.529802,0,0,0
2025-02-07T16:00:00+00:00Z,2025-02-07T17:00:00+00:00Z,7.8019,8.5677,7.7252,8.1184,390420.81,3177215.3927,0,0,0
2025-02-07T17:00:00+00:00Z,2025-02-07T18:00:00+00:00Z,8.1184,8.2162,7.78,8.1121,182797.55,1465380.617645,0,0,0
2025-02-07T18:00:00+00:00Z,2025-02-07T19:00:00+00:00Z,8.1121,8.3437,8.0173,8.1408,176982.62,1449410.085668,0,0,0
2025-02-07T19:00:00+00:00Z,2025-02-07T20:00:00+00:00Z,8.1408,8.2638,7.854,7.8918,132624.76,1071249.797141,0,0,0
2025-02-07T20:00:00+00:00Z,2025-02-07T21:00:00+00:00Z,7.8918,8.1654,7.7183,7.8372,205819.06,1634136.33733,0,0,0
2025-02-07T21:00:00+00:00Z,2025-02-07T22:00:00+00:00Z,7.8372,8.1018,7.6103,7.7016,241655.89,1898922.725031,0,0,0
2025-02-07T22:00:00+00:00Z,2025-02-07T23:00:00+00:00Z,7.7016,7.7514,7.3737,7.568,143397.0,1083994.199723,0,0,0
2025-02-07T23:00:00+00:00Z,2025-02-08T00:00:00+00:00Z,7.568,7.8027,7.5131,7.6883,69467.28,533899.359419,0,0,0
2025-02-08T00:00:00+00:00Z,2025-02-08T01:00:00+00:00Z,7.6883,7.7757,7.1244,7.2169,177095.34,1317598.006058,0,0,0
2025-02-08T01:00:00+00:00Z,2025-02-08T02:00:00+00:00Z,7.2169,7.2952,6.8607,6.9744,187775.99,1319502.141828,0,0,0
2025-02-08T02:00:00+00:00Z,2025-02-08T03:00:00+00:00Z,6.9744,6.9995,6.7184,6.9367,128845.46,883928.462973,0,0,0
2025-02-08T03:00:00+00:00Z,2025-02-08T04:00:00+00:00Z,6.9367,7.1092,6.8381,6.8661,67948.63,472775.07824,0,0,0
2025-02-08T04:00:00+00:00Z,2025-02-08T05:00:00+00:00Z,6.8661,6.9943,6.5183,6.6176,176109.92,1173506.676334,0,0,0
2025-02-08T05:00:00+00:00Z,2025-02-08T06:00:00+00:00Z,6.6176,6.6253,6.3307,6.5224,138319.62,890684.818747,0,0,0
2025-02-08T06:00:00+00:00Z,2025-02-08T07:00:00+00:00Z,6.5224,6.7,6.4115,6.4626,82695.14,539437.357807,0,0,0
2025-02-08T07:00:00+00:00Z,2025-02-08T08:00:00+00:00Z,6.4626,6.4962,6.123,6.4224,463260.81,2911340.500794,0,0,0
2025-02-08T08:00:00+00:00Z,2025-02-08T09:00:00+00:00Z,6.4224,6.5924,6.3197,6.4611,128619.87,828169.847765,0,0,0
2025-02-08T09:00:00+00:00Z,2025-02-08T10:00:00+00:00Z,6.4611,6.615,6.402,6.4647,96641.25,628011.354749,0,0,0
