# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,NRNUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-06-24T08:00:00+00:00Z
# t0_final_iso,2024-06-24T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,ff151fc693beecc8
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-06-24T08:00:00+00:00Z,2024-06-24T09:00:00+00:00Z,0.02,0.3,0.02,0.07582,20588480.37,1516708.2351964,0,0,0
2024-06-24T09:00:00+00:00Z,2024-06-24T10:00:00+00:00Z,0.07582,0.0895,0.07,0.08196,9976818.06,819732.909443,0,0,0
2024-06-24T10:00:00+00:00Z,2024-06-24T11:00:00+00:00Z,0.08196,0.085,0.07,0.07625,7074873.15,550856.804692,0,0,0
2024-06-24T11:00:00+00:00Z,2024-06-24T12:00:00+00:00Z,0.07625,0.0815,0.074,0.07661,3843332.48,300089.6142574,0,0,0
2024-06-24T12:00:00+00:00Z,2024-06-24T13:00:00+00:00Z,0.07661,0.08796,0.07656,0.084,5656974.56,465943.2087623,0,0,0
2024-06-24T13:00:00+00:00Z,2024-06-24T14:00:00+00:00Z,0.084,0.0858,0.08046,0.0832,3981856.96,330247.1575223,0,0,0
2024-06-24T14:00:00+00:00Z,2024-06-24T15:00:00+00:00Z,0.0832,0.08323,0.07344,0.07461,4124666.86,328092.2527817,0,0,0
2024-06-24T15:00:00+00:00Z,2024-06-24T16:00:00+00:00Z,0.07461,0.075,0.07301,0.0731,1511693.69,112405.854449,0,0,0
2024-06-24T16:00:00+00:00Z,2024-06-24T17:00:00+00:00Z,0.0731,0.07406,0.07069,0.07141,2047185.11,148416.2359178,0,0,0
2024-06-24T17:00:00+00:00Z,2024-06-24T18:00:00+00:00Z,0.07141,0.07141,0.0563,0.05785,5848260.83,378783.6043045,0,0,0
2024-06-24T18:00:00+00:00Z,2024-06-24T19:00:00+00:00Z,0.05785,0.06495,0.05677,0.06268,3849066.64,234072.5092967,0,0,0
2024-06-24T19:00:00+00:00Z,2024-06-24T20:00:00+00:00Z,0.06268,0.06781,0.06268,0.06633,1742558.11,113463.6367977,0,0,0
2024-06-24T20:00:00+00:00Z,2024-06-24T21:00:00+00:00Z,0.06633,0.06674,0.05623,0.06209,1500437.04,94612.6242174,0,0,0
2024-06-24T21:00:00+00:00Z,2024-06-24T22:00:00+00:00Z,0.06209,0.06211,0.05488,0.05801,1353392.91,78874.1920043,0,0,0
2024-06-24T22:00:00+00:00Z,2024-06-24T23:00:00+00:00Z,0.05801,0.06471,0.05771,0.06153,864544.14,52861.9932053,0,0,0
2024-06-24T23:00:00+00:00Z,2024-06-25T00:00:00+00:00Z,0.06153,0.06188,0.05841,0.06,640890.04,38669.8387073,0,0,0
2024-06-25T00:00:00+00:00Z,2024-06-25T01:00:00+00:00Z,0.06,0.06,0.05395,0.05507,986045.1,56614.2098861,0,0,0
2024-06-25T01:00:00+00:00Z,2024-06-25T02:00:00+00:00Z,0.05507,0.0593,0.04649,0.05711,1493733.84,80265.2455899,0,0,0
2024-06-25T02:00:00+00:00Z,2024-06-25T03:00:00+00:00Z,0.05711,0.05839,0.05364,0.05536,1473123.28,82167.149609,0,0,0
2024-06-25T03:00:00+00:00Z,2024-06-25T04:00:00+00:00Z,0.05536,0.05977,0.05517,0.05878,752020.67,43334.9251002,0,0,0
2024-06-25T04:00:00+00:00Z,2024-06-25T05:00:00+00:00Z,0.05878,0.0685,0.05861,0.06838,1368825.32,86322.0162938,0,0,0
2024-06-25T05:00:00+00:00Z,2024-06-25T06:00:00+00:00Z,0.06838,0.0728,0.0641,0.06733,2199107.62,150073.3873282,0,0,0
2024-06-25T06:00:00+00:00Z,2024-06-25T07:00:00+00:00Z,0.06733,0.07089,0.06664,0.06844,1276223.86,88015.6788677,0,0,0
2024-06-25T07:00:00+00:00Z,2024-06-25T08:00:00+00:00Z,0.06844,0.07094,0.06255,0.06876,1594694.12,107099.909703,0,0,0
