# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,NYMUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2023-07-07T10:00:00+00:00Z
# t0_final_iso,2023-07-07T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,7264f5e5d210defa
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-07-07T10:00:00+00:00Z,2023-07-07T11:00:00+00:00Z,0.1,0.211,0.1,0.2019,453263.17,93317.63452,0,0,0
2023-07-07T11:00:00+00:00Z,2023-07-07T12:00:00+00:00Z,0.2019,0.2037,0.1999,0.2004,59516.18,11977.827906,0,0,0
2023-07-07T12:00:00+00:00Z,2023-07-07T13:00:00+00:00Z,0.2004,0.201,0.1986,0.1989,32952.33,6578.200885,0,0,0
2023-07-07T13:00:00+00:00Z,2023-07-07T14:00:00+00:00Z,0.1989,0.1996,0.1964,0.1976,33303.71,6593.22639,0,0,0
2023-07-07T14:00:00+00:00Z,2023-07-07T15:00:00+00:00Z,0.1976,0.1976,0.196,0.1969,23513.22,4627.936867,0,0,0
2023-07-07T15:00:00+00:00Z,2023-07-07T16:00:00+00:00Z,0.1969,0.203,0.1922,0.1922,20098.29,3963.733976,0,0,0
2023-07-07T16:00:00+00:00Z,2023-07-07T17:00:00+00:00Z,0.1922,0.1968,0.1906,0.1932,18365.88,3561.017627,0,0,0
2023-07-07T17:00:00+00:00Z,2023-07-07T18:00:00+00:00Z,0.1932,0.1932,0.1928,0.193,5145.46,993.17801,0,0,0
2023-07-07T18:00:00+00:00Z,2023-07-07T19:00:00+00:00Z,0.193,0.1936,0.1924,0.1924,3558.33,685.915863,0,0,0
2023-07-07T19:00:00+00:00Z,2023-07-07T20:00:00+00:00Z,0.1924,0.1927,0.1924,0.1925,4701.09,905.06803,0,0,0
2023-07-07T20:00:00+00:00Z,2023-07-07T21:00:00+00:00Z,0.1925,0.1927,0.1923,0.1923,5068.14,975.200465,0,0,0
2023-07-07T21:00:00+00:00Z,2023-07-07T22:00:00+00:00Z,0.1923,0.1928,0.1922,0.1924,3368.42,648.115635,0,0,0
2023-07-07T22:00:00+00:00Z,2023-07-07T23:00:00+00:00Z,0.1924,0.1933,0.1916,0.1926,1347.76,259.361258,0,0,0
2023-07-07T23:00:00+00:00Z,2023-07-08T00:00:00+00:00Z,0.1926,0.1932,0.1925,0.1926,1485.12,286.155792,0,0,0
2023-07-08T00:00:00+00:00Z,2023-07-08T01:00:00+00:00Z,0.1926,0.1931,0.1884,0.1912,13039.85,2491.818672,0,0,0
2023-07-08T01:00:00+00:00Z,2023-07-08T02:00:00+00:00Z,0.1912,0.1931,0.1912,0.1912,1926.09,369.888631,0,0,0
2023-07-08T02:00:00+00:00Z,2023-07-08T03:00:00+00:00Z,0.1912,0.1919,0.1912,0.1912,1142.82,218.525383,0,0,0
2023-07-08T03:00:00+00:00Z,2023-07-08T04:00:00+00:00Z,0.1912,0.1931,0.1842,0.1913,13341.4,2520.525999,0,0,0
2023-07-08T04:00:00+00:00Z,2023-07-08T05:00:00+00:00Z,0.1913,0.1929,0.1898,0.1913,1109.5,212.341863,0,0,0
2023-07-08T05:00:00+00:00Z,2023-07-08T06:00:00+00:00Z,0.1913,0.1913,0.1895,0.1908,1839.16,350.606759,0,0,0
2023-07-08T06:00:00+00:00Z,2023-07-08T07:00:00+00:00Z,0.1908,0.1932,0.1895,0.1909,6460.45,1232.548839,0,0,0
2023-07-08T07:00:00+00:00Z,2023-07-08T08:00:00+00:00Z,0.1909,0.195,0.19,0.192,6632.72,1281.119569,0,0,0
