# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,OMUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-02-13T10:00:00+00:00Z
# t0_final_iso,2025-02-13T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,4f53f10be33c128e
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-02-13T10:00:00+00:00Z,2025-02-13T11:00:00+00:00Z,3.5,5.8,3.5,5.6095,620688.98,3310524.223672,0,0,0
2025-02-13T11:00:00+00:00Z,2025-02-13T12:00:00+00:00Z,5.6095,5.7891,5.5669,5.7878,122313.43,690896.12126,0,0,0
2025-02-13T12:00:00+00:00Z,2025-02-13T13:00:00+00:00Z,5.7878,5.9655,5.6796,5.7558,109396.1,635497.088969,0,0,0
2025-02-13T13:00:00+00:00Z,2025-02-13T14:00:00+00:00Z,5.7558,5.8493,5.6507,5.7006,69517.47,397600.297093,0,0,0
2025-02-13T14:00:00+00:00Z,2025-02-13T15:00:00+00:00Z,5.7006,5.7367,5.6236,5.7094,48082.56,273114.761626,0,0,0
2025-02-13T15:00:00+00:00Z,2025-02-13T16:00:00+00:00Z,5.7094,5.712,5.6501,5.675,47434.82,269432.384136,0,0,0
2025-02-13T16:00:00+00:00Z,2025-02-13T17:00:00+00:00Z,5.675,5.6897,5.62,5.6505,70824.8,400433.017872,0,0,0
2025-02-13T17:00:00+00:00Z,2025-02-13T18:00:00+00:00Z,5.6505,5.6788,5.6173,5.6176,40466.33,228735.418613,0,0,0
2025-02-13T18:00:00+00:00Z,2025-02-13T19:00:00+00:00Z,5.6176,5.6809,5.585,5.6432,48966.17,276399.151329,0,0,0
2025-02-13T19:00:00+00:00Z,2025-02-13T20:00:00+00:00Z,5.6432,5.6747,5.5883,5.617,45047.88,253700.094234,0,0,0
2025-02-13T20:00:00+00:00Z,2025-02-13T21:00:00+00:00Z,5.617,5.6977,5.6054,5.6759,41141.96,232674.959414,0,0,0
2025-02-13T21:00:00+00:00Z,2025-02-13T22:00:00+00:00Z,5.6759,5.6801,5.6323,5.6401,31862.34,180092.592238,0,0,0
2025-02-13T22:00:00+00:00Z,2025-02-13T23:00:00+00:00Z,5.6401,5.651,5.5418,5.5724,23929.71,133950.557889,0,0,0
