# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ZTXUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-10-16T08:00:00+00:00Z
# t0_final_iso,2023-10-16T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,97fb7396b1955219
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-10-16T08:00:00+00:00Z,2023-10-16T09:00:00+00:00Z,0.01,0.05,0.01,0.02287,137748976.12,3720700.8751715,0,0,0
2023-10-16T09:00:00+00:00Z,2023-10-16T10:00:00+00:00Z,0.02287,0.027,0.0226,0.02301,29145532.07,689457.7578942,0,0,0
2023-10-16T10:00:00+00:00Z,2023-10-16T11:00:00+00:00Z,0.02301,0.0255,0.0159,0.01871,41685255.65,776136.0212167,0,0,0
2023-10-16T11:00:00+00:00Z,2023-10-16T12:00:00+00:00Z,0.01871,0.02,0.01768,0.02,17086042.45,320339.6380859,0,0,0
2023-10-16T12:00:00+00:00Z,2023-10-16T13:00:00+00:00Z,0.02,0.02048,0.01813,0.01889,12716913.2,241750.0413804,0,0,0
2023-10-16T13:00:00+00:00Z,2023-10-16T14:00:00+00:00Z,0.01889,0.0189,0.015,0.01778,17255530.59,298753.8048291,0,0,0
2023-10-16T14:00:00+00:00Z,2023-10-16T15:00:00+00:00Z,0.01778,0.01873,0.01682,0.01815,9388403.82,168444.9087302,0,0,0
2023-10-16T15:00:00+00:00Z,2023-10-16T16:00:00+00:00Z,0.01815,0.01828,0.01534,0.01676,17880910.44,295736.6996387,0,0,0
2023-10-16T16:00:00+00:00Z,2023-10-16T17:00:00+00:00Z,0.01676,0.01693,0.01592,0.01602,13721015.46,225970.207712,0,0,0
2023-10-16T17:00:00+00:00Z,2023-10-16T18:00:00+00:00Z,0.01602,0.0161,0.01451,0.01504,11721775.69,178618.2143104,0,0,0
2023-10-16T18:00:00+00:00Z,2023-10-16T19:00:00+00:00Z,0.01504,0.0154,0.01429,0.01481,8696230.35,128463.9516158,0,0,0
2023-10-16T19:00:00+00:00Z,2023-10-16T20:00:00+00:00Z,0.01481,0.01488,0.01377,0.01427,4116724.42,59449.1950225,0,0,0
2023-10-16T20:00:00+00:00Z,2023-10-16T21:00:00+00:00Z,0.01427,0.01501,0.01412,0.01465,3428485.71,49974.0382806,0,0,0
2023-10-16T21:00:00+00:00Z,2023-10-16T22:00:00+00:00Z,0.01465,0.01579,0.01416,0.01568,3286452.78,49238.323442,0,0,0
2023-10-16T22:00:00+00:00Z,2023-10-16T23:00:00+00:00Z,0.01568,0.01579,0.01464,0.01498,3432712.57,52597.3540929,0,0,0
2023-10-16T23:00:00+00:00Z,2023-10-17T00:00:00+00:00Z,0.01498,0.01579,0.01486,0.01567,2105335.69,32161.0132958,0,0,0
2023-10-17T00:00:00+00:00Z,2023-10-17T01:00:00+00:00Z,0.01567,0.01665,0.01556,0.01643,3471216.19,56002.1597219,0,0,0
2023-10-17T01:00:00+00:00Z,2023-10-17T02:00:00+00:00Z,0.01643,0.01664,0.01493,0.01534,3022862.39,48092.3112965,0,0,0
2023-10-17T02:00:00+00:00Z,2023-10-17T03:00:00+00:00Z,0.01534,0.01571,0.01525,0.01525,572844.96,8834.4309338,0,0,0
2023-10-17T03:00:00+00:00Z,2023-10-17T04:00:00+00:00Z,0.01525,0.01551,0.0149,0.01547,1116911.92,17023.9493663,0,0,0
2023-10-17T04:00:00+00:00Z,2023-10-17T05:00:00+00:00Z,0.01547,0.01561,0.01501,0.01541,1797573.86,27666.3251296,0,0,0
2023-10-17T05:00:00+00:00Z,2023-10-17T06:00:00+00:00Z,0.01541,0.01566,0.015,0.01507,1581432.73,24350.560565,0,0,0
2023-10-17T06:00:00+00:00Z,2023-10-17T07:00:00+00:00Z,0.01507,0.01509,0.01401,0.0145,3892113.2,56543.5914642,0,0,0
2023-10-17T07:00:00+00:00Z,2023-10-17T08:00:00+00:00Z,0.0145,0.01482,0.0141,0.01459,1994475.83,28945.1514123,0,0,0
2023-10-17T08:00:00+00:00Z,2023-10-17T09:00:00+00:00Z,0.01459,0.01497,0.01414,0.01439,3472608.62,50709.0611466,0,0,0
2023-10-17T09:00:00+00:00Z,2023-10-17T10:00:00+00:00Z,0.01439,0.01489,0.01425,0.0146,2600939.21,38161.0134115,0,0,0
2023-10-17T10:00:00+00:00Z,2023-10-17T11:00:00+00:00Z,0.0146,0.01478,0.0144,0.01457,1814176.05,26543.0481197,0,0,0
2023-10-17T11:00:00+00:00Z,2023-10-17T12:00:00+00:00Z,0.01457,0.01461,0.01422,0.01435,2228085.27,32204.042732,0,0,0
2023-10-17T12:00:00+00:00Z,2023-10-17T13:00:00+00:00Z,0.01435,0.01541,0.01434,0.01461,5232627.6,77138.6981006,0,0,0
2023-10-17T13:00:00+00:00Z,2023-10-17T14:00:00+00:00Z,0.01461,0.01483,0.01405,0.01424,4174850.37,60741.7792021,0,0,0
2023-10-17T14:00:00+00:00Z,2023-10-17T15:00:00+00:00Z,0.01424,0.01428,0.01235,0.01363,10608510.11,142789.0963027,0,0,0
2023-10-17T15:00:00+00:00Z,2023-10-17T16:00:00+00:00Z,0.01363,0.01482,0.01339,0.01403,6625868.67,93886.5136101,0,0,0
2023-10-17T16:00:00+00:00Z,2023-10-17T17:00:00+00:00Z,0.01403,0.01415,0.01333,0.01381,5411740.0,73968.7330305,0,0,0
2023-10-17T17:00:00+00:00Z,2023-10-17T18:00:00+00:00Z,0.01381,0.01383,0.0133,0.01361,1283551.28,17425.3212044,0,0,0
2023-10-17T18:00:00+00:00Z,2023-10-17T19:00:00+00:00Z,0.01361,0.01361,0.01325,0.01325,1476788.39,19806.8037086,0,0,0
2023-10-17T19:00:00+00:00Z,2023-10-17T20:00:00+00:00Z,0.01325,0.01334,0.01188,0.01264,3326719.11,42572.9924099,0,0,0
2023-10-17T20:00:00+00:00Z,2023-10-17T21:00:00+00:00Z,0.01264,0.01271,0.01175,0.01198,3552386.57,43206.8205939,0,0,0
2023-10-17T21:00:00+00:00Z,2023-10-17T22:00:00+00:00Z,0.01198,0.01218,0.01171,0.01179,2846191.15,33962.4136662,0,0,0
2023-10-17T22:00:00+00:00Z,2023-10-17T23:00:00+00:00Z,0.01179,0.01238,0.01124,0.0123,2781762.52,33244.817247,0,0,0
2023-10-17T23:00:00+00:00Z,2023-10-18T00:00:00+00:00Z,0.0123,0.01287,0.01228,0.0127,2864014.51,35915.4967528,0,0,0
2023-10-18T00:00:00+00:00Z,2023-10-18T01:00:00+00:00Z,0.0127,0.01277,0.01212,0.01219,1915285.42,23810.3222689,0,0,0
2023-10-18T01:00:00+00:00Z,2023-10-18T02:00:00+00:00Z,0.01219,0.01249,0.01201,0.01228,1111403.79,13622.6937758,0,0,0
2023-10-18T02:00:00+00:00Z,2023-10-18T03:00:00+00:00Z,0.01228,0.01277,0.01225,0.01255,1154068.99,14452.5640313,0,0,0
2023-10-18T03:00:00+00:00Z,2023-10-18T04:00:00+00:00Z,0.01255,0.01315,0.01251,0.01284,1292565.55,16510.2543901,0,0,0
2023-10-18T04:00:00+00:00Z,2023-10-18T05:00:00+00:00Z,0.01284,0.01293,0.01273,0.01274,505266.75,6474.67132,0,0,0
2023-10-18T05:00:00+00:00Z,2023-10-18T06:00:00+00:00Z,0.01274,0.0144,0.01274,0.01434,4640200.74,63501.1982271,0,0,0
2023-10-18T06:00:00+00:00Z,2023-10-18T07:00:00+00:00Z,0.01434,0.01437,0.01387,0.01403,2546303.1,35976.2179349,0,0,0
2023-10-18T07:00:00+00:00Z,2023-10-18T08:00:00+00:00Z,0.01403,0.01408,0.01365,0.01365,1322672.19,18337.7959551,0,0,0
2023-10-18T08:00:00+00:00Z,2023-10-18T09:00:00+00:00Z,0.01365,0.01367,0.01305,0.0132,2897246.71,38779.6017182,0,0,0
2023-10-18T09:00:00+00:00Z,2023-10-18T10:00:00+00:00Z,0.0132,0.01341,0.0126,0.01297,5412155.7,69929.8130201,0,0,0
2023-10-18T10:00:00+00:00Z,2023-10-18T11:00:00+00:00Z,0.01297,0.0134,0.01294,0.0132,3879519.1,51312.4461205,0,0,0
2023-10-18T11:00:00+00:00Z,2023-10-18T12:00:00+00:00Z,0.0132,0.01334,0.01305,0.01309,1536747.26,20281.7943474,0,0,0
2023-10-18T12:00:00+00:00Z,2023-10-18T13:00:00+00:00Z,0.01309,0.01309,0.0126,0.01288,1609121.38,20667.0478998,0,0,0
2023-10-18T13:00:00+00:00Z,2023-10-18T14:00:00+00:00Z,0.01288,0.01328,0.01287,0.01304,1749830.16,22837.3247635,0,0,0
2023-10-18T14:00:00+00:00Z,2023-10-18T15:00:00+00:00Z,0.01304,0.01317,0.01287,0.01296,707265.18,9206.36597,0,0,0
2023-10-18T15:00:00+00:00Z,2023-10-18T16:00:00+00:00Z,0.01296,0.01303,0.01239,0.01255,7604264.46,96243.9763086,0,0,0
2023-10-18T16:00:00+00:00Z,2023-10-18T17:00:00+00:00Z,0.01255,0.01262,0.01211,0.01251,4268078.98,52731.7314091,0,0,0
2023-10-18T17:00:00+00:00Z,2023-10-18T18:00:00+00:00Z,0.01251,0.0127,0.01236,0.01247,1322958.31,16606.8773899,0,0,0
2023-10-18T18:00:00+00:00Z,2023-10-18T19:00:00+00:00Z,0.01247,0.01252,0.01239,0.01244,250803.37,3121.8524822,0,0,0
2023-10-18T19:00:00+00:00Z,2023-10-18T20:00:00+00:00Z,0.01244,0.01253,0.01244,0.01245,546657.15,6813.6600956,0,0,0
2023-10-18T20:00:00+00:00Z,2023-10-18T21:00:00+00:00Z,0.01245,0.01253,0.01232,0.01232,791962.97,9840.9711331,0,0,0
2023-10-18T21:00:00+00:00Z,2023-10-18T22:00:00+00:00Z,0.01232,0.01237,0.01224,0.01233,273464.09,3366.3695693,0,0,0
2023-10-18T22:00:00+00:00Z,2023-10-18T23:00:00+00:00Z,0.01233,0.01251,0.01126,0.01221,4522131.38,54483.8574072,0,0,0
2023-10-18T23:00:00+00:00Z,2023-10-19T00:00:00+00:00Z,0.01221,0.01233,0.0115,0.01218,4360521.72,52009.3080159,0,0,0
2023-10-19T00:00:00+00:00Z,2023-10-19T01:00:00+00:00Z,0.01218,0.01224,0.01186,0.01197,990935.1,11923.2042701,0,0,0
2023-10-19T01:00:00+00:00Z,2023-10-19T02:00:00+00:00Z,0.01197,0.01199,0.01171,0.01179,472139.99,5601.1550276,0,0,0
2023-10-19T02:00:00+00:00Z,2023-10-19T03:00:00+00:00Z,0.01179,0.01179,0.01126,0.01157,2667064.5,30702.1042842,0,0,0
2023-10-19T03:00:00+00:00Z,2023-10-19T04:00:00+00:00Z,0.01157,0.01166,0.01129,0.0114,776245.78,8901.4885024,0,0,0
2023-10-19T04:00:00+00:00Z,2023-10-19T05:00:00+00:00Z,0.0114,0.01158,0.01133,0.01151,506006.48,5798.5399201,0,0,0
2023-10-19T05:00:00+00:00Z,2023-10-19T06:00:00+00:00Z,0.01151,0.01166,0.01145,0.01159,449658.86,5195.6724021,0,0,0
2023-10-19T06:00:00+00:00Z,2023-10-19T07:00:00+00:00Z,0.01159,0.01168,0.0114,0.01147,451377.88,5203.0707569,0,0,0
2023-10-19T07:00:00+00:00Z,2023-10-19T08:00:00+00:00Z,0.01147,0.01154,0.01144,0.01154,125859.52,1446.481722,0,0,0
2023-10-19T08:00:00+00:00Z,2023-10-19T09:00:00+00:00Z,0.01154,0.01175,0.01154,0.01158,829733.88,9634.1582819,0,0,0
2023-10-19T09:00:00+00:00Z,2023-10-19T10:00:00+00:00Z,0.01158,0.01159,0.01135,0.01142,632205.48,7261.0911584,0,0,0
2023-10-19T10:00:00+00:00Z,2023-10-19T11:00:00+00:00Z,0.01142,0.01149,0.01038,0.01076,3897398.7,42902.9751615,0,0,0
2023-10-19T11:00:00+00:00Z,2023-10-19T12:00:00+00:00Z,0.01076,0.01098,0.01057,0.01069,1676226.1,18116.9521723,0,0,0
2023-10-19T12:00:00+00:00Z,2023-10-19T13:00:00+00:00Z,0.01069,0.01117,0.01056,0.01104,1808974.44,19849.5284155,0,0,0
2023-10-19T13:00:00+00:00Z,2023-10-19T14:00:00+00:00Z,0.01104,0.01117,0.01092,0.01112,713082.02,7850.3137826,0,0,0
2023-10-19T14:00:00+00:00Z,2023-10-19T15:00:00+00:00Z,0.01112,0.01131,0.0111,0.01122,546592.93,6134.9335493,0,0,0
2023-10-19T15:00:00+00:00Z,2023-10-19T16:00:00+00:00Z,0.01122,0.01165,0.01117,0.01128,2311917.33,26377.7840688,0,0,0
2023-10-19T16:00:00+00:00Z,2023-10-19T17:00:00+00:00Z,0.01128,0.01141,0.01111,0.01116,616971.65,6940.2651268,0,0,0
2023-10-19T17:00:00+00:00Z,2023-10-19T18:00:00+00:00Z,0.01116,0.01124,0.011,0.01107,1178710.57,13058.1417551,0,0,0
2023-10-19T18:00:00+00:00Z,2023-10-19T19:00:00+00:00Z,0.01107,0.01115,0.011,0.01107,385175.73,4259.2859506,0,0,0
2023-10-19T19:00:00+00:00Z,2023-10-19T20:00:00+00:00Z,0.01107,0.01108,0.01097,0.011,401312.67,4420.2604966,0,0,0
2023-10-19T20:00:00+00:00Z,2023-10-19T21:00:00+00:00Z,0.011,0.01101,0.01089,0.011,256776.47,2815.3889041,0,0,0
2023-10-19T21:00:00+00:00Z,2023-10-19T22:00:00+00:00Z,0.011,0.01111,0.01093,0.01105,265526.24,2930.9329999,0,0,0
2023-10-19T22:00:00+00:00Z,2023-10-19T23:00:00+00:00Z,0.01105,0.01108,0.01094,0.01094,220225.24,2424.5686447,0,0,0
2023-10-19T23:00:00+00:00Z,2023-10-20T00:00:00+00:00Z,0.01094,0.01097,0.01071,0.0108,558910.18,6071.565321,0,0,0
2023-10-20T00:00:00+00:00Z,2023-10-20T01:00:00+00:00Z,0.0108,0.0108,0.01065,0.0107,496887.18,5330.791815,0,0,0
2023-10-20T01:00:00+00:00Z,2023-10-20T02:00:00+00:00Z,0.0107,0.01075,0.01067,0.0107,113940.42,1219.7035094,0,0,0
2023-10-20T02:00:00+00:00Z,2023-10-20T03:00:00+00:00Z,0.0107,0.011,0.01053,0.01091,1013262.76,10923.0175376,0,0,0
2023-10-20T03:00:00+00:00Z,2023-10-20T04:00:00+00:00Z,0.01091,0.01143,0.01091,0.01132,2356153.36,26435.3404387,0,0,0
2023-10-20T04:00:00+00:00Z,2023-10-20T05:00:00+00:00Z,0.01132,0.01173,0.01124,0.01171,943703.97,10856.9749394,0,0,0
2023-10-20T05:00:00+00:00Z,2023-10-20T06:00:00+00:00Z,0.01171,0.01209,0.01149,0.01207,1262696.49,14840.3787692,0,0,0
2023-10-20T06:00:00+00:00Z,2023-10-20T07:00:00+00:00Z,0.01207,0.01209,0.01162,0.0118,2481096.41,29361.8162482,0,0,0
2023-10-20T07:00:00+00:00Z,2023-10-20T08:00:00+00:00Z,0.0118,0.0118,0.01138,0.01143,813398.41,9435.0757767,0,0,0
