# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,SOLUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-10-21T07:00:00+00:00Z
# t0_final_iso,2021-10-21T07:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,27e64f1d9c7fe2bc
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-10-21T07:00:00+00:00Z,2021-10-21T08:00:00+00:00Z,183.19,189.12,181.79,186.92,30.62,5701.0762,0,0,0
2021-10-21T08:00:00+00:00Z,2021-10-21T09:00:00+00:00Z,186.92,193.46,185.95,191.13,401.46,76240.9392,0,0,0
2021-10-21T09:00:00+00:00Z,2021-10-21T10:00:00+00:00Z,191.13,193.55,190.5,191.54,246.63,47227.1364,0,0,0
2021-10-21T10:00:00+00:00Z,2021-10-21T11:00:00+00:00Z,191.54,192.68,189.33,191.45,152.26,29053.6567,0,0,0
2021-10-21T11:00:00+00:00Z,2021-10-21T12:00:00+00:00Z,191.45,194.23,185.48,187.83,675.45,127558.233,0,0,0
2021-10-21T12:00:00+00:00Z,2021-10-21T13:00:00+00:00Z,187.83,189.0,183.77,186.53,528.83,98708.8446,0,0,0
2021-10-21T13:00:00+00:00Z,2021-10-21T14:00:00+00:00Z,186.53,190.7,186.24,187.44,233.5,44176.0483,0,0,0
2021-10-21T14:00:00+00:00Z,2021-10-21T15:00:00+00:00Z,187.44,188.24,181.75,183.64,109.36,20265.0053,0,0,0
2021-10-21T15:00:00+00:00Z,2021-10-21T16:00:00+00:00Z,183.64,185.09,178.68,183.01,198.04,35997.6263,0,0,0
2021-10-21T16:00:00+00:00Z,2021-10-21T17:00:00+00:00Z,183.01,185.61,181.06,181.1,178.66,32946.4875,0,0,0
2021-10-21T17:00:00+00:00Z,2021-10-21T18:00:00+00:00Z,181.1,185.82,181.1,181.86,58.28,10668.3152,0,0,0
2021-10-21T18:00:00+00:00Z,2021-10-21T19:00:00+00:00Z,181.86,184.04,181.12,182.64,82.5,15052.2452,0,0,0
2021-10-21T19:00:00+00:00Z,2021-10-21T20:00:00+00:00Z,182.64,188.56,182.64,184.91,166.32,31160.1168,0,0,0
2021-10-21T20:00:00+00:00Z,2021-10-21T21:00:00+00:00Z,184.91,186.4,183.18,184.78,103.44,19062.3124,0,0,0
2021-10-21T21:00:00+00:00Z,2021-10-21T22:00:00+00:00Z,184.78,189.2,184.78,187.72,88.72,16614.6197,0,0,0
2021-10-21T22:00:00+00:00Z,2021-10-21T23:00:00+00:00Z,187.72,189.8,184.32,184.38,41.03,7647.982,0,0,0
2021-10-21T23:00:00+00:00Z,2021-10-22T00:00:00+00:00Z,184.38,191.37,184.38,190.81,140.06,26484.4985,0,0,0
2021-10-22T00:00:00+00:00Z,2021-10-22T01:00:00+00:00Z,190.81,202.77,186.75,200.29,230.55,44839.8464,0,0,0
2021-10-22T01:00:00+00:00Z,2021-10-22T02:00:00+00:00Z,200.29,205.16,199.61,201.57,470.31,95501.5547,0,0,0
2021-10-22T02:00:00+00:00Z,2021-10-22T03:00:00+00:00Z,201.57,203.48,198.96,199.74,71.53,14393.072,0,0,0
2021-10-22T03:00:00+00:00Z,2021-10-22T04:00:00+00:00Z,199.74,202.89,199.74,201.14,58.06,11717.8,0,0,0
2021-10-22T04:00:00+00:00Z,2021-10-22T05:00:00+00:00Z,201.14,204.16,200.84,202.93,90.98,18421.2615,0,0,0
2021-10-22T05:00:00+00:00Z,2021-10-22T06:00:00+00:00Z,202.93,208.35,202.19,205.67,175.92,36401.3721,0,0,0
2021-10-22T06:00:00+00:00Z,2021-10-22T07:00:00+00:00Z,205.67,206.16,202.12,202.76,158.07,32257.7145,0,0,0
2021-10-22T07:00:00+00:00Z,2021-10-22T08:00:00+00:00Z,202.76,204.01,201.32,203.03,164.99,33479.1947,0,0,0
