# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,PINEYEUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2025-01-27T12:00:00+00:00Z
# t0_final_iso,2025-01-27T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,c0c0c9ce4896568d
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2025-01-27T12:00:00+00:00Z,2025-01-27T13:00:00+00:00Z,0.0125,0.0572,0.0125,0.02122,67226581.8,2252627.7671,0,0,0
2025-01-27T13:00:00+00:00Z,2025-01-27T14:00:00+00:00Z,0.02122,0.02829,0.0198,0.0273,22368914.6,529435.375684,0,0,0
2025-01-27T14:00:00+00:00Z,2025-01-27T15:00:00+00:00Z,0.0273,0.0273,0.0195,0.0196,14816650.2,327954.400964,0,0,0
2025-01-27T15:00:00+00:00Z,2025-01-27T16:00:00+00:00Z,0.0196,0.02219,0.01643,0.02138,12649504.2,241000.711269,0,0,0
2025-01-27T16:00:00+00:00Z,2025-01-27T17:00:00+00:00Z,0.02138,0.02139,0.01331,0.01331,22342500.0,355523.935594,0,0,0
2025-01-27T17:00:00+00:00Z,2025-01-27T18:00:00+00:00Z,0.01331,0.01345,0.0092,0.01136,26659211.2,302466.233585,0,0,0
2025-01-27T18:00:00+00:00Z,2025-01-27T19:00:00+00:00Z,0.01136,0.01215,0.00971,0.0118,7731892.3,85389.021051,0,0,0
2025-01-27T19:00:00+00:00Z,2025-01-27T20:00:00+00:00Z,0.0118,0.01357,0.0106,0.01118,11263619.2,139022.00598,0,0,0
2025-01-27T20:00:00+00:00Z,2025-01-27T21:00:00+00:00Z,0.01118,0.0178,0.01039,0.01468,14980917.3,198383.799593,0,0,0
2025-01-27T21:00:00+00:00Z,2025-01-27T22:00:00+00:00Z,0.01468,0.01487,0.01152,0.01181,14953221.9,190157.206842,0,0,0
2025-01-27T22:00:00+00:00Z,2025-01-27T23:00:00+00:00Z,0.01181,0.01291,0.01152,0.012,2830531.0,34318.645857,0,0,0
2025-01-27T23:00:00+00:00Z,2025-01-28T00:00:00+00:00Z,0.012,0.01375,0.01152,0.0131,1933317.6,24445.813493,0,0,0
2025-01-28T00:00:00+00:00Z,2025-01-28T01:00:00+00:00Z,0.0131,0.0131,0.01155,0.01205,1902463.1,22887.800463,0,0,0
