# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,DAIUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-01-26T08:00:00+00:00Z
# t0_final_iso,2022-01-26T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,e348bd22916cef66
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-01-26T08:00:00+00:00Z,2022-01-26T09:00:00+00:00Z,0.99135,1.00793,0.99134,1.00588,400.6,400.5838347,0,0,0
2022-01-26T09:00:00+00:00Z,2022-01-26T10:00:00+00:00Z,1.00588,1.00588,0.99346,0.99951,479.88,479.375126,0,0,0
2022-01-26T10:00:00+00:00Z,2022-01-26T11:00:00+00:00Z,0.99951,1.00921,0.99605,1.00552,458.04,458.9765838,0,0,0
2022-01-26T11:00:00+00:00Z,2022-01-26T12:00:00+00:00Z,1.00552,1.01475,0.98005,0.99904,450.64,449.998891,0,0,0
2022-01-26T12:00:00+00:00Z,2022-01-26T13:00:00+00:00Z,0.99904,1.00553,0.99157,0.99357,2454.11,2457.3724042,0,0,0
2022-01-26T13:00:00+00:00Z,2022-01-26T14:00:00+00:00Z,0.99357,1.006,0.98886,0.99478,415.04,414.3398896,0,0,0
2022-01-26T14:00:00+00:00Z,2022-01-26T15:00:00+00:00Z,0.99478,1.00477,0.99168,1.00186,405.42,405.0076469,0,0,0
2022-01-26T15:00:00+00:00Z,2022-01-26T16:00:00+00:00Z,1.00186,1.00613,0.99178,0.99984,411.43,410.9724297,0,0,0
2022-01-26T16:00:00+00:00Z,2022-01-26T17:00:00+00:00Z,0.99984,1.00969,0.98381,1.00552,390.45,390.1075596,0,0,0
2022-01-26T17:00:00+00:00Z,2022-01-26T18:00:00+00:00Z,1.00552,1.00737,0.98835,1.00315,411.63,410.9829609,0,0,0
2022-01-26T18:00:00+00:00Z,2022-01-26T19:00:00+00:00Z,1.00315,1.00794,0.99391,0.99678,395.57,396.1552302,0,0,0
2022-01-26T19:00:00+00:00Z,2022-01-26T20:00:00+00:00Z,0.99678,1.01325,0.97832,0.99967,402.07,402.018143,0,0,0
2022-01-26T20:00:00+00:00Z,2022-01-26T21:00:00+00:00Z,0.99967,1.00993,0.999,0.99976,376.87,378.1979951,0,0,0
2022-01-26T21:00:00+00:00Z,2022-01-26T22:00:00+00:00Z,0.99976,1.00932,0.99139,0.99958,400.52,400.508464,0,0,0
2022-01-26T22:00:00+00:00Z,2022-01-26T23:00:00+00:00Z,0.99958,1.00582,0.99161,0.99161,452.6,452.2502313,0,0,0
2022-01-26T23:00:00+00:00Z,2022-01-27T00:00:00+00:00Z,0.99161,1.00554,0.99161,1.0,436.29,436.4849854,0,0,0
2022-01-27T00:00:00+00:00Z,2022-01-27T01:00:00+00:00Z,1.0,1.0,1.0,1.0,391.5,391.5,0,0,0
2022-01-27T01:00:00+00:00Z,2022-01-27T02:00:00+00:00Z,1.0,1.00001,1.0,1.0,385.5,385.500885,0,0,0
2022-01-27T02:00:00+00:00Z,2022-01-27T03:00:00+00:00Z,1.0,1.0,0.99175,0.99363,383.62,382.0751512,0,0,0
2022-01-27T03:00:00+00:00Z,2022-01-27T04:00:00+00:00Z,0.99363,0.99963,0.99064,0.99727,369.63,367.510965,0,0,0
2022-01-27T04:00:00+00:00Z,2022-01-27T05:00:00+00:00Z,0.99727,0.99956,0.99183,0.99938,395.65,394.4935522,0,0,0
2022-01-27T05:00:00+00:00Z,2022-01-27T06:00:00+00:00Z,0.99938,0.99956,0.99403,0.99952,413.01,412.4740522,0,0,0
2022-01-27T06:00:00+00:00Z,2022-01-27T07:00:00+00:00Z,0.99952,0.99958,0.99188,0.99958,478.0,476.415726,0,0,0
2022-01-27T07:00:00+00:00Z,2022-01-27T08:00:00+00:00Z,0.99958,0.99959,0.99325,0.99393,411.61,411.0004199,0,0,0
2022-01-27T08:00:00+00:00Z,2022-01-27T09:00:00+00:00Z,0.99393,0.99969,0.9922,0.9922,378.41,377.8023981,0,0,0
2022-01-27T09:00:00+00:00Z,2022-01-27T10:00:00+00:00Z,0.9922,1.00151,0.99183,0.99952,486.88,485.1846016,0,0,0
2022-01-27T10:00:00+00:00Z,2022-01-27T11:00:00+00:00Z,0.99952,0.99952,0.99335,0.99952,368.45,367.4851778,0,0,0
2022-01-27T11:00:00+00:00Z,2022-01-27T12:00:00+00:00Z,0.99952,0.99952,0.99366,0.99369,407.08,406.4802004,0,0,0
2022-01-27T12:00:00+00:00Z,2022-01-27T13:00:00+00:00Z,0.99369,0.99952,0.9918,0.99952,390.55,390.0113489,0,0,0
2022-01-27T13:00:00+00:00Z,2022-01-27T14:00:00+00:00Z,0.99952,1.00151,0.99435,0.99981,403.52,402.9748515,0,0,0
