# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,UMAUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-12-02T08:00:00+00:00Z
# t0_final_iso,2021-12-02T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,3404bc3b858ef1ad
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-12-02T08:00:00+00:00Z,2021-12-02T09:00:00+00:00Z,12.8753,12.9029,12.8134,12.8142,50.826,653.18219,0,0,0
2021-12-02T09:00:00+00:00Z,2021-12-02T10:00:00+00:00Z,12.8142,12.913,12.7022,12.7292,159.593,2047.1333802,0,0,0
2021-12-02T10:00:00+00:00Z,2021-12-02T11:00:00+00:00Z,12.7292,12.8011,12.5753,12.7349,219.025,2778.9392749,0,0,0
2021-12-02T11:00:00+00:00Z,2021-12-02T12:00:00+00:00Z,12.7349,12.8287,12.5286,12.6585,199.832,2527.202245,0,0,0
2021-12-02T12:00:00+00:00Z,2021-12-02T13:00:00+00:00Z,12.6585,12.72,12.5116,12.5996,305.567,3858.1685458,0,0,0
2021-12-02T13:00:00+00:00Z,2021-12-02T14:00:00+00:00Z,12.5996,12.6918,12.4601,12.5251,178.876,2247.0700438,0,0,0
2021-12-02T14:00:00+00:00Z,2021-12-02T15:00:00+00:00Z,12.5251,12.7424,12.4686,12.6505,187.102,2358.1115149,0,0,0
2021-12-02T15:00:00+00:00Z,2021-12-02T16:00:00+00:00Z,12.6505,12.7907,12.4442,12.5833,233.778,2947.7102644,0,0,0
2021-12-02T16:00:00+00:00Z,2021-12-02T17:00:00+00:00Z,12.5833,12.6161,12.3442,12.4572,216.929,2706.5566233,0,0,0
2021-12-02T17:00:00+00:00Z,2021-12-02T18:00:00+00:00Z,12.4572,12.5419,12.3783,12.531,179.431,2238.0393402,0,0,0
2021-12-02T18:00:00+00:00Z,2021-12-02T19:00:00+00:00Z,12.531,12.5419,12.336,12.4518,169.926,2111.3493264,0,0,0
2021-12-02T19:00:00+00:00Z,2021-12-02T20:00:00+00:00Z,12.4518,12.5701,12.4226,12.4467,182.931,2284.7806691,0,0,0
2021-12-02T20:00:00+00:00Z,2021-12-02T21:00:00+00:00Z,12.4467,12.6369,12.3929,12.5495,189.541,2372.0421601,0,0,0
2021-12-02T21:00:00+00:00Z,2021-12-02T22:00:00+00:00Z,12.5495,12.6007,12.4467,12.5841,167.883,2103.6778405,0,0,0
2021-12-02T22:00:00+00:00Z,2021-12-02T23:00:00+00:00Z,12.5841,12.6386,12.4777,12.6344,196.62,2465.1574095,0,0,0
2021-12-02T23:00:00+00:00Z,2021-12-03T00:00:00+00:00Z,12.6344,12.6344,12.3848,12.4548,201.703,2515.9729498,0,0,0
2021-12-03T00:00:00+00:00Z,2021-12-03T01:00:00+00:00Z,12.4548,12.5169,12.3162,12.4748,214.722,2669.8474304,0,0,0
2021-12-03T01:00:00+00:00Z,2021-12-03T02:00:00+00:00Z,12.4748,12.4788,12.3162,12.357,202.959,2517.7346767,0,0,0
2021-12-03T02:00:00+00:00Z,2021-12-03T03:00:00+00:00Z,12.357,12.6453,12.336,12.5079,189.127,2358.7578171,0,0,0
2021-12-03T03:00:00+00:00Z,2021-12-03T04:00:00+00:00Z,12.5079,12.6092,12.4288,12.5098,162.214,2029.2666742,0,0,0
2021-12-03T04:00:00+00:00Z,2021-12-03T05:00:00+00:00Z,12.5098,12.589,12.4472,12.5398,187.483,2348.4706287,0,0,0
2021-12-03T05:00:00+00:00Z,2021-12-03T06:00:00+00:00Z,12.5398,12.644,12.4422,12.517,165.577,2073.7232374,0,0,0
2021-12-03T06:00:00+00:00Z,2021-12-03T07:00:00+00:00Z,12.517,12.673,12.517,12.6248,189.646,2387.3882338,0,0,0
2021-12-03T07:00:00+00:00Z,2021-12-03T08:00:00+00:00Z,12.6248,12.6903,12.5569,12.6223,175.045,2211.9848494,0,0,0
2021-12-03T08:00:00+00:00Z,2021-12-03T09:00:00+00:00Z,12.6223,12.691,12.5599,12.5686,189.879,2397.0680844,0,0,0
2021-12-03T09:00:00+00:00Z,2021-12-03T10:00:00+00:00Z,12.5686,12.6631,12.5104,12.583,190.717,2401.2406784,0,0,0
2021-12-03T10:00:00+00:00Z,2021-12-03T11:00:00+00:00Z,12.583,12.7606,12.5694,12.6451,181.043,2291.913535,0,0,0
2021-12-03T11:00:00+00:00Z,2021-12-03T12:00:00+00:00Z,12.6451,12.8104,12.6441,12.6631,180.659,2297.9687943,0,0,0
2021-12-03T12:00:00+00:00Z,2021-12-03T13:00:00+00:00Z,12.6631,12.7626,12.6032,12.635,200.393,2541.6707864,0,0,0
2021-12-03T13:00:00+00:00Z,2021-12-03T14:00:00+00:00Z,12.635,12.8936,12.635,12.8182,188.579,2406.2096256,0,0,0
2021-12-03T14:00:00+00:00Z,2021-12-03T15:00:00+00:00Z,12.8182,12.8895,12.7051,12.7562,197.368,2523.9768305,0,0,0
2021-12-03T15:00:00+00:00Z,2021-12-03T16:00:00+00:00Z,12.7562,12.8522,12.5703,12.708,188.926,2405.3089804,0,0,0
2021-12-03T16:00:00+00:00Z,2021-12-03T17:00:00+00:00Z,12.708,12.708,12.289,12.289,181.824,2254.7498955,0,0,0
2021-12-03T17:00:00+00:00Z,2021-12-03T18:00:00+00:00Z,12.289,12.4065,12.2149,12.2957,189.619,2335.7007094,0,0,0
2021-12-03T18:00:00+00:00Z,2021-12-03T19:00:00+00:00Z,12.2957,12.3955,12.1921,12.2727,168.475,2073.1841507,0,0,0
2021-12-03T19:00:00+00:00Z,2021-12-03T20:00:00+00:00Z,12.2727,12.2727,11.9132,12.0191,185.894,2249.2632702,0,0,0
2021-12-03T20:00:00+00:00Z,2021-12-03T21:00:00+00:00Z,12.0191,12.0192,11.6124,11.9563,201.804,2390.1652454,0,0,0
2021-12-03T21:00:00+00:00Z,2021-12-03T22:00:00+00:00Z,11.9563,12.1458,11.8963,11.9213,203.89,2449.6002151,0,0,0
2021-12-03T22:00:00+00:00Z,2021-12-03T23:00:00+00:00Z,11.9213,12.0203,11.7856,11.9649,179.414,2142.0644091,0,0,0
2021-12-03T23:00:00+00:00Z,2021-12-04T00:00:00+00:00Z,11.9649,12.2139,11.9041,12.1146,171.388,2069.9361241,0,0,0
2021-12-04T00:00:00+00:00Z,2021-12-04T01:00:00+00:00Z,12.1146,12.162,11.8147,11.8147,157.212,1888.1907927,0,0,0
2021-12-04T01:00:00+00:00Z,2021-12-04T02:00:00+00:00Z,11.8147,11.8147,11.5669,11.6242,212.017,2476.9755855,0,0,0
