# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,ROSEUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-08-11T10:00:00+00:00Z
# t0_final_iso,2022-08-11T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,b96e6a9d747c1f66
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-08-11T10:00:00+00:00Z,2022-08-11T11:00:00+00:00Z,0.10087,0.10364,0.10061,0.10306,56427.13,5779.8427237,0,0,0
2022-08-11T11:00:00+00:00Z,2022-08-11T12:00:00+00:00Z,0.10306,0.10458,0.10151,0.103,12410.01,1276.2743929,0,0,0
2022-08-11T12:00:00+00:00Z,2022-08-11T13:00:00+00:00Z,0.103,0.10417,0.10184,0.10248,241560.55,24881.448132,0,0,0
2022-08-11T13:00:00+00:00Z,2022-08-11T14:00:00+00:00Z,0.10248,0.10362,0.10064,0.10298,38540.53,3926.3185674,0,0,0
2022-08-11T14:00:00+00:00Z,2022-08-11T15:00:00+00:00Z,0.10298,0.1032,0.09948,0.10141,8017.56,808.6672182,0,0,0
2022-08-11T15:00:00+00:00Z,2022-08-11T16:00:00+00:00Z,0.10141,0.10141,0.09892,0.09899,9802.22,986.0069436,0,0,0
2022-08-11T16:00:00+00:00Z,2022-08-11T17:00:00+00:00Z,0.09899,0.10106,0.09891,0.09934,181.35,18.0325977,0,0,0
2022-08-11T17:00:00+00:00Z,2022-08-11T18:00:00+00:00Z,0.09934,0.10185,0.09934,0.10044,19702.06,1993.3091008,0,0,0
2022-08-11T18:00:00+00:00Z,2022-08-11T19:00:00+00:00Z,0.10044,0.10151,0.0995,0.10126,2680.19,269.4494887,0,0,0
2022-08-11T19:00:00+00:00Z,2022-08-11T20:00:00+00:00Z,0.10126,0.10137,0.10014,0.10025,564.8,57.1192143,0,0,0
2022-08-11T20:00:00+00:00Z,2022-08-11T21:00:00+00:00Z,0.10025,0.10117,0.10001,0.1001,882.29,88.7614533,0,0,0
2022-08-11T21:00:00+00:00Z,2022-08-11T22:00:00+00:00Z,0.1001,0.10096,0.1,0.10005,3055.48,307.5286899,0,0,0
2022-08-11T22:00:00+00:00Z,2022-08-11T23:00:00+00:00Z,0.10005,0.10099,0.0998,0.0998,3457.85,345.8737655,0,0,0
2022-08-11T23:00:00+00:00Z,2022-08-12T00:00:00+00:00Z,0.0998,0.10065,0.09709,0.0978,2555.54,250.5723465,0,0,0
2022-08-12T00:00:00+00:00Z,2022-08-12T01:00:00+00:00Z,0.0978,0.0978,0.09568,0.09755,2178.4,210.7227545,0,0,0
2022-08-12T01:00:00+00:00Z,2022-08-12T02:00:00+00:00Z,0.09755,0.09926,0.0975,0.0975,477.2,47.0721618,0,0,0
2022-08-12T02:00:00+00:00Z,2022-08-12T03:00:00+00:00Z,0.0975,0.10004,0.09738,0.09867,193.44,18.9658248,0,0,0
2022-08-12T03:00:00+00:00Z,2022-08-12T04:00:00+00:00Z,0.09867,0.09991,0.09817,0.09852,1874.09,186.8477288,0,0,0
2022-08-12T04:00:00+00:00Z,2022-08-12T05:00:00+00:00Z,0.09852,0.10096,0.09852,0.09913,1644.53,164.0712531,0,0,0
2022-08-12T05:00:00+00:00Z,2022-08-12T06:00:00+00:00Z,0.09913,0.10064,0.09837,0.09904,1523.44,151.3170494,0,0,0
2022-08-12T06:00:00+00:00Z,2022-08-12T07:00:00+00:00Z,0.09904,0.10053,0.09792,0.09806,7489.82,750.53329,0,0,0
2022-08-12T07:00:00+00:00Z,2022-08-12T08:00:00+00:00Z,0.09806,0.09806,0.0978,0.09783,2641.68,258.6894661,0,0,0
2022-08-12T08:00:00+00:00Z,2022-08-12T09:00:00+00:00Z,0.09783,0.10115,0.09783,0.09966,9391.68,936.8392833,0,0,0
2022-08-12T09:00:00+00:00Z,2022-08-12T10:00:00+00:00Z,0.09966,0.10147,0.09923,0.10038,4034.78,402.6829728,0,0,0
2022-08-12T10:00:00+00:00Z,2022-08-12T11:00:00+00:00Z,0.10038,0.10038,0.09636,0.09636,10802.6,1058.7944845,0,0,0
2022-08-12T11:00:00+00:00Z,2022-08-12T12:00:00+00:00Z,0.09636,0.09764,0.09601,0.09611,1812.73,175.4191447,0,0,0
2022-08-12T12:00:00+00:00Z,2022-08-12T13:00:00+00:00Z,0.09611,0.09772,0.09611,0.09675,223.64,21.6197359,0,0,0
2022-08-12T13:00:00+00:00Z,2022-08-12T14:00:00+00:00Z,0.09675,0.09893,0.09675,0.09865,5536.54,541.4203025,0,0,0
2022-08-12T14:00:00+00:00Z,2022-08-12T15:00:00+00:00Z,0.09865,0.09886,0.09712,0.09875,2355.21,231.6318327,0,0,0
2022-08-12T15:00:00+00:00Z,2022-08-12T16:00:00+00:00Z,0.09875,0.09935,0.09774,0.09774,13660.97,1348.355485,0,0,0
2022-08-12T16:00:00+00:00Z,2022-08-12T17:00:00+00:00Z,0.09774,0.09933,0.09774,0.09783,2285.21,226.7689874,0,0,0
2022-08-12T17:00:00+00:00Z,2022-08-12T18:00:00+00:00Z,0.09783,0.09921,0.09783,0.09791,1147.65,112.5895885,0,0,0
2022-08-12T18:00:00+00:00Z,2022-08-12T19:00:00+00:00Z,0.09791,0.09997,0.09781,0.09997,1630.73,162.1476726,0,0,0
2022-08-12T19:00:00+00:00Z,2022-08-12T20:00:00+00:00Z,0.09997,0.10066,0.09857,0.09869,78915.28,7905.8368634,0,0,0
2022-08-12T20:00:00+00:00Z,2022-08-12T21:00:00+00:00Z,0.09869,0.09994,0.09811,0.09872,4811.69,477.6089081,0,0,0
2022-08-12T21:00:00+00:00Z,2022-08-12T22:00:00+00:00Z,0.09872,0.09999,0.09814,0.0984,4082.43,405.1317067,0,0,0
2022-08-12T22:00:00+00:00Z,2022-08-12T23:00:00+00:00Z,0.0984,0.09951,0.09831,0.09835,211.49,20.8292007,0,0,0
2022-08-12T23:00:00+00:00Z,2022-08-13T00:00:00+00:00Z,0.09835,0.10111,0.09833,0.09978,53927.58,5426.0082736,0,0,0
2022-08-13T00:00:00+00:00Z,2022-08-13T01:00:00+00:00Z,0.09978,0.09978,0.09904,0.09934,181.35,18.0089013,0,0,0
2022-08-13T01:00:00+00:00Z,2022-08-13T02:00:00+00:00Z,0.09934,0.10405,0.09934,0.10096,8308.47,839.7225863,0,0,0
2022-08-13T02:00:00+00:00Z,2022-08-13T03:00:00+00:00Z,0.10096,0.10343,0.1003,0.10205,20367.8,2073.3664125,0,0,0
2022-08-13T03:00:00+00:00Z,2022-08-13T04:00:00+00:00Z,0.10205,0.10207,0.10111,0.10136,4526.2,459.3533076,0,0,0
2022-08-13T04:00:00+00:00Z,2022-08-13T05:00:00+00:00Z,0.10136,0.10221,0.09988,0.10221,10389.54,1055.689405,0,0,0
2022-08-13T05:00:00+00:00Z,2022-08-13T06:00:00+00:00Z,0.10221,0.10231,0.09995,0.10085,12403.41,1255.1433498,0,0,0
2022-08-13T06:00:00+00:00Z,2022-08-13T07:00:00+00:00Z,0.10085,0.10458,0.10085,0.10226,34718.16,3585.9184893,0,0,0
2022-08-13T07:00:00+00:00Z,2022-08-13T08:00:00+00:00Z,0.10226,0.10226,0.1001,0.10019,20809.13,2099.3736906,0,0,0
2022-08-13T08:00:00+00:00Z,2022-08-13T09:00:00+00:00Z,0.10019,0.1013,0.09841,0.09841,4908.61,488.8906494,0,0,0
2022-08-13T09:00:00+00:00Z,2022-08-13T10:00:00+00:00Z,0.09841,0.10078,0.09841,0.10078,12944.78,1288.7330527,0,0,0
2022-08-13T10:00:00+00:00Z,2022-08-13T11:00:00+00:00Z,0.10078,0.10078,0.0991,0.10002,3926.42,391.8587634,0,0,0
2022-08-13T11:00:00+00:00Z,2022-08-13T12:00:00+00:00Z,0.10002,0.10002,0.09781,0.09798,3930.34,389.1913487,0,0,0
2022-08-13T12:00:00+00:00Z,2022-08-13T13:00:00+00:00Z,0.09798,0.09878,0.09652,0.09822,2462.33,240.8811328,0,0,0
2022-08-13T13:00:00+00:00Z,2022-08-13T14:00:00+00:00Z,0.09822,0.09822,0.0973,0.0973,4226.84,415.0694289,0,0,0
2022-08-13T14:00:00+00:00Z,2022-08-13T15:00:00+00:00Z,0.0973,0.09898,0.09705,0.09731,2829.94,277.1294414,0,0,0
2022-08-13T15:00:00+00:00Z,2022-08-13T16:00:00+00:00Z,0.09731,0.09773,0.09702,0.09706,169.26,16.4712951,0,0,0
2022-08-13T16:00:00+00:00Z,2022-08-13T17:00:00+00:00Z,0.09706,0.0985,0.09706,0.09829,2710.89,265.7019378,0,0,0
2022-08-13T17:00:00+00:00Z,2022-08-13T18:00:00+00:00Z,0.09829,0.09859,0.09731,0.09785,1126.72,110.9874511,0,0,0
2022-08-13T18:00:00+00:00Z,2022-08-13T19:00:00+00:00Z,0.09785,0.0985,0.0972,0.0972,3173.02,310.1575575,0,0,0
2022-08-13T19:00:00+00:00Z,2022-08-13T20:00:00+00:00Z,0.0972,0.09778,0.09652,0.09719,47080.96,4575.8075847,0,0,0
2022-08-13T20:00:00+00:00Z,2022-08-13T21:00:00+00:00Z,0.09719,0.09776,0.09659,0.0972,11433.29,1111.2066853,0,0,0
2022-08-13T21:00:00+00:00Z,2022-08-13T22:00:00+00:00Z,0.0972,0.09814,0.09716,0.09805,2140.08,209.785434,0,0,0
2022-08-13T22:00:00+00:00Z,2022-08-13T23:00:00+00:00Z,0.09805,0.0983,0.0972,0.0972,7184.94,702.0129327,0,0,0
2022-08-13T23:00:00+00:00Z,2022-08-14T00:00:00+00:00Z,0.0972,0.09736,0.09651,0.09651,895.54,86.719549,0,0,0
2022-08-14T00:00:00+00:00Z,2022-08-14T01:00:00+00:00Z,0.09651,0.09797,0.09627,0.09797,1442.43,140.0748257,0,0,0
2022-08-14T01:00:00+00:00Z,2022-08-14T02:00:00+00:00Z,0.09797,0.098,0.09638,0.09761,33235.08,3255.59587,0,0,0
2022-08-14T02:00:00+00:00Z,2022-08-14T03:00:00+00:00Z,0.09761,0.09819,0.09756,0.09819,23218.28,2274.9225424,0,0,0
2022-08-14T03:00:00+00:00Z,2022-08-14T04:00:00+00:00Z,0.09819,0.09847,0.09819,0.09847,989.07,97.3927665,0,0,0
2022-08-14T04:00:00+00:00Z,2022-08-14T05:00:00+00:00Z,0.09847,0.09927,0.09847,0.0989,680.66,67.3974817,0,0,0
2022-08-14T05:00:00+00:00Z,2022-08-14T06:00:00+00:00Z,0.0989,0.1014,0.0989,0.1014,10764.49,1083.2352281,0,0,0
2022-08-14T06:00:00+00:00Z,2022-08-14T07:00:00+00:00Z,0.1014,0.1014,0.09913,0.10094,18298.58,1838.7812414,0,0,0
2022-08-14T07:00:00+00:00Z,2022-08-14T08:00:00+00:00Z,0.10094,0.10161,0.09976,0.10161,3347.8,337.0982635,0,0,0
2022-08-14T08:00:00+00:00Z,2022-08-14T09:00:00+00:00Z,0.10161,0.10161,0.09939,0.10127,6328.89,633.2007655,0,0,0
2022-08-14T09:00:00+00:00Z,2022-08-14T10:00:00+00:00Z,0.10127,0.10127,0.09959,0.09991,6336.07,636.8033289,0,0,0
2022-08-14T10:00:00+00:00Z,2022-08-14T11:00:00+00:00Z,0.09991,0.10127,0.09917,0.09931,19948.94,1996.4865424,0,0,0
2022-08-14T11:00:00+00:00Z,2022-08-14T12:00:00+00:00Z,0.09931,0.09952,0.09851,0.09855,5014.3,494.8412662,0,0,0
2022-08-14T12:00:00+00:00Z,2022-08-14T13:00:00+00:00Z,0.09855,0.09881,0.09762,0.09765,1961.36,192.9146423,0,0,0
2022-08-14T13:00:00+00:00Z,2022-08-14T14:00:00+00:00Z,0.09765,0.10042,0.09333,0.0952,53167.58,5160.5498464,0,0,0
2022-08-14T14:00:00+00:00Z,2022-08-14T15:00:00+00:00Z,0.0952,0.0958,0.0952,0.0958,12.09,1.158222,0,0,0
2022-08-14T15:00:00+00:00Z,2022-08-14T16:00:00+00:00Z,0.0958,0.09585,0.09523,0.09585,783.99,75.0136938,0,0,0
2022-08-14T16:00:00+00:00Z,2022-08-14T17:00:00+00:00Z,0.09585,0.09611,0.09194,0.09194,17949.42,1699.1963617,0,0,0
2022-08-14T17:00:00+00:00Z,2022-08-14T18:00:00+00:00Z,0.09194,0.09312,0.0909,0.09258,19653.42,1815.3262404,0,0,0
2022-08-14T18:00:00+00:00Z,2022-08-14T19:00:00+00:00Z,0.09258,0.09388,0.09136,0.09388,5092.6,477.5630508,0,0,0
2022-08-14T19:00:00+00:00Z,2022-08-14T20:00:00+00:00Z,0.09388,0.09388,0.09243,0.09243,3176.94,295.3591346,0,0,0
2022-08-14T20:00:00+00:00Z,2022-08-14T21:00:00+00:00Z,0.09243,0.09316,0.09243,0.09255,2395.66,222.8261813,0,0,0
2022-08-14T21:00:00+00:00Z,2022-08-14T22:00:00+00:00Z,0.09255,0.09563,0.09255,0.09304,91193.21,8651.8739857,0,0,0
2022-08-14T22:00:00+00:00Z,2022-08-14T23:00:00+00:00Z,0.09304,0.09531,0.09205,0.09531,12364.57,1171.5132325,0,0,0
2022-08-14T23:00:00+00:00Z,2022-08-15T00:00:00+00:00Z,0.09531,0.09531,0.09272,0.094,1794.33,168.5197503,0,0,0
2022-08-15T00:00:00+00:00Z,2022-08-15T01:00:00+00:00Z,0.094,0.09513,0.09254,0.09437,2776.77,259.8707666,0,0,0
2022-08-15T01:00:00+00:00Z,2022-08-15T02:00:00+00:00Z,0.09437,0.09472,0.09395,0.09472,181.35,17.0923584,0,0,0
2022-08-15T02:00:00+00:00Z,2022-08-15T03:00:00+00:00Z,0.09472,0.09844,0.09469,0.09844,11183.04,1091.0778951,0,0,0
2022-08-15T03:00:00+00:00Z,2022-08-15T04:00:00+00:00Z,0.09844,0.09844,0.09473,0.09486,434.15,41.4308041,0,0,0
2022-08-15T04:00:00+00:00Z,2022-08-15T05:00:00+00:00Z,0.09486,0.09588,0.09466,0.09515,5220.46,497.6470233,0,0,0
2022-08-15T05:00:00+00:00Z,2022-08-15T06:00:00+00:00Z,0.09515,0.09677,0.09447,0.095,162.27,15.4438068,0,0,0
2022-08-15T06:00:00+00:00Z,2022-08-15T07:00:00+00:00Z,0.095,0.095,0.09046,0.09082,118130.06,10802.3336835,0,0,0
2022-08-15T07:00:00+00:00Z,2022-08-15T08:00:00+00:00Z,0.09082,0.09316,0.09082,0.0924,2747.4,253.2595958,0,0,0
2022-08-15T08:00:00+00:00Z,2022-08-15T09:00:00+00:00Z,0.0924,0.09296,0.09172,0.09262,9041.74,834.5766648,0,0,0
2022-08-15T09:00:00+00:00Z,2022-08-15T10:00:00+00:00Z,0.09262,0.09352,0.09255,0.09319,4692.03,437.8154643,0,0,0
2022-08-15T10:00:00+00:00Z,2022-08-15T11:00:00+00:00Z,0.09319,0.09487,0.09319,0.09485,1262.54,119.4654924,0,0,0
2022-08-15T11:00:00+00:00Z,2022-08-15T12:00:00+00:00Z,0.09485,0.09503,0.09396,0.09396,112.93,10.6372491,0,0,0
2022-08-15T12:00:00+00:00Z,2022-08-15T13:00:00+00:00Z,0.09396,0.09424,0.0924,0.0924,2055.22,190.8918479,0,0,0
2022-08-15T13:00:00+00:00Z,2022-08-15T14:00:00+00:00Z,0.0924,0.09556,0.0924,0.09458,14144.07,1335.6783439,0,0,0
2022-08-15T14:00:00+00:00Z,2022-08-15T15:00:00+00:00Z,0.09458,0.09569,0.09404,0.09478,5107.37,486.0662674,0,0,0
