# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,CARVUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-10-10T08:00:00+00:00Z
# t0_final_iso,2024-10-10T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,990e878e27bca5fc
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-10-10T08:00:00+00:00Z,2024-10-10T09:00:00+00:00Z,0.04,0.66,0.04,0.4978,8269930.92,3831540.038556,0,0,0
2024-10-10T09:00:00+00:00Z,2024-10-10T10:00:00+00:00Z,0.4978,0.5494,0.447,0.5178,2410298.17,1186414.264275,0,0,0
2024-10-10T10:00:00+00:00Z,2024-10-10T11:00:00+00:00Z,0.5178,0.52,0.4607,0.4712,1669368.43,794534.471497,0,0,0
2024-10-10T11:00:00+00:00Z,2024-10-10T12:00:00+00:00Z,0.4712,0.4712,0.448,0.4599,688715.16,314870.27796,0,0,0
2024-10-10T12:00:00+00:00Z,2024-10-10T13:00:00+00:00Z,0.4599,0.4693,0.4497,0.469,490489.9,224130.853181,0,0,0
2024-10-10T13:00:00+00:00Z,2024-10-10T14:00:00+00:00Z,0.469,0.472,0.455,0.4556,527568.6,244726.577397,0,0,0
2024-10-10T14:00:00+00:00Z,2024-10-10T15:00:00+00:00Z,0.4556,0.4789,0.4513,0.4788,742404.99,346241.026093,0,0,0
2024-10-10T15:00:00+00:00Z,2024-10-10T16:00:00+00:00Z,0.4788,0.4825,0.4695,0.4745,1006407.41,479530.629303,0,0,0
2024-10-10T16:00:00+00:00Z,2024-10-10T17:00:00+00:00Z,0.4745,0.5014,0.4713,0.4989,1408316.5,684100.395649,0,0,0
2024-10-10T17:00:00+00:00Z,2024-10-10T18:00:00+00:00Z,0.4989,0.5155,0.4859,0.4862,1447500.52,728737.035844,0,0,0
2024-10-10T18:00:00+00:00Z,2024-10-10T19:00:00+00:00Z,0.4862,0.489,0.466,0.485,1559087.51,744972.421026,0,0,0
2024-10-10T19:00:00+00:00Z,2024-10-10T20:00:00+00:00Z,0.485,0.5015,0.4844,0.4987,1422433.96,702304.877527,0,0,0
2024-10-10T20:00:00+00:00Z,2024-10-10T21:00:00+00:00Z,0.4987,0.5089,0.4957,0.5089,1179594.89,591132.2807,0,0,0
2024-10-10T21:00:00+00:00Z,2024-10-10T22:00:00+00:00Z,0.5089,0.5287,0.5064,0.5264,1273409.83,660399.791335,0,0,0
2024-10-10T22:00:00+00:00Z,2024-10-10T23:00:00+00:00Z,0.5264,0.544,0.52,0.5427,1248488.75,662843.434355,0,0,0
