# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,APEXUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2022-04-27T12:00:00+00:00Z
# t0_final_iso,2022-04-27T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,b4fcd120622bd763
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-04-27T12:00:00+00:00Z,2022-04-27T13:00:00+00:00Z,0.05,0.5538,0.05,0.2922,18054977.96,5962720.80867,0,0,0
2022-04-27T13:00:00+00:00Z,2022-04-27T14:00:00+00:00Z,0.2922,0.3009,0.2205,0.2238,4357502.04,1121685.777796,0,0,0
2022-04-27T14:00:00+00:00Z,2022-04-27T15:00:00+00:00Z,0.2238,0.2951,0.1963,0.2545,3808404.81,864877.318742,0,0,0
2022-04-27T15:00:00+00:00Z,2022-04-27T16:00:00+00:00Z,0.2545,0.29,0.25,0.2549,1551048.71,416030.466592,0,0,0
2022-04-27T16:00:00+00:00Z,2022-04-27T17:00:00+00:00Z,0.2549,0.287,0.251,0.2817,1216857.3,330911.119101,0,0,0
2022-04-27T17:00:00+00:00Z,2022-04-27T18:00:00+00:00Z,0.2817,0.285,0.26,0.2739,903773.82,246571.012433,0,0,0
2022-04-27T18:00:00+00:00Z,2022-04-27T19:00:00+00:00Z,0.2739,0.2814,0.2698,0.2703,582747.57,161359.932474,0,0,0
2022-04-27T19:00:00+00:00Z,2022-04-27T20:00:00+00:00Z,0.2703,0.2885,0.2666,0.2758,722169.23,200900.529174,0,0,0
2022-04-27T20:00:00+00:00Z,2022-04-27T21:00:00+00:00Z,0.2758,0.2778,0.2681,0.276,300775.83,81869.926177,0,0,0
2022-04-27T21:00:00+00:00Z,2022-04-27T22:00:00+00:00Z,0.276,0.2761,0.2602,0.2608,220811.13,58936.98567,0,0,0
2022-04-27T22:00:00+00:00Z,2022-04-27T23:00:00+00:00Z,0.2608,0.2642,0.2375,0.2431,569097.96,144313.596146,0,0,0
2022-04-27T23:00:00+00:00Z,2022-04-28T00:00:00+00:00Z,0.2431,0.2509,0.2431,0.2469,184458.37,45499.208317,0,0,0
2022-04-28T00:00:00+00:00Z,2022-04-28T01:00:00+00:00Z,0.2469,0.2484,0.23,0.2306,458115.16,109308.592363,0,0,0
2022-04-28T01:00:00+00:00Z,2022-04-28T02:00:00+00:00Z,0.2306,0.2335,0.2275,0.2308,411557.41,94816.848661,0,0,0
2022-04-28T02:00:00+00:00Z,2022-04-28T03:00:00+00:00Z,0.2308,0.2316,0.2,0.2111,1267461.94,265649.402408,0,0,0
2022-04-28T03:00:00+00:00Z,2022-04-28T04:00:00+00:00Z,0.2111,0.2134,0.2071,0.2128,418449.85,87970.241774,0,0,0
2022-04-28T04:00:00+00:00Z,2022-04-28T05:00:00+00:00Z,0.2128,0.2282,0.2113,0.2172,614273.3,133997.104527,0,0,0
2022-04-28T05:00:00+00:00Z,2022-04-28T06:00:00+00:00Z,0.2172,0.2217,0.205,0.2059,355619.15,75686.591543,0,0,0
2022-04-28T06:00:00+00:00Z,2022-04-28T07:00:00+00:00Z,0.2059,0.2177,0.2053,0.2156,313330.82,66644.543904,0,0,0
2022-04-28T07:00:00+00:00Z,2022-04-28T08:00:00+00:00Z,0.2156,0.216,0.2097,0.2154,247728.56,52652.32649,0,0,0
2022-04-28T08:00:00+00:00Z,2022-04-28T09:00:00+00:00Z,0.2154,0.2777,0.2132,0.2676,1303386.25,318645.797644,0,0,0
2022-04-28T09:00:00+00:00Z,2022-04-28T10:00:00+00:00Z,0.2676,0.2676,0.2265,0.2309,957240.93,234217.590962,0,0,0
2022-04-28T10:00:00+00:00Z,2022-04-28T11:00:00+00:00Z,0.2309,0.2445,0.2109,0.2314,1063845.45,241674.996874,0,0,0
2022-04-28T11:00:00+00:00Z,2022-04-28T12:00:00+00:00Z,0.2314,0.2413,0.2268,0.2392,866397.34,203965.858163,0,0,0
