# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,USDYUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-01-18T08:00:00+00:00Z
# t0_final_iso,2024-01-18T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,559d65624cb55e0f
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-01-18T08:00:00+00:00Z,2024-01-18T09:00:00+00:00Z,1.0,1.0972,1.0,1.032,561179.96,579195.421863,0,0,0
2024-01-18T09:00:00+00:00Z,2024-01-18T10:00:00+00:00Z,1.032,1.0328,1.026,1.0289,441043.88,453833.268936,0,0,0
2024-01-18T10:00:00+00:00Z,2024-01-18T11:00:00+00:00Z,1.0289,1.0299,1.025,1.0266,439616.04,452113.28776,0,0,0
2024-01-18T11:00:00+00:00Z,2024-01-18T12:00:00+00:00Z,1.0266,1.0298,1.025,1.0293,233864.04,240453.811079,0,0,0
2024-01-18T12:00:00+00:00Z,2024-01-18T13:00:00+00:00Z,1.0293,1.0295,1.0259,1.0278,287997.9,296058.672744,0,0,0
2024-01-18T13:00:00+00:00Z,2024-01-18T14:00:00+00:00Z,1.0278,1.0285,1.0245,1.025,195950.11,201284.726123,0,0,0
2024-01-18T14:00:00+00:00Z,2024-01-18T15:00:00+00:00Z,1.025,1.0281,1.0246,1.0271,128201.67,131688.520997,0,0,0
2024-01-18T15:00:00+00:00Z,2024-01-18T16:00:00+00:00Z,1.0271,1.028,1.0257,1.0274,167575.49,172147.806226,0,0,0
2024-01-18T16:00:00+00:00Z,2024-01-18T17:00:00+00:00Z,1.0274,1.0279,1.0262,1.0272,117015.22,120221.025068,0,0,0
2024-01-18T17:00:00+00:00Z,2024-01-18T18:00:00+00:00Z,1.0272,1.0276,1.0254,1.0267,77008.32,79074.01762,0,0,0
2024-01-18T18:00:00+00:00Z,2024-01-18T19:00:00+00:00Z,1.0267,1.0267,1.0254,1.0267,53845.38,55279.195744,0,0,0
2024-01-18T19:00:00+00:00Z,2024-01-18T20:00:00+00:00Z,1.0267,1.027,1.0259,1.027,54749.1,56208.74629,0,0,0
2024-01-18T20:00:00+00:00Z,2024-01-18T21:00:00+00:00Z,1.027,1.027,1.0253,1.027,31860.16,32705.87395,0,0,0
2024-01-18T21:00:00+00:00Z,2024-01-18T22:00:00+00:00Z,1.027,1.028,1.0263,1.028,43319.98,44498.015664,0,0,0
2024-01-18T22:00:00+00:00Z,2024-01-18T23:00:00+00:00Z,1.028,1.0296,1.0266,1.0289,41868.91,43059.571553,0,0,0
2024-01-18T23:00:00+00:00Z,2024-01-19T00:00:00+00:00Z,1.0289,1.0299,1.0266,1.0299,65506.9,67416.011701,0,0,0
2024-01-19T00:00:00+00:00Z,2024-01-19T01:00:00+00:00Z,1.0299,1.0299,1.0276,1.0288,26871.09,27653.331791,0,0,0
2024-01-19T01:00:00+00:00Z,2024-01-19T02:00:00+00:00Z,1.0288,1.0293,1.028,1.0293,28091.53,28899.552535,0,0,0
