# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,FLIPUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-11-23T12:00:00+00:00Z
# t0_final_iso,2023-11-23T12:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,438cb6f0ba06a67d
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-11-23T12:00:00+00:00Z,2023-11-23T13:00:00+00:00Z,0.5,3.4,0.5,2.3052,1387224.96,3541574.350972,0,0,0
2023-11-23T13:00:00+00:00Z,2023-11-23T14:00:00+00:00Z,2.3052,2.7047,2.2971,2.7,581985.62,1414236.649607,0,0,0
2023-11-23T14:00:00+00:00Z,2023-11-23T15:00:00+00:00Z,2.7,3.0378,2.5598,2.699,751711.83,2139797.62449,0,0,0
2023-11-23T15:00:00+00:00Z,2023-11-23T16:00:00+00:00Z,2.699,2.952,2.6944,2.8899,287544.39,813410.071244,0,0,0
2023-11-23T16:00:00+00:00Z,2023-11-23T17:00:00+00:00Z,2.8899,2.9679,2.8233,2.9382,156275.16,452738.825735,0,0,0
2023-11-23T17:00:00+00:00Z,2023-11-23T18:00:00+00:00Z,2.9382,3.1812,2.9236,3.1789,192787.34,593803.217188,0,0,0
2023-11-23T18:00:00+00:00Z,2023-11-23T19:00:00+00:00Z,3.1789,3.2632,3.076,3.1151,259479.72,823639.340686,0,0,0
2023-11-23T19:00:00+00:00Z,2023-11-23T20:00:00+00:00Z,3.1151,3.15,2.961,2.961,129731.89,398391.146641,0,0,0
2023-11-23T20:00:00+00:00Z,2023-11-23T21:00:00+00:00Z,2.961,3.1725,2.8947,3.0928,129779.64,395240.690032,0,0,0
2023-11-23T21:00:00+00:00Z,2023-11-23T22:00:00+00:00Z,3.0928,3.3069,3.0837,3.2421,79120.42,253244.872157,0,0,0
2023-11-23T22:00:00+00:00Z,2023-11-23T23:00:00+00:00Z,3.2421,3.5,3.242,3.3705,109047.89,371662.427886,0,0,0
2023-11-23T23:00:00+00:00Z,2023-11-24T00:00:00+00:00Z,3.3705,3.3823,3.01,3.0102,142758.93,452139.790049,0,0,0
2023-11-24T00:00:00+00:00Z,2023-11-24T01:00:00+00:00Z,3.0102,3.2705,3.01,3.1749,72557.24,229364.811416,0,0,0
2023-11-24T01:00:00+00:00Z,2023-11-24T02:00:00+00:00Z,3.1749,3.3296,3.1407,3.314,39731.71,129789.646733,0,0,0
2023-11-24T02:00:00+00:00Z,2023-11-24T03:00:00+00:00Z,3.314,3.3784,3.1897,3.2632,43298.34,142150.833391,0,0,0
2023-11-24T03:00:00+00:00Z,2023-11-24T04:00:00+00:00Z,3.2632,3.399,3.263,3.3889,69460.88,232793.359319,0,0,0
2023-11-24T04:00:00+00:00Z,2023-11-24T05:00:00+00:00Z,3.3889,3.5641,3.2686,3.564,86317.26,296609.562042,0,0,0
2023-11-24T05:00:00+00:00Z,2023-11-24T06:00:00+00:00Z,3.564,4.3,3.564,4.2786,300090.01,1190336.275436,0,0,0
2023-11-24T06:00:00+00:00Z,2023-11-24T07:00:00+00:00Z,4.2786,4.49,4.0804,4.1747,191018.66,823932.985295,0,0,0
2023-11-24T07:00:00+00:00Z,2023-11-24T08:00:00+00:00Z,4.1747,4.75,3.9,4.74,222681.75,967953.881368,0,0,0
2023-11-24T08:00:00+00:00Z,2023-11-24T09:00:00+00:00Z,4.74,4.9779,4.5772,4.7687,316658.87,1521389.893116,0,0,0
2023-11-24T09:00:00+00:00Z,2023-11-24T10:00:00+00:00Z,4.7687,5.2659,4.7376,5.1133,264002.15,1328757.870304,0,0,0
2023-11-24T10:00:00+00:00Z,2023-11-24T11:00:00+00:00Z,5.1133,5.99,5.11,5.8488,325742.14,1830817.941091,0,0,0
2023-11-24T11:00:00+00:00Z,2023-11-24T12:00:00+00:00Z,5.8488,5.85,5.0247,5.37,358711.48,1911438.987792,0,0,0
2023-11-24T12:00:00+00:00Z,2023-11-24T13:00:00+00:00Z,5.37,5.5,4.761,4.8574,227856.73,1175655.915703,0,0,0
2023-11-24T13:00:00+00:00Z,2023-11-24T14:00:00+00:00Z,4.8574,5.2399,4.5036,5.023,222435.64,1085455.366313,0,0,0
2023-11-24T14:00:00+00:00Z,2023-11-24T15:00:00+00:00Z,5.023,5.88,5.023,5.4846,220111.13,1225100.707977,0,0,0
2023-11-24T15:00:00+00:00Z,2023-11-24T16:00:00+00:00Z,5.4846,5.74,5.27,5.5658,165428.21,912444.158215,0,0,0
2023-11-24T16:00:00+00:00Z,2023-11-24T17:00:00+00:00Z,5.5658,5.9056,5.3945,5.7755,202918.6,1159800.85895,0,0,0
2023-11-24T17:00:00+00:00Z,2023-11-24T18:00:00+00:00Z,5.7755,6.1158,5.633,6.0567,160036.77,943203.920213,0,0,0
2023-11-24T18:00:00+00:00Z,2023-11-24T19:00:00+00:00Z,6.0567,6.1116,5.8,6.0023,137621.78,823120.619057,0,0,0
2023-11-24T19:00:00+00:00Z,2023-11-24T20:00:00+00:00Z,6.0023,6.041,5.4,5.53,127646.09,726771.115307,0,0,0
2023-11-24T20:00:00+00:00Z,2023-11-24T21:00:00+00:00Z,5.53,5.7996,5.3142,5.5842,114037.63,627492.154758,0,0,0
2023-11-24T21:00:00+00:00Z,2023-11-24T22:00:00+00:00Z,5.5842,5.5906,5.27,5.5906,57306.58,311051.068451,0,0,0
2023-11-24T22:00:00+00:00Z,2023-11-24T23:00:00+00:00Z,5.5906,5.82,5.3587,5.7116,82611.01,461443.44977,0,0,0
2023-11-24T23:00:00+00:00Z,2023-11-25T00:00:00+00:00Z,5.7116,6.1,5.6143,5.8518,108225.56,638964.266554,0,0,0
2023-11-25T00:00:00+00:00Z,2023-11-25T01:00:00+00:00Z,5.8518,6.1,5.8,5.9194,58207.54,346491.109232,0,0,0
2023-11-25T01:00:00+00:00Z,2023-11-25T02:00:00+00:00Z,5.9194,6.1084,5.7371,6.0611,56129.99,330666.988171,0,0,0
2023-11-25T02:00:00+00:00Z,2023-11-25T03:00:00+00:00Z,6.0611,7.0001,6.0592,6.8936,162944.28,1087524.856438,0,0,0
2023-11-25T03:00:00+00:00Z,2023-11-25T04:00:00+00:00Z,6.8936,7.0371,6.7,6.897,79323.68,543838.447517,0,0,0
