# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,MNTUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-07-17T10:00:00+00:00Z
# t0_final_iso,2023-07-17T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,2db4dbc03d7d8edf
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-07-17T10:00:00+00:00Z,2023-07-17T11:00:00+00:00Z,0.5443,0.5443,0.474,0.4806,9911258.09,4929245.916584,0,0,0
2023-07-17T11:00:00+00:00Z,2023-07-17T12:00:00+00:00Z,0.4806,0.4822,0.4778,0.4782,1466754.16,704765.365666,0,0,0
2023-07-17T12:00:00+00:00Z,2023-07-17T13:00:00+00:00Z,0.4782,0.4782,0.4688,0.4707,1196085.48,566530.239724,0,0,0
2023-07-17T13:00:00+00:00Z,2023-07-17T14:00:00+00:00Z,0.4707,0.4709,0.4673,0.4676,652728.24,306040.791807,0,0,0
2023-07-17T14:00:00+00:00Z,2023-07-17T15:00:00+00:00Z,0.4676,0.4805,0.4671,0.4805,1538368.48,728612.560404,0,0,0
2023-07-17T15:00:00+00:00Z,2023-07-17T16:00:00+00:00Z,0.4805,0.4901,0.4804,0.487,2141903.78,1037164.274735,0,0,0
2023-07-17T16:00:00+00:00Z,2023-07-17T17:00:00+00:00Z,0.487,0.4954,0.4863,0.4954,1427718.35,701310.66893,0,0,0
2023-07-17T17:00:00+00:00Z,2023-07-17T18:00:00+00:00Z,0.4954,0.4985,0.4938,0.4979,2299282.2,1141562.284209,0,0,0
2023-07-17T18:00:00+00:00Z,2023-07-17T19:00:00+00:00Z,0.4979,0.4979,0.4928,0.4938,1963672.11,972278.942477,0,0,0
2023-07-17T19:00:00+00:00Z,2023-07-17T20:00:00+00:00Z,0.4938,0.4946,0.4933,0.4945,1151230.76,568494.107294,0,0,0
2023-07-17T20:00:00+00:00Z,2023-07-17T21:00:00+00:00Z,0.4945,0.4982,0.4941,0.4969,2715665.47,1347461.836531,0,0,0
2023-07-17T21:00:00+00:00Z,2023-07-17T22:00:00+00:00Z,0.4969,0.5045,0.4969,0.5037,1249969.53,625021.14488,0,0,0
2023-07-17T22:00:00+00:00Z,2023-07-17T23:00:00+00:00Z,0.5037,0.5078,0.5036,0.5073,720805.19,364821.240472,0,0,0
2023-07-17T23:00:00+00:00Z,2023-07-18T00:00:00+00:00Z,0.5073,0.51,0.5072,0.5099,664287.68,337718.806339,0,0,0
2023-07-18T00:00:00+00:00Z,2023-07-18T01:00:00+00:00Z,0.5099,0.511,0.5088,0.51,993630.7,506785.807789,0,0,0
2023-07-18T01:00:00+00:00Z,2023-07-18T02:00:00+00:00Z,0.51,0.5145,0.5096,0.5144,833068.06,426590.385173,0,0,0
2023-07-18T02:00:00+00:00Z,2023-07-18T03:00:00+00:00Z,0.5144,0.5163,0.514,0.5149,849824.94,437613.842667,0,0,0
2023-07-18T03:00:00+00:00Z,2023-07-18T04:00:00+00:00Z,0.5149,0.518,0.5149,0.5167,1118980.81,578092.415292,0,0,0
2023-07-18T04:00:00+00:00Z,2023-07-18T05:00:00+00:00Z,0.5167,0.5188,0.5166,0.5182,1244369.18,644406.927931,0,0,0
2023-07-18T05:00:00+00:00Z,2023-07-18T06:00:00+00:00Z,0.5182,0.5205,0.5181,0.5203,1248528.47,648217.063696,0,0,0
2023-07-18T06:00:00+00:00Z,2023-07-18T07:00:00+00:00Z,0.5203,0.5203,0.5118,0.5119,1795402.54,928511.53286,0,0,0
2023-07-18T07:00:00+00:00Z,2023-07-18T08:00:00+00:00Z,0.5119,0.5127,0.5082,0.5127,2162919.85,1104963.59248,0,0,0
2023-07-18T08:00:00+00:00Z,2023-07-18T09:00:00+00:00Z,0.5127,0.52,0.5126,0.5181,1556788.51,803799.057614,0,0,0
2023-07-18T09:00:00+00:00Z,2023-07-18T10:00:00+00:00Z,0.5181,0.5192,0.5172,0.5179,1353130.76,701243.926832,0,0,0
2023-07-18T10:00:00+00:00Z,2023-07-18T11:00:00+00:00Z,0.5179,0.5188,0.5172,0.518,1454825.38,753606.340096,0,0,0
2023-07-18T11:00:00+00:00Z,2023-07-18T12:00:00+00:00Z,0.518,0.5188,0.5172,0.5176,1018411.69,527520.182056,0,0,0
2023-07-18T12:00:00+00:00Z,2023-07-18T13:00:00+00:00Z,0.5176,0.5177,0.513,0.5132,1765827.49,908436.234307,0,0,0
2023-07-18T13:00:00+00:00Z,2023-07-18T14:00:00+00:00Z,0.5132,0.514,0.5117,0.5126,1519743.16,779142.820257,0,0,0
2023-07-18T14:00:00+00:00Z,2023-07-18T15:00:00+00:00Z,0.5126,0.515,0.5088,0.5088,1790155.47,916894.67379,0,0,0
2023-07-18T15:00:00+00:00Z,2023-07-18T16:00:00+00:00Z,0.5088,0.5091,0.5058,0.5058,1469940.57,746033.61771,0,0,0
2023-07-18T16:00:00+00:00Z,2023-07-18T17:00:00+00:00Z,0.5058,0.52,0.5058,0.519,1764039.73,908398.119612,0,0,0
2023-07-18T17:00:00+00:00Z,2023-07-18T18:00:00+00:00Z,0.519,0.5215,0.5183,0.5205,1290977.42,671450.874312,0,0,0
2023-07-18T18:00:00+00:00Z,2023-07-18T19:00:00+00:00Z,0.5205,0.524,0.5204,0.5238,978390.0,511671.740642,0,0,0
2023-07-18T19:00:00+00:00Z,2023-07-18T20:00:00+00:00Z,0.5238,0.5273,0.5237,0.5262,788147.16,414083.375957,0,0,0
2023-07-18T20:00:00+00:00Z,2023-07-18T21:00:00+00:00Z,0.5262,0.5283,0.5262,0.5283,703565.01,371013.08502,0,0,0
2023-07-18T21:00:00+00:00Z,2023-07-18T22:00:00+00:00Z,0.5283,0.5345,0.5282,0.5345,748857.28,398048.31073,0,0,0
2023-07-18T22:00:00+00:00Z,2023-07-18T23:00:00+00:00Z,0.5345,0.5387,0.5334,0.5347,592896.92,317458.334664,0,0,0
2023-07-18T23:00:00+00:00Z,2023-07-19T00:00:00+00:00Z,0.5347,0.5398,0.5346,0.5393,699641.03,376000.238327,0,0,0
2023-07-19T00:00:00+00:00Z,2023-07-19T01:00:00+00:00Z,0.5393,0.545,0.5391,0.5424,1153659.15,626424.897574,0,0,0
2023-07-19T01:00:00+00:00Z,2023-07-19T02:00:00+00:00Z,0.5424,0.548,0.5412,0.5457,1149330.81,626069.308404,0,0,0
2023-07-19T02:00:00+00:00Z,2023-07-19T03:00:00+00:00Z,0.5457,0.5464,0.5394,0.5397,1208923.55,656399.078029,0,0,0
2023-07-19T03:00:00+00:00Z,2023-07-19T04:00:00+00:00Z,0.5397,0.5428,0.5382,0.5424,979613.95,528911.133252,0,0,0
2023-07-19T04:00:00+00:00Z,2023-07-19T05:00:00+00:00Z,0.5424,0.5533,0.5423,0.5511,1088332.88,596432.607906,0,0,0
2023-07-19T05:00:00+00:00Z,2023-07-19T06:00:00+00:00Z,0.5511,0.5548,0.5484,0.5544,1037606.06,572334.728375,0,0,0
2023-07-19T06:00:00+00:00Z,2023-07-19T07:00:00+00:00Z,0.5544,0.5564,0.5527,0.553,970449.88,538017.560569,0,0,0
2023-07-19T07:00:00+00:00Z,2023-07-19T08:00:00+00:00Z,0.553,0.5538,0.5524,0.5525,1002061.68,554052.167687,0,0,0
2023-07-19T08:00:00+00:00Z,2023-07-19T09:00:00+00:00Z,0.5525,0.5532,0.552,0.5528,1040583.02,575172.351569,0,0,0
2023-07-19T09:00:00+00:00Z,2023-07-19T10:00:00+00:00Z,0.5528,0.5593,0.5514,0.5593,1242864.77,689347.860292,0,0,0
2023-07-19T10:00:00+00:00Z,2023-07-19T11:00:00+00:00Z,0.5593,0.5679,0.5593,0.5677,1492050.77,839795.356022,0,0,0
2023-07-19T11:00:00+00:00Z,2023-07-19T12:00:00+00:00Z,0.5677,0.5809,0.5676,0.5808,1459879.3,839263.908107,0,0,0
2023-07-19T12:00:00+00:00Z,2023-07-19T13:00:00+00:00Z,0.5808,0.5844,0.58,0.5817,1177042.88,684944.370949,0,0,0
2023-07-19T13:00:00+00:00Z,2023-07-19T14:00:00+00:00Z,0.5817,0.6,0.5817,0.5919,1859843.47,1094067.690926,0,0,0
2023-07-19T14:00:00+00:00Z,2023-07-19T15:00:00+00:00Z,0.5919,0.5943,0.5874,0.5888,2276038.66,1346917.963208,0,0,0
2023-07-19T15:00:00+00:00Z,2023-07-19T16:00:00+00:00Z,0.5888,0.5889,0.5765,0.5833,2684079.98,1560734.154087,0,0,0
2023-07-19T16:00:00+00:00Z,2023-07-19T17:00:00+00:00Z,0.5833,0.5883,0.5826,0.5882,1061656.91,621400.427557,0,0,0
2023-07-19T17:00:00+00:00Z,2023-07-19T18:00:00+00:00Z,0.5882,0.59,0.5863,0.5864,1166310.33,686260.003364,0,0,0
