# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,LADYSUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2023-05-11T10:00:00+00:00Z
# t0_final_iso,2023-05-11T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,c66beb05030e38ae
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-05-11T10:00:00+00:00Z,2023-05-11T11:00:00+00:00Z,1e-07,2.996e-07,1e-07,1.534e-07,7417642147210.4,1246995.1637536047,0,0,0
2023-05-11T11:00:00+00:00Z,2023-05-11T12:00:00+00:00Z,1.534e-07,1.539e-07,1.042e-07,1.293e-07,2658889231617.6,335029.27774866374,0,0,0
2023-05-11T12:00:00+00:00Z,2023-05-11T13:00:00+00:00Z,1.293e-07,1.572e-07,1.136e-07,1.461e-07,2596530426548.5,361308.234288407,0,0,0
2023-05-11T13:00:00+00:00Z,2023-05-11T14:00:00+00:00Z,1.461e-07,1.626e-07,1.295e-07,1.484e-07,5121528337615.5,754087.4765486178,0,0,0
2023-05-11T14:00:00+00:00Z,2023-05-11T15:00:00+00:00Z,1.484e-07,1.487e-07,1.126e-07,1.182e-07,4872525172185.2,616181.3724204584,0,0,0
2023-05-11T15:00:00+00:00Z,2023-05-11T16:00:00+00:00Z,1.182e-07,1.455e-07,1.158e-07,1.247e-07,3071244475613.3,402553.26886845886,0,0,0
2023-05-11T16:00:00+00:00Z,2023-05-11T17:00:00+00:00Z,1.247e-07,1.339e-07,1.134e-07,1.28e-07,1567238711222.7,192885.00810348953,0,0,0
2023-05-11T17:00:00+00:00Z,2023-05-11T18:00:00+00:00Z,1.28e-07,1.281e-07,9.11e-08,9.51e-08,2715661992535.8,292670.97063624964,0,0,0
2023-05-11T18:00:00+00:00Z,2023-05-11T19:00:00+00:00Z,9.51e-08,1.005e-07,7.31e-08,8.49e-08,3581794964874.7,302188.6101680187,0,0,0
2023-05-11T19:00:00+00:00Z,2023-05-11T20:00:00+00:00Z,8.49e-08,9.86e-08,7.84e-08,8.54e-08,2271226974075.4,199169.8774874678,0,0,0
2023-05-11T20:00:00+00:00Z,2023-05-11T21:00:00+00:00Z,8.54e-08,1.15e-07,8.54e-08,1.135e-07,2175284586877.7,219975.9312385382,0,0,0
2023-05-11T21:00:00+00:00Z,2023-05-11T22:00:00+00:00Z,1.135e-07,1.136e-07,9.44e-08,1e-07,1553567905119.3,162679.4426253933,0,0,0
2023-05-11T22:00:00+00:00Z,2023-05-11T23:00:00+00:00Z,1e-07,1.044e-07,8.41e-08,9.08e-08,1385939100546.2,126828.55453602521,0,0,0
2023-05-11T23:00:00+00:00Z,2023-05-12T00:00:00+00:00Z,9.08e-08,9.08e-08,7.95e-08,8.36e-08,798581645770.5,66992.80098436297,0,0,0
2023-05-12T00:00:00+00:00Z,2023-05-12T01:00:00+00:00Z,8.36e-08,9.17e-08,7.57e-08,8.46e-08,1772334003910.1,149522.47252751802,0,0,0
2023-05-12T01:00:00+00:00Z,2023-05-12T02:00:00+00:00Z,8.46e-08,1.012e-07,8.34e-08,9.13e-08,1027943312152.8,95595.94390490721,0,0,0
2023-05-12T02:00:00+00:00Z,2023-05-12T03:00:00+00:00Z,9.13e-08,9.26e-08,6.63e-08,7.03e-08,2752994294641.9,222132.28732555002,0,0,0
2023-05-12T03:00:00+00:00Z,2023-05-12T04:00:00+00:00Z,7.03e-08,7.33e-08,5e-08,5.03e-08,4480077016932.0,277665.4538172047,0,0,0
2023-05-12T04:00:00+00:00Z,2023-05-12T05:00:00+00:00Z,5.03e-08,6.42e-08,4.26e-08,4.59e-08,3977387677922.5,205269.81314990166,0,0,0
2023-05-12T05:00:00+00:00Z,2023-05-12T06:00:00+00:00Z,4.59e-08,5.92e-08,4.07e-08,5.23e-08,4195951058554.7,216686.01764886288,0,0,0
2023-05-12T06:00:00+00:00Z,2023-05-12T07:00:00+00:00Z,5.23e-08,6.4e-08,4.79e-08,5.63e-08,5560170023975.6,322976.08210605115,0,0,0
2023-05-12T07:00:00+00:00Z,2023-05-12T08:00:00+00:00Z,5.63e-08,7.81e-08,5.38e-08,7.04e-08,7697376270818.0,517442.7234810994,0,0,0
2023-05-12T08:00:00+00:00Z,2023-05-12T09:00:00+00:00Z,7.04e-08,7.6e-08,5.99e-08,6.33e-08,5422582948341.4,363537.8614781837,0,0,0
2023-05-12T09:00:00+00:00Z,2023-05-12T10:00:00+00:00Z,6.33e-08,6.75e-08,5.67e-08,6.36e-08,2369347474426.8,147079.20882867224,0,0,0
