# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,BCUTUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2024-02-20T13:00:00+00:00Z
# t0_final_iso,2024-02-20T13:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,22a2e3d6e96a11e3
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-02-20T13:00:00+00:00Z,2024-02-20T14:00:00+00:00Z,0.08,0.54106,0.08,0.383,14041477.53,5349574.9359655,0,0,0
2024-02-20T14:00:00+00:00Z,2024-02-20T15:00:00+00:00Z,0.383,0.40399,0.3079,0.37498,5870118.65,2066805.3437201,0,0,0
2024-02-20T15:00:00+00:00Z,2024-02-20T16:00:00+00:00Z,0.37498,0.4776,0.31988,0.43884,9055026.86,3571455.773312,0,0,0
2024-02-20T16:00:00+00:00Z,2024-02-20T17:00:00+00:00Z,0.43884,0.51606,0.42,0.43413,8434660.92,3897901.2793437,0,0,0
2024-02-20T17:00:00+00:00Z,2024-02-20T18:00:00+00:00Z,0.43413,0.4736,0.41754,0.4187,1741984.44,771733.7166989,0,0,0
2024-02-20T18:00:00+00:00Z,2024-02-20T19:00:00+00:00Z,0.4187,0.4744,0.41,0.4215,2629333.91,1150399.3066745,0,0,0
2024-02-20T19:00:00+00:00Z,2024-02-20T20:00:00+00:00Z,0.4215,0.42494,0.36201,0.379,4083924.82,1577472.1192062,0,0,0
2024-02-20T20:00:00+00:00Z,2024-02-20T21:00:00+00:00Z,0.379,0.40834,0.379,0.38325,1066134.63,419562.486903,0,0,0
2024-02-20T21:00:00+00:00Z,2024-02-20T22:00:00+00:00Z,0.38325,0.38807,0.36626,0.37624,467256.93,175307.035693,0,0,0
2024-02-20T22:00:00+00:00Z,2024-02-20T23:00:00+00:00Z,0.37624,0.40312,0.37447,0.40312,605860.26,235265.4928493,0,0,0
2024-02-20T23:00:00+00:00Z,2024-02-21T00:00:00+00:00Z,0.40312,0.42,0.3768,0.37999,1078471.14,432594.9831508,0,0,0
2024-02-21T00:00:00+00:00Z,2024-02-21T01:00:00+00:00Z,0.37999,0.40353,0.37965,0.39138,473706.71,186534.8618093,0,0,0
2024-02-21T01:00:00+00:00Z,2024-02-21T02:00:00+00:00Z,0.39138,0.39138,0.3701,0.3713,241312.71,91283.6549691,0,0,0
2024-02-21T02:00:00+00:00Z,2024-02-21T03:00:00+00:00Z,0.3713,0.39947,0.3713,0.39723,382955.64,147854.2236645,0,0,0
2024-02-21T03:00:00+00:00Z,2024-02-21T04:00:00+00:00Z,0.39723,0.41985,0.392,0.4021,408770.16,166598.4493247,0,0,0
2024-02-21T04:00:00+00:00Z,2024-02-21T05:00:00+00:00Z,0.4021,0.425,0.39473,0.4249,607384.67,252412.4101678,0,0,0
2024-02-21T05:00:00+00:00Z,2024-02-21T06:00:00+00:00Z,0.4249,0.425,0.4,0.404,431828.93,176650.4776605,0,0,0
2024-02-21T06:00:00+00:00Z,2024-02-21T07:00:00+00:00Z,0.404,0.425,0.404,0.41683,305550.71,127349.6661325,0,0,0
2024-02-21T07:00:00+00:00Z,2024-02-21T08:00:00+00:00Z,0.41683,0.41745,0.38271,0.38595,592399.15,233886.7625643,0,0,0
2024-02-21T08:00:00+00:00Z,2024-02-21T09:00:00+00:00Z,0.38595,0.4,0.38438,0.395,321753.45,127187.9131838,0,0,0
2024-02-21T09:00:00+00:00Z,2024-02-21T10:00:00+00:00Z,0.395,0.3971,0.37363,0.37475,460516.0,176944.6705732,0,0,0
2024-02-21T10:00:00+00:00Z,2024-02-21T11:00:00+00:00Z,0.37475,0.378,0.35972,0.367,975293.19,358094.5001746,0,0,0
2024-02-21T11:00:00+00:00Z,2024-02-21T12:00:00+00:00Z,0.367,0.37579,0.34,0.34,1307104.81,464529.3789376,0,0,0
2024-02-21T12:00:00+00:00Z,2024-02-21T13:00:00+00:00Z,0.34,0.36637,0.34,0.35828,1005640.16,354681.4716205,0,0,0
2024-02-21T13:00:00+00:00Z,2024-02-21T14:00:00+00:00Z,0.35828,0.36986,0.34286,0.35161,863690.76,306043.0593804,0,0,0
2024-02-21T14:00:00+00:00Z,2024-02-21T15:00:00+00:00Z,0.35161,0.3526,0.31,0.32203,1474908.2,484970.1095866,0,0,0
2024-02-21T15:00:00+00:00Z,2024-02-21T16:00:00+00:00Z,0.32203,0.33705,0.30964,0.32705,897151.24,287305.0671268,0,0,0
2024-02-21T16:00:00+00:00Z,2024-02-21T17:00:00+00:00Z,0.32705,0.34184,0.3258,0.34184,288770.31,95997.7806309,0,0,0
2024-02-21T17:00:00+00:00Z,2024-02-21T18:00:00+00:00Z,0.34184,0.34594,0.33042,0.33298,205734.97,69552.9024184,0,0,0
2024-02-21T18:00:00+00:00Z,2024-02-21T19:00:00+00:00Z,0.33298,0.33373,0.32,0.32078,299779.46,97614.2894773,0,0,0
2024-02-21T19:00:00+00:00Z,2024-02-21T20:00:00+00:00Z,0.32078,0.32161,0.31432,0.31676,213840.69,67859.3781906,0,0,0
2024-02-21T20:00:00+00:00Z,2024-02-21T21:00:00+00:00Z,0.31676,0.3242,0.31536,0.3239,158887.2,50758.4814173,0,0,0
2024-02-21T21:00:00+00:00Z,2024-02-21T22:00:00+00:00Z,0.3239,0.32638,0.29097,0.29604,1086636.91,331878.58637,0,0,0
2024-02-21T22:00:00+00:00Z,2024-02-21T23:00:00+00:00Z,0.29604,0.29776,0.286,0.29018,310941.08,90173.566874,0,0,0
2024-02-21T23:00:00+00:00Z,2024-02-22T00:00:00+00:00Z,0.29018,0.29259,0.28,0.28418,389367.09,111884.5447261,0,0,0
2024-02-22T00:00:00+00:00Z,2024-02-22T01:00:00+00:00Z,0.28418,0.29483,0.28229,0.29113,273621.56,79029.4523622,0,0,0
2024-02-22T01:00:00+00:00Z,2024-02-22T02:00:00+00:00Z,0.29113,0.29747,0.2864,0.2961,194384.55,56847.6952966,0,0,0
2024-02-22T02:00:00+00:00Z,2024-02-22T03:00:00+00:00Z,0.2961,0.30811,0.2961,0.30561,182624.04,55202.4355128,0,0,0
2024-02-22T03:00:00+00:00Z,2024-02-22T04:00:00+00:00Z,0.30561,0.31181,0.30561,0.30811,82728.3,25634.7294819,0,0,0
2024-02-22T04:00:00+00:00Z,2024-02-22T05:00:00+00:00Z,0.30811,0.3095,0.30509,0.30878,73664.99,22618.6995026,0,0,0
2024-02-22T05:00:00+00:00Z,2024-02-22T06:00:00+00:00Z,0.30878,0.327,0.3081,0.32512,290035.71,92752.6304806,0,0,0
2024-02-22T06:00:00+00:00Z,2024-02-22T07:00:00+00:00Z,0.32512,0.33,0.32512,0.32825,406305.8,133820.5045783,0,0,0
2024-02-22T07:00:00+00:00Z,2024-02-22T08:00:00+00:00Z,0.32825,0.34734,0.32825,0.34734,427516.11,143663.3236117,0,0,0
2024-02-22T08:00:00+00:00Z,2024-02-22T09:00:00+00:00Z,0.34734,0.34949,0.33479,0.33479,612697.49,209572.933424,0,0,0
2024-02-22T09:00:00+00:00Z,2024-02-22T10:00:00+00:00Z,0.33479,0.33528,0.32322,0.32322,213830.23,70825.0479268,0,0,0
2024-02-22T10:00:00+00:00Z,2024-02-22T11:00:00+00:00Z,0.32322,0.32394,0.31429,0.31456,209684.43,67049.8562746,0,0,0
2024-02-22T11:00:00+00:00Z,2024-02-22T12:00:00+00:00Z,0.31456,0.32393,0.31398,0.32291,211686.44,67616.1681246,0,0,0
2024-02-22T12:00:00+00:00Z,2024-02-22T13:00:00+00:00Z,0.32291,0.33373,0.3197,0.32778,366445.16,119849.2416867,0,0,0
