# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,L3USDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-07-30T10:00:00+00:00Z
# t0_final_iso,2024-07-30T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,12282d7a8586cba5
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-07-30T10:00:00+00:00Z,2024-07-30T11:00:00+00:00Z,0.015,0.17,0.015,0.0997,86003902.0,8235808.018825,0,0,0
2024-07-30T11:00:00+00:00Z,2024-07-30T12:00:00+00:00Z,0.0997,0.102,0.09254,0.09776,23560355.0,2293240.87162,0,0,0
2024-07-30T12:00:00+00:00Z,2024-07-30T13:00:00+00:00Z,0.09776,0.105,0.0965,0.10258,18657437.3,1870873.333318,0,0,0
2024-07-30T13:00:00+00:00Z,2024-07-30T14:00:00+00:00Z,0.10258,0.1174,0.099,0.11716,27848597.5,3012550.581193,0,0,0
2024-07-30T14:00:00+00:00Z,2024-07-30T15:00:00+00:00Z,0.11716,0.12459,0.10839,0.11226,42610310.3,5014277.355842,0,0,0
2024-07-30T15:00:00+00:00Z,2024-07-30T16:00:00+00:00Z,0.11226,0.11323,0.1012,0.10597,29939783.5,3192371.968337,0,0,0
2024-07-30T16:00:00+00:00Z,2024-07-30T17:00:00+00:00Z,0.10597,0.11254,0.10201,0.11191,10815693.9,1153272.133983,0,0,0
2024-07-30T17:00:00+00:00Z,2024-07-30T18:00:00+00:00Z,0.11191,0.11282,0.10075,0.10363,12676979.1,1334919.020964,0,0,0
2024-07-30T18:00:00+00:00Z,2024-07-30T19:00:00+00:00Z,0.10363,0.10389,0.10001,0.10145,5984560.0,603756.465127,0,0,0
2024-07-30T19:00:00+00:00Z,2024-07-30T20:00:00+00:00Z,0.10145,0.1025,0.1,0.10006,4774445.3,479414.76093,0,0,0
2024-07-30T20:00:00+00:00Z,2024-07-30T21:00:00+00:00Z,0.10006,0.10043,0.09205,0.0978,12850496.4,1233279.351129,0,0,0
2024-07-30T21:00:00+00:00Z,2024-07-30T22:00:00+00:00Z,0.0978,0.10523,0.09674,0.10028,9095658.5,916062.220959,0,0,0
2024-07-30T22:00:00+00:00Z,2024-07-30T23:00:00+00:00Z,0.10028,0.10122,0.09615,0.09709,4172658.6,410313.36225,0,0,0
2024-07-30T23:00:00+00:00Z,2024-07-31T00:00:00+00:00Z,0.09709,0.10133,0.09561,0.09581,6116884.3,599722.53581,0,0,0
2024-07-31T00:00:00+00:00Z,2024-07-31T01:00:00+00:00Z,0.09581,0.09622,0.0901,0.09601,5362396.6,497775.073596,0,0,0
2024-07-31T01:00:00+00:00Z,2024-07-31T02:00:00+00:00Z,0.09601,0.09699,0.09111,0.09286,2627199.1,248119.813836,0,0,0
2024-07-31T02:00:00+00:00Z,2024-07-31T03:00:00+00:00Z,0.09286,0.09306,0.0902,0.09138,3145382.1,287975.048163,0,0,0
2024-07-31T03:00:00+00:00Z,2024-07-31T04:00:00+00:00Z,0.09138,0.09456,0.0908,0.09431,2685127.1,250370.061839,0,0,0
2024-07-31T04:00:00+00:00Z,2024-07-31T05:00:00+00:00Z,0.09431,0.09693,0.092,0.09273,3452498.0,327553.189989,0,0,0
2024-07-31T05:00:00+00:00Z,2024-07-31T06:00:00+00:00Z,0.09273,0.09383,0.09033,0.09033,5465855.1,499745.632076,0,0,0
2024-07-31T06:00:00+00:00Z,2024-07-31T07:00:00+00:00Z,0.09033,0.09151,0.0867,0.08671,5682184.3,507312.762699,0,0,0
2024-07-31T07:00:00+00:00Z,2024-07-31T08:00:00+00:00Z,0.08671,0.09247,0.08671,0.08872,6318676.8,566663.680318,0,0,0
2024-07-31T08:00:00+00:00Z,2024-07-31T09:00:00+00:00Z,0.08872,0.08988,0.0865,0.087,4240583.8,372185.720689,0,0,0
2024-07-31T09:00:00+00:00Z,2024-07-31T10:00:00+00:00Z,0.087,0.10109,0.08531,0.09834,13232163.8,1244837.807897,0,0,0
2024-07-31T10:00:00+00:00Z,2024-07-31T11:00:00+00:00Z,0.09834,0.105,0.09578,0.10255,19816195.8,1999398.907328,0,0,0
2024-07-31T11:00:00+00:00Z,2024-07-31T12:00:00+00:00Z,0.10255,0.10383,0.09311,0.09451,13499034.7,1348176.849359,0,0,0
2024-07-31T12:00:00+00:00Z,2024-07-31T13:00:00+00:00Z,0.09451,0.097,0.091,0.09585,11623446.6,1093998.873095,0,0,0
2024-07-31T13:00:00+00:00Z,2024-07-31T14:00:00+00:00Z,0.09585,0.09588,0.09182,0.0923,5413867.7,509444.960238,0,0,0
2024-07-31T14:00:00+00:00Z,2024-07-31T15:00:00+00:00Z,0.0923,0.09324,0.09031,0.09099,6355944.4,583713.586954,0,0,0
2024-07-31T15:00:00+00:00Z,2024-07-31T16:00:00+00:00Z,0.09099,0.0927,0.09,0.09049,8407297.0,764441.747855,0,0,0
2024-07-31T16:00:00+00:00Z,2024-07-31T17:00:00+00:00Z,0.09049,0.09123,0.08712,0.09072,12051080.0,1077921.196942,0,0,0
2024-07-31T17:00:00+00:00Z,2024-07-31T18:00:00+00:00Z,0.09072,0.09102,0.0872,0.08758,4733460.0,420736.233473,0,0,0
2024-07-31T18:00:00+00:00Z,2024-07-31T19:00:00+00:00Z,0.08758,0.0893,0.08639,0.08819,4018089.0,352071.230543,0,0,0
2024-07-31T19:00:00+00:00Z,2024-07-31T20:00:00+00:00Z,0.08819,0.08859,0.08682,0.08712,1891754.4,165842.623884,0,0,0
2024-07-31T20:00:00+00:00Z,2024-07-31T21:00:00+00:00Z,0.08712,0.08975,0.0856,0.08818,4454684.4,392346.140434,0,0,0
2024-07-31T21:00:00+00:00Z,2024-07-31T22:00:00+00:00Z,0.08818,0.08839,0.0871,0.08829,1649697.9,144678.58142,0,0,0
2024-07-31T22:00:00+00:00Z,2024-07-31T23:00:00+00:00Z,0.08829,0.08987,0.08737,0.08813,2643319.6,234463.53573,0,0,0
2024-07-31T23:00:00+00:00Z,2024-08-01T00:00:00+00:00Z,0.08813,0.08846,0.08473,0.08489,2844244.7,245600.743113,0,0,0
2024-08-01T00:00:00+00:00Z,2024-08-01T01:00:00+00:00Z,0.08489,0.08496,0.07899,0.0798,6601901.0,535346.167755,0,0,0
2024-08-01T01:00:00+00:00Z,2024-08-01T02:00:00+00:00Z,0.0798,0.0816,0.07912,0.08026,3412379.5,274022.590406,0,0,0
2024-08-01T02:00:00+00:00Z,2024-08-01T03:00:00+00:00Z,0.08026,0.08206,0.07938,0.08034,3846391.9,310282.947746,0,0,0
2024-08-01T03:00:00+00:00Z,2024-08-01T04:00:00+00:00Z,0.08034,0.08117,0.08,0.08035,1683216.1,135476.829218,0,0,0
2024-08-01T04:00:00+00:00Z,2024-08-01T05:00:00+00:00Z,0.08035,0.08312,0.08,0.08007,5371831.3,434680.917167,0,0,0
2024-08-01T05:00:00+00:00Z,2024-08-01T06:00:00+00:00Z,0.08007,0.08024,0.07609,0.07891,7940108.3,619643.623427,0,0,0
2024-08-01T06:00:00+00:00Z,2024-08-01T07:00:00+00:00Z,0.07891,0.08268,0.07706,0.08005,5313689.1,424009.483818,0,0,0
2024-08-01T07:00:00+00:00Z,2024-08-01T08:00:00+00:00Z,0.08005,0.08028,0.07777,0.07864,2936751.4,231597.845013,0,0,0
2024-08-01T08:00:00+00:00Z,2024-08-01T09:00:00+00:00Z,0.07864,0.08192,0.07779,0.08086,4583426.8,364893.265147,0,0,0
2024-08-01T09:00:00+00:00Z,2024-08-01T10:00:00+00:00Z,0.08086,0.08561,0.07885,0.083,4814404.6,395461.980563,0,0,0
2024-08-01T10:00:00+00:00Z,2024-08-01T11:00:00+00:00Z,0.083,0.085,0.07992,0.08349,4301462.0,355327.955618,0,0,0
2024-08-01T11:00:00+00:00Z,2024-08-01T12:00:00+00:00Z,0.08349,0.08447,0.08031,0.082,3425382.2,282205.563496,0,0,0
2024-08-01T12:00:00+00:00Z,2024-08-01T13:00:00+00:00Z,0.082,0.08359,0.08108,0.083,3914578.2,321794.997873,0,0,0
2024-08-01T13:00:00+00:00Z,2024-08-01T14:00:00+00:00Z,0.083,0.0836,0.08077,0.08242,2690365.6,220829.480196,0,0,0
2024-08-01T14:00:00+00:00Z,2024-08-01T15:00:00+00:00Z,0.08242,0.08312,0.07748,0.08012,6807055.4,546238.647319,0,0,0
2024-08-01T15:00:00+00:00Z,2024-08-01T16:00:00+00:00Z,0.08012,0.08136,0.07862,0.0793,3414125.0,272046.605308,0,0,0
2024-08-01T16:00:00+00:00Z,2024-08-01T17:00:00+00:00Z,0.0793,0.08043,0.07879,0.07957,4570370.8,364299.016057,0,0,0
2024-08-01T17:00:00+00:00Z,2024-08-01T18:00:00+00:00Z,0.07957,0.07995,0.07834,0.07939,2943226.9,232862.978266,0,0,0
2024-08-01T18:00:00+00:00Z,2024-08-01T19:00:00+00:00Z,0.07939,0.0806,0.07877,0.07916,3588560.6,285688.779914,0,0,0
2024-08-01T19:00:00+00:00Z,2024-08-01T20:00:00+00:00Z,0.07916,0.08249,0.07895,0.08135,3314307.0,267788.629081,0,0,0
2024-08-01T20:00:00+00:00Z,2024-08-01T21:00:00+00:00Z,0.08135,0.08358,0.08125,0.08161,2106921.6,173132.244384,0,0,0
2024-08-01T21:00:00+00:00Z,2024-08-01T22:00:00+00:00Z,0.08161,0.08162,0.07852,0.07884,2965525.1,236569.112929,0,0,0
2024-08-01T22:00:00+00:00Z,2024-08-01T23:00:00+00:00Z,0.07884,0.08214,0.07884,0.0804,1399204.3,112795.663334,0,0,0
2024-08-01T23:00:00+00:00Z,2024-08-02T00:00:00+00:00Z,0.0804,0.08129,0.07806,0.07806,2168743.6,173999.872598,0,0,0
