# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,BBUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2024-05-13T10:00:00+00:00Z
# t0_final_iso,2024-05-13T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,c48b3e7eaf7f1f08
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2024-05-13T10:00:00+00:00Z,2024-05-13T11:00:00+00:00Z,0.5,1.5279,0.3751,0.4935,3445352.47,1759333.433425,0,0,0
2024-05-13T11:00:00+00:00Z,2024-05-13T12:00:00+00:00Z,0.4935,0.69,0.4836,0.5585,1711352.36,979806.29115,0,0,0
2024-05-13T12:00:00+00:00Z,2024-05-13T13:00:00+00:00Z,0.5585,0.5882,0.5014,0.5123,644501.02,358299.294301,0,0,0
2024-05-13T13:00:00+00:00Z,2024-05-13T14:00:00+00:00Z,0.5123,0.5248,0.4574,0.4863,653721.41,321836.183472,0,0,0
2024-05-13T14:00:00+00:00Z,2024-05-13T15:00:00+00:00Z,0.4863,0.5126,0.4625,0.4871,536235.49,259283.812616,0,0,0
2024-05-13T15:00:00+00:00Z,2024-05-13T16:00:00+00:00Z,0.4871,0.5084,0.4753,0.4913,523987.12,258256.626007,0,0,0
2024-05-13T16:00:00+00:00Z,2024-05-13T17:00:00+00:00Z,0.4913,0.492,0.4169,0.4409,579887.99,266055.178476,0,0,0
2024-05-13T17:00:00+00:00Z,2024-05-13T18:00:00+00:00Z,0.4409,0.45,0.4266,0.4398,474805.71,207817.038915,0,0,0
2024-05-13T18:00:00+00:00Z,2024-05-13T19:00:00+00:00Z,0.4398,0.4492,0.4151,0.4353,620412.51,265842.980103,0,0,0
2024-05-13T19:00:00+00:00Z,2024-05-13T20:00:00+00:00Z,0.4353,0.4399,0.4251,0.4331,443195.05,192314.745519,0,0,0
2024-05-13T20:00:00+00:00Z,2024-05-13T21:00:00+00:00Z,0.4331,0.4377,0.4204,0.4217,357813.25,153815.227408,0,0,0
2024-05-13T21:00:00+00:00Z,2024-05-13T22:00:00+00:00Z,0.4217,0.4271,0.4084,0.4172,461386.2,192219.628164,0,0,0
2024-05-13T22:00:00+00:00Z,2024-05-13T23:00:00+00:00Z,0.4172,0.4322,0.414,0.4257,386757.62,163219.432894,0,0,0
2024-05-13T23:00:00+00:00Z,2024-05-14T00:00:00+00:00Z,0.4257,0.4592,0.416,0.4541,762226.57,336723.085964,0,0,0
2024-05-14T00:00:00+00:00Z,2024-05-14T01:00:00+00:00Z,0.4541,0.487,0.4365,0.4609,931264.55,424347.732437,0,0,0
2024-05-14T01:00:00+00:00Z,2024-05-14T02:00:00+00:00Z,0.4609,0.4609,0.416,0.433,1041559.03,458355.518592,0,0,0
2024-05-14T02:00:00+00:00Z,2024-05-14T03:00:00+00:00Z,0.433,0.4399,0.4164,0.4264,704233.17,303545.077377,0,0,0
2024-05-14T03:00:00+00:00Z,2024-05-14T04:00:00+00:00Z,0.4264,0.4306,0.4219,0.4262,329903.25,140728.449116,0,0,0
2024-05-14T04:00:00+00:00Z,2024-05-14T05:00:00+00:00Z,0.4262,0.4314,0.42,0.4277,192013.55,81802.341821,0,0,0
2024-05-14T05:00:00+00:00Z,2024-05-14T06:00:00+00:00Z,0.4277,0.53,0.4169,0.4989,801027.51,357381.992038,0,0,0
2024-05-14T06:00:00+00:00Z,2024-05-14T07:00:00+00:00Z,0.4989,0.4989,0.425,0.449,735489.02,328083.762277,0,0,0
2024-05-14T07:00:00+00:00Z,2024-05-14T08:00:00+00:00Z,0.449,0.4518,0.4338,0.4377,344448.44,152020.066761,0,0,0
2024-05-14T08:00:00+00:00Z,2024-05-14T09:00:00+00:00Z,0.4377,0.4405,0.425,0.4365,329780.63,143252.262214,0,0,0
2024-05-14T09:00:00+00:00Z,2024-05-14T10:00:00+00:00Z,0.4365,0.4365,0.4214,0.4217,324149.8,139182.15199,0,0,0
2024-05-14T10:00:00+00:00Z,2024-05-14T11:00:00+00:00Z,0.4217,0.4248,0.3841,0.3941,1281310.81,521400.599138,0,0,0
2024-05-14T11:00:00+00:00Z,2024-05-14T12:00:00+00:00Z,0.3941,0.4005,0.381,0.3948,999155.65,388376.685544,0,0,0
2024-05-14T12:00:00+00:00Z,2024-05-14T13:00:00+00:00Z,0.3948,0.4133,0.3833,0.3886,537175.08,209978.687908,0,0,0
2024-05-14T13:00:00+00:00Z,2024-05-14T14:00:00+00:00Z,0.3886,0.3895,0.3817,0.3846,391175.34,150838.252727,0,0,0
2024-05-14T14:00:00+00:00Z,2024-05-14T15:00:00+00:00Z,0.3846,0.4112,0.3826,0.3855,542847.09,210684.946295,0,0,0
2024-05-14T15:00:00+00:00Z,2024-05-14T16:00:00+00:00Z,0.3855,0.3922,0.3838,0.3868,695839.17,269978.619612,0,0,0
2024-05-14T16:00:00+00:00Z,2024-05-14T17:00:00+00:00Z,0.3868,0.3873,0.3617,0.3685,1192228.09,443578.422761,0,0,0
2024-05-14T17:00:00+00:00Z,2024-05-14T18:00:00+00:00Z,0.3685,0.3695,0.3563,0.363,674987.66,244506.550127,0,0,0
2024-05-14T18:00:00+00:00Z,2024-05-14T19:00:00+00:00Z,0.363,0.3782,0.362,0.373,668124.93,246836.384588,0,0,0
2024-05-14T19:00:00+00:00Z,2024-05-14T20:00:00+00:00Z,0.373,0.3731,0.3637,0.3641,553341.16,204750.851935,0,0,0
2024-05-14T20:00:00+00:00Z,2024-05-14T21:00:00+00:00Z,0.3641,0.3725,0.3641,0.3702,435528.17,160736.668471,0,0,0
2024-05-14T21:00:00+00:00Z,2024-05-14T22:00:00+00:00Z,0.3702,0.3768,0.3682,0.3715,245518.3,91351.757152,0,0,0
2024-05-14T22:00:00+00:00Z,2024-05-14T23:00:00+00:00Z,0.3715,0.3722,0.3646,0.3699,329529.72,121502.898629,0,0,0
2024-05-14T23:00:00+00:00Z,2024-05-15T00:00:00+00:00Z,0.3699,0.3732,0.3559,0.3711,371464.58,136021.311834,0,0,0
2024-05-15T00:00:00+00:00Z,2024-05-15T01:00:00+00:00Z,0.3711,0.387,0.3562,0.3562,787541.14,292025.031025,0,0,0
2024-05-15T01:00:00+00:00Z,2024-05-15T02:00:00+00:00Z,0.3562,0.3648,0.3562,0.3648,267272.63,96420.163108,0,0,0
2024-05-15T02:00:00+00:00Z,2024-05-15T03:00:00+00:00Z,0.3648,0.3782,0.3648,0.3741,521207.21,193892.964162,0,0,0
2024-05-15T03:00:00+00:00Z,2024-05-15T04:00:00+00:00Z,0.3741,0.3826,0.3695,0.3746,361427.02,135839.549303,0,0,0
2024-05-15T04:00:00+00:00Z,2024-05-15T05:00:00+00:00Z,0.3746,0.3752,0.368,0.3714,196274.49,72786.773802,0,0,0
2024-05-15T05:00:00+00:00Z,2024-05-15T06:00:00+00:00Z,0.3714,0.3743,0.366,0.3674,205791.02,76034.988996,0,0,0
