# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,USTCUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-03-11T10:00:00+00:00Z
# t0_final_iso,2022-03-11T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,285cf6b3a1b082f3
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-03-11T10:00:00+00:00Z,2022-03-11T11:00:00+00:00Z,1.0,1.01704,1.0,1.00101,2371.52,2389.0050392,0,0,0
2022-03-11T11:00:00+00:00Z,2022-03-11T12:00:00+00:00Z,1.00101,1.005,1.001,1.005,1784.51,1789.5753352,0,0,0
2022-03-11T12:00:00+00:00Z,2022-03-11T13:00:00+00:00Z,1.005,1.00548,1.00105,1.00301,1008.83,1011.8131531,0,0,0
2022-03-11T13:00:00+00:00Z,2022-03-11T14:00:00+00:00Z,1.00301,1.00699,1.0025,1.00324,1052.07,1055.5131556,0,0,0
2022-03-11T14:00:00+00:00Z,2022-03-11T15:00:00+00:00Z,1.00324,1.00699,1.00302,1.00403,433.17,435.2607931,0,0,0
2022-03-11T15:00:00+00:00Z,2022-03-11T16:00:00+00:00Z,1.00403,1.007,1.00352,1.007,6893.46,6927.4697352,0,0,0
2022-03-11T16:00:00+00:00Z,2022-03-11T17:00:00+00:00Z,1.007,1.007,1.00402,1.007,2634.94,2650.1778107,0,0,0
2022-03-11T17:00:00+00:00Z,2022-03-11T18:00:00+00:00Z,1.007,1.007,1.00402,1.007,2204.11,2216.1300561,0,0,0
2022-03-11T18:00:00+00:00Z,2022-03-11T19:00:00+00:00Z,1.007,1.007,1.00431,1.007,3540.44,3564.211904,0,0,0
2022-03-11T19:00:00+00:00Z,2022-03-11T20:00:00+00:00Z,1.007,1.008,1.00503,1.008,411.5,413.9797451,0,0,0
2022-03-11T20:00:00+00:00Z,2022-03-11T21:00:00+00:00Z,1.008,1.008,1.0043,1.0043,4947.26,4969.1037878,0,0,0
2022-03-11T21:00:00+00:00Z,2022-03-11T22:00:00+00:00Z,1.0043,1.008,1.0043,1.00561,804.23,809.973511,0,0,0
2022-03-11T22:00:00+00:00Z,2022-03-11T23:00:00+00:00Z,1.00561,1.008,1.00302,1.004,35198.17,35354.6021185,0,0,0
